date,visitors
2016-10-03,3
2016-10-04,8
2016-10-05,10
2016-10-06,11
2016-10-07,13
2016-10-08,2
2016-10-11,3
2016-10-12,17
2016-10-13,12
2016-10-14,11
2016-10-15,2
2016-10-18,2
2016-10-19,3
2016-10-20,11
2016-10-21,16
2016-10-22,7
2016-10-24,11
2016-10-25,24
2016-10-26,11
2016-10-27,9
2016-10-28,25
2016-10-31,9
2016-11-01,17
2016-11-02,10
2016-11-03,3
2016-11-04,7
2016-11-08,9
2016-11-09,7
2016-11-10,7
2016-11-11,3
2016-11-12,24
2016-11-14,19
2016-11-15,7
2016-11-16,8
2016-11-17,2
2016-11-18,18
2016-11-21,3
2016-11-22,10
2016-11-23,3
2016-11-24,2
2016-11-25,5
2016-11-26,11
2016-11-28,6
2016-11-29,5
2016-11-30,4
2016-12-01,8
2016-12-02,25
2016-12-05,6
2016-12-06,3
2016-12-07,6
2016-12-08,12
2016-12-13,8
2016-12-14,7
2016-12-15,23
2016-12-16,12
2016-12-17,1
2016-12-19,2
2016-12-20,20
2016-12-21,7
2016-12-22,18
2016-12-23,10
2016-12-24,9
2016-12-26,3
2016-12-27,7
2016-12-28,9
2016-12-30,21
2017-01-05,5
2017-01-06,5
2017-01-11,27
2017-01-12,12
2017-01-13,10
2017-01-14,25
2017-01-16,9
2017-01-17,8
2017-01-18,7
2017-01-19,2
2017-01-20,4
2017-01-21,6
2017-01-23,19
2017-01-24,6
2017-01-25,10
2017-01-26,17
2017-01-27,13
2017-01-28,2
2017-01-31,18
2017-02-01,12
2017-02-02,8
2017-02-03,7
2017-02-04,1
2017-02-06,5
2017-02-07,16
2017-02-08,8
2017-02-09,16
2017-02-10,14
2017-02-11,3
2017-02-15,2
2017-02-17,3
2017-02-18,11
2017-02-20,2
2017-02-21,10
2017-02-22,7
2017-02-23,13
2017-02-24,11
2017-02-25,1
2017-02-27,4
2017-02-28,3
2017-03-01,24
2017-03-02,16
2017-03-03,6
2017-03-04,1
2017-03-06,4
2017-03-07,5
2017-03-08,7
2017-03-10,6
2017-03-11,9
2017-03-13,9
2017-03-14,14
2017-03-15,11
2017-03-16,5
