date,visitors
2016-01-03,10
2016-01-04,9
2016-01-05,17
2016-01-06,10
2016-01-08,5
2016-01-09,8
2016-01-10,16
2016-01-11,16
2016-01-12,8
2016-01-13,9
2016-01-14,4
2016-01-15,4
2016-01-16,29
2016-01-17,10
2016-01-18,6
2016-01-19,7
2016-01-20,10
2016-01-21,14
2016-01-22,10
2016-01-23,3
2016-01-24,6
2016-01-25,7
2016-01-26,9
2016-01-27,6
2016-01-29,1
2016-01-30,14
2016-01-31,11
2016-02-01,6
2016-02-02,3
2016-02-03,11
2016-02-05,5
2016-02-06,16
2016-02-07,5
2016-02-08,9
2016-02-09,10
2016-02-10,22
2016-02-12,8
2016-02-13,11
2016-02-14,7
2016-02-15,10
2016-02-16,12
2016-02-17,6
2016-02-19,6
2016-02-20,22
2016-02-21,25
2016-02-22,7
2016-02-23,6
2016-02-24,14
2016-02-26,2
2016-02-27,37
2016-02-28,10
2016-02-29,13
2016-03-01,1
2016-03-02,8
2016-03-04,14
2016-03-05,25
2016-03-06,17
2016-03-07,10
2016-03-08,5
2016-03-09,7
2016-03-11,6
2016-03-12,13
2016-03-13,9
2016-03-14,22
2016-03-15,13
2016-03-16,7
2016-03-18,3
2016-03-19,19
2016-03-20,11
2016-03-21,22
2016-03-22,11
2016-03-23,13
2016-03-25,5
2016-03-26,16
2016-03-27,10
2016-03-28,23
2016-03-29,9
2016-03-30,10
2016-04-01,12
2016-04-02,17
2016-04-03,11
2016-04-04,14
2016-04-05,10
2016-04-06,14
2016-04-08,12
2016-04-09,18
2016-04-10,5
2016-04-11,11
2016-04-12,4
2016-04-13,6
2016-04-16,13
2016-04-18,21
2016-04-19,6
2016-04-20,12
2016-04-21,1
2016-04-22,6
2016-04-23,18
2016-04-24,23
2016-04-25,6
2016-04-26,17
2016-04-27,5
2016-04-29,9
2016-04-30,5
2016-05-01,10
2016-05-02,11
2016-05-03,12
2016-05-04,10
2016-05-06,10
2016-05-07,12
2016-05-08,18
2016-05-09,9
2016-05-10,9
2016-05-11,6
2016-05-13,3
2016-05-14,15
2016-05-15,26
2016-05-16,3
2016-05-17,8
2016-05-18,9
2016-05-20,8
2016-05-21,7
2016-05-22,6
2016-05-23,4
2016-05-24,13
2016-05-25,13
2016-05-27,13
2016-05-28,14
2016-05-29,10
2016-05-30,7
2016-05-31,17
2016-06-01,10
2016-06-03,6
2016-06-04,11
2016-06-05,8
2016-06-06,8
2016-06-07,10
2016-06-08,7
2016-06-10,4
2016-06-11,18
2016-06-12,11
2016-06-13,6
2016-06-14,7
2016-06-15,12
2016-06-17,9
2016-06-18,26
2016-06-19,12
2016-06-20,8
2016-06-21,23
2016-06-22,7
2016-06-24,6
2016-06-25,20
2016-06-26,10
2016-06-27,2
2016-06-28,8
2016-06-29,7
2016-07-01,10
2016-07-02,13
2016-07-03,20
2016-07-04,4
2016-07-05,7
2016-07-06,10
2016-07-07,1
2016-07-08,2
2016-07-09,7
2016-07-10,3
2016-07-11,9
2016-07-12,2
2016-07-13,24
2016-07-15,4
2016-07-16,19
2016-07-17,14
2016-07-18,7
2016-07-19,3
