date,visitors
2016-07-01,37
2016-07-02,26
2016-07-03,37
2016-07-04,25
2016-07-05,34
2016-07-06,26
2016-07-07,27
2016-07-08,29
2016-07-09,30
2016-07-10,52
2016-07-11,35
2016-07-12,41
2016-07-13,35
2016-07-14,33
2016-07-15,28
2016-07-16,40
2016-07-17,10
2016-07-18,26
2016-07-19,34
2016-07-20,21
2016-07-21,8
2016-07-22,23
2016-07-23,69
2016-07-24,21
2016-07-25,19
2016-07-26,23
2016-07-27,32
2016-07-28,16
2016-07-29,14
2016-07-30,40
2016-07-31,23
2016-08-01,19
2016-08-02,12
2016-08-03,25
2016-08-04,13
2016-08-05,29
2016-08-06,28
2016-08-07,23
2016-08-08,21
2016-08-09,32
2016-08-10,36
2016-08-17,12
2016-08-18,12
2016-08-19,25
2016-08-20,26
2016-08-21,31
2016-08-22,35
2016-08-23,40
2016-08-24,34
2016-08-25,18
2016-08-26,31
2016-08-27,19
2016-08-28,188
2016-08-29,36
2016-08-30,41
2016-08-31,35
2016-09-01,11
2016-09-02,27
2016-09-03,42
2016-09-04,25
2016-09-05,4
2016-09-06,26
2016-09-07,21
2016-09-08,26
2016-09-09,40
2016-09-10,41
2016-09-11,37
2016-09-12,7
2016-09-13,15
2016-09-14,39
2016-09-15,19
2016-09-16,34
2016-09-17,48
2016-09-18,20
2016-09-19,14
2016-09-20,5
2016-09-21,35
2016-09-22,22
2016-09-23,14
2016-09-24,31
2016-09-25,23
2016-09-26,27
2016-09-27,22
2016-09-28,29
2016-09-29,19
2016-09-30,19
2016-10-01,31
2016-10-02,25
2016-10-03,19
2016-10-04,34
2016-10-05,11
2016-10-06,14
2016-10-07,22
2016-10-08,22
2016-10-09,25
2016-10-10,19
2016-10-11,16
2016-10-12,11
2016-10-13,10
2016-10-14,20
2016-10-15,61
2016-10-16,19
2016-10-17,38
2016-10-18,18
2016-10-19,26
2016-10-20,30
2016-10-21,18
2016-10-22,34
2016-10-23,10
2016-10-24,30
2016-10-25,27
2016-10-26,35
2016-10-27,16
2016-10-28,18
2016-10-29,19
2016-10-30,23
2016-10-31,26
2016-11-01,23
2016-11-02,31
2016-11-03,14
2016-11-04,33
2016-11-05,20
2016-11-06,12
2016-11-07,24
2016-11-08,22
2016-11-09,33
2016-11-10,18
2016-11-11,31
2016-11-12,39
2016-11-13,7
2016-11-14,11
2016-11-15,23
2016-11-16,22
2016-11-17,22
2016-11-18,16
2016-11-19,19
2016-11-20,18
2016-11-21,21
2016-11-22,28
2016-11-23,18
2016-11-24,6
2016-11-25,26
2016-11-26,24
2016-11-27,15
2016-11-28,29
2016-11-29,12
2016-11-30,21
2016-12-01,22
2016-12-02,18
2016-12-03,31
2016-12-04,15
2016-12-05,17
2016-12-06,21
2016-12-07,16
2016-12-08,20
2016-12-09,16
2016-12-10,13
2016-12-11,20
2016-12-12,17
2016-12-13,11
2016-12-14,27
2016-12-15,17
2016-12-16,5
2016-12-17,6
2016-12-18,30
2016-12-19,26
2016-12-20,11
2016-12-21,20
2016-12-22,35
2016-12-23,4
2016-12-24,13
2016-12-25,10
2016-12-26,25
2016-12-27,11
2017-01-06,6
2017-01-07,34
2017-01-08,9
2017-01-09,11
2017-01-10,12
2017-01-11,5
2017-01-12,10
2017-01-13,8
2017-01-14,34
2017-01-15,27
2017-01-16,4
2017-01-17,17
2017-01-18,26
2017-01-19,9
2017-01-20,28
2017-01-21,37
2017-01-22,15
2017-01-23,14
2017-01-24,9
2017-01-25,20
2017-01-26,6
2017-01-27,33
2017-01-28,15
2017-01-29,20
2017-01-30,23
2017-01-31,31
2017-02-01,36
2017-02-02,8
2017-02-03,5
2017-02-04,10
2017-02-05,17
2017-02-06,15
2017-02-07,16
2017-02-08,21
2017-02-09,14
2017-02-10,36
2017-02-11,4
2017-02-12,8
2017-02-13,7
2017-02-14,13
2017-02-15,21
2017-02-16,7
2017-02-17,10
2017-02-18,33
2017-02-19,18
2017-02-20,9
2017-02-21,14
2017-02-22,21
2017-02-23,10
2017-02-24,20
