date,visitors
2016-01-01,10
2016-01-04,23
2016-01-05,35
2016-01-06,33
2016-01-07,52
2016-01-08,47
2016-01-09,71
2016-01-10,32
2016-01-11,39
2016-01-12,44
2016-01-13,24
2016-01-14,15
2016-01-15,55
2016-01-16,56
2016-01-17,39
2016-01-18,26
2016-01-19,42
2016-01-20,7
2016-01-21,32
2016-01-22,42
2016-01-23,29
2016-01-24,44
2016-01-25,34
2016-01-26,30
2016-01-27,23
2016-01-28,42
2016-01-29,41
2016-01-30,63
2016-01-31,47
2016-02-01,23
2016-02-02,20
2016-02-03,20
2016-02-04,14
2016-02-05,45
2016-02-06,35
2016-02-07,33
2016-02-08,31
2016-02-09,19
2016-02-10,56
2016-02-11,23
2016-02-12,19
2016-02-13,53
2016-02-14,20
2016-02-15,22
2016-02-16,16
2016-02-17,40
2016-02-18,25
2016-02-19,31
2016-02-20,37
2016-02-21,26
2016-02-22,41
2016-02-23,36
2016-02-24,33
2016-02-25,56
2016-02-26,65
2016-02-27,61
2016-02-28,25
2016-02-29,24
2016-03-01,23
2016-03-02,16
2016-03-03,34
2016-03-04,55
2016-03-05,26
2016-03-06,40
2016-03-07,35
2016-03-08,14
2016-03-09,23
2016-03-10,36
2016-03-11,43
2016-03-12,45
2016-03-13,35
2016-03-14,28
2016-03-15,29
2016-03-16,49
2016-03-17,39
2016-03-18,62
2016-03-19,41
2016-03-20,79
2016-03-21,70
2016-03-22,1
2016-03-23,26
2016-03-24,54
2016-03-25,37
2016-03-26,64
2016-03-27,53
2016-03-28,21
2016-03-29,33
2016-03-30,35
2016-03-31,40
2016-04-01,47
2016-04-02,44
2016-04-03,44
2016-04-04,34
2016-04-05,8
2016-04-06,42
2016-04-07,54
2016-04-08,34
2016-04-09,44
2016-04-10,55
2016-04-11,51
2016-04-12,18
2016-04-13,23
2016-04-14,24
2016-04-15,62
2016-04-16,119
2016-04-17,31
2016-04-18,14
2016-04-19,25
2016-04-20,18
2016-04-21,24
2016-04-22,38
2016-04-23,46
2016-04-24,42
2016-04-25,33
2016-04-26,14
2016-04-27,40
2016-04-28,47
2016-04-29,61
2016-04-30,55
2016-05-01,54
2016-05-02,24
2016-05-03,22
2016-05-04,60
2016-05-05,22
2016-05-06,28
2016-05-07,33
2016-05-08,54
2016-05-09,49
2016-05-10,3
2016-05-11,19
2016-05-12,23
2016-05-13,37
2016-05-14,86
2016-05-15,41
2016-05-16,18
2016-05-17,30
2016-05-18,4
2016-05-19,38
2016-05-20,13
2016-05-21,41
2016-05-22,53
2016-05-23,50
2016-05-24,30
2016-05-25,33
2016-05-26,31
2016-05-27,83
2016-05-28,58
2016-05-29,48
2016-05-30,18
2016-05-31,28
2016-06-01,2
2016-06-02,26
2016-06-03,57
2016-06-04,61
2016-06-05,33
2016-06-06,62
2016-06-07,16
2016-06-08,30
2016-06-09,42
2016-06-10,26
2016-06-11,34
2016-06-12,45
2016-06-13,53
2016-06-14,5
2016-06-15,3
2016-06-16,43
2016-06-17,46
2016-06-18,53
2016-06-19,33
2016-06-20,13
2016-06-21,19
2016-06-22,25
2016-06-23,31
2016-06-24,38
2016-06-25,23
2016-06-26,34
2016-06-27,26
2016-06-28,42
2016-06-29,35
2016-06-30,30
2016-07-01,53
2016-07-02,52
2016-07-03,29
2016-07-04,25
2016-07-05,20
2016-07-06,22
2016-07-07,37
2016-07-08,36
2016-07-09,56
2016-07-10,31
2016-07-11,56
2016-07-12,1
2016-07-13,12
2016-07-14,43
2016-07-15,26
2016-07-16,37
2016-07-17,22
2016-07-18,57
2016-07-19,25
2016-07-20,35
2016-07-21,27
2016-07-22,40
2016-07-23,74
2016-07-24,53
2016-07-25,47
2016-07-26,43
2016-07-27,60
2016-07-28,51
2016-07-29,26
2016-07-30,38
2016-07-31,69
2016-08-01,25
2016-08-02,33
2016-08-03,28
2016-08-04,44
2016-08-05,34
2016-08-06,47
2016-08-07,25
2016-08-08,40
2016-08-09,38
2016-08-10,52
2016-08-11,32
2016-08-12,27
2016-08-13,41
2016-08-14,28
2016-08-15,22
2016-08-16,7
2016-08-17,26
2016-08-18,33
2016-08-19,25
2016-08-20,30
2016-08-21,35
2016-08-22,5
2016-08-23,14
2016-08-24,38
2016-08-25,8
2016-08-26,41
2016-08-27,46
2016-08-28,24
2016-08-29,30
2016-08-30,16
2016-08-31,22
2016-09-01,30
2016-09-02,40
2016-09-03,34
2016-09-04,51
2016-09-05,32
2016-09-06,21
2016-09-07,30
2016-09-08,7
2016-09-09,56
2016-09-10,37
2016-09-11,59
2016-09-12,23
2016-09-13,40
2016-09-14,18
2016-09-15,14
2016-09-16,48
2016-09-17,58
2016-09-18,22
2016-09-19,60
2016-09-20,22
2016-09-21,29
2016-09-22,51
2016-09-23,24
2016-09-24,42
2016-09-25,36
2016-09-26,21
2016-09-27,42
2016-09-28,39
2016-09-29,51
2016-09-30,25
2016-10-01,50
2016-10-02,26
2016-10-03,53
2016-10-04,20
2016-10-05,30
2016-10-06,21
2016-10-07,51
2016-10-08,55
2016-10-09,39
2016-10-10,57
2016-10-11,13
2016-10-12,19
2016-10-13,14
2016-10-14,57
2016-10-15,44
2016-10-16,53
2016-10-17,40
2016-10-18,19
2016-10-19,34
2016-10-20,25
2016-10-21,49
2016-10-22,17
2016-10-23,59
2016-10-24,34
2016-10-25,8
2016-10-26,41
2016-10-27,26
2016-10-28,32
2016-10-29,44
2016-10-30,15
2016-10-31,50
2016-11-01,17
2016-11-02,46
2016-11-03,45
2016-11-04,29
2016-11-05,52
2016-11-06,59
2016-11-07,43
2016-11-08,24
2016-11-09,16
2016-11-10,25
2016-11-11,43
2016-11-12,20
2016-11-13,20
2016-11-14,32
2016-11-15,8
2016-11-16,28
2016-11-17,13
2016-11-18,31
2016-11-19,61
2016-11-20,48
2016-11-21,33
2016-11-22,28
2016-11-23,47
2016-11-24,35
2016-11-25,41
2016-11-26,38
2016-11-27,57
2016-11-28,46
2016-11-29,27
2016-11-30,14
2016-12-01,31
2016-12-02,48
2016-12-03,66
2016-12-04,57
2016-12-05,16
2016-12-06,70
2016-12-07,16
2016-12-08,11
2016-12-09,14
2016-12-10,40
2016-12-11,35
2016-12-12,16
2016-12-13,29
2016-12-14,17
2016-12-15,23
2016-12-16,29
2016-12-17,57
2016-12-18,24
2016-12-19,46
2016-12-20,62
2016-12-21,51
2016-12-22,65
2016-12-23,59
2016-12-24,56
2016-12-25,6
2016-12-26,30
2016-12-27,24
2016-12-28,15
2016-12-29,30
2016-12-30,32
2017-01-04,13
2017-01-05,19
2017-01-06,72
2017-01-07,25
2017-01-08,35
2017-01-09,76
2017-01-10,48
2017-01-11,29
2017-01-12,32
2017-01-13,47
2017-01-14,26
2017-01-15,58
2017-01-16,27
2017-01-17,21
