date,visitors
2016-07-01,14
2016-07-02,19
2016-07-04,2
2016-07-05,11
2016-07-06,12
2016-07-07,6
2016-07-08,15
2016-07-09,17
2016-07-11,20
2016-07-12,10
2016-07-13,4
2016-07-14,11
2016-07-15,19
2016-07-16,18
2016-07-19,4
2016-07-20,2
2016-07-21,7
2016-07-22,4
2016-07-23,16
2016-07-25,4
2016-07-26,18
2016-07-27,6
2016-07-28,10
2016-07-29,18
2016-07-30,24
2016-07-31,4
2016-08-01,15
2016-08-02,6
2016-08-03,4
2016-08-04,8
2016-08-05,14
2016-08-06,24
2016-08-07,2
2016-08-08,4
2016-08-09,13
2016-08-10,21
2016-08-11,14
2016-08-12,24
2016-08-13,7
2016-08-14,1
2016-08-18,23
2016-08-19,19
2016-08-20,15
2016-08-22,10
2016-08-23,17
2016-08-24,14
2016-08-25,5
2016-08-26,13
2016-08-27,22
2016-08-28,5
2016-08-29,9
2016-08-30,10
2016-08-31,8
2016-09-01,9
2016-09-02,8
2016-09-03,14
2016-09-05,3
2016-09-06,13
2016-09-07,12
2016-09-08,14
2016-09-09,12
2016-09-10,19
2016-09-12,9
2016-09-13,21
2016-09-14,8
2016-09-15,13
2016-09-16,8
2016-09-17,20
2016-09-20,4
2016-09-21,12
2016-09-22,12
2016-09-23,12
2016-09-24,18
2016-09-26,12
2016-09-27,21
2016-09-28,2
2016-09-29,2
2016-09-30,22
2016-10-01,6
2016-10-03,17
2016-10-04,4
2016-10-05,5
2016-10-06,10
2016-10-07,10
2016-10-08,18
2016-10-09,4
2016-10-11,11
2016-10-12,7
2016-10-13,12
2016-10-14,14
2016-10-15,12
2016-10-17,7
2016-10-18,11
2016-10-19,4
2016-10-20,11
2016-10-21,20
2016-10-22,18
2016-10-24,2
2016-10-25,6
2016-10-26,8
2016-10-27,3
2016-10-28,22
2016-10-29,16
2016-10-30,4
2016-10-31,2
2016-11-01,4
2016-11-02,11
2016-11-03,10
2016-11-04,15
2016-11-05,19
2016-11-06,2
2016-11-07,4
2016-11-08,5
2016-11-09,5
2016-11-10,8
2016-11-11,10
2016-11-12,20
2016-11-14,10
2016-11-15,7
2016-11-16,6
2016-11-17,5
2016-11-18,11
2016-11-19,24
2016-11-20,6
2016-11-21,16
2016-11-22,19
2016-11-23,16
2016-11-24,2
2016-11-25,16
2016-11-26,13
2016-11-28,6
2016-11-29,4
2016-11-30,9
2016-12-01,2
2016-12-02,18
2016-12-03,18
2016-12-04,3
2016-12-05,10
2016-12-06,17
2016-12-07,4
2016-12-08,10
2016-12-09,19
2016-12-10,25
2016-12-11,2
2016-12-12,14
2016-12-13,12
2016-12-14,12
2016-12-15,18
2016-12-16,16
2016-12-17,25
2016-12-18,4
2016-12-19,7
2016-12-20,11
2016-12-21,15
2016-12-22,15
2016-12-23,13
2016-12-24,17
2016-12-26,16
2016-12-27,22
2016-12-28,13
2016-12-29,19
2016-12-30,17
2016-12-31,2
2017-01-05,11
2017-01-06,15
2017-01-07,4
2017-01-08,17
2017-01-09,4
2017-01-10,3
2017-01-11,3
2017-01-12,16
2017-01-13,18
2017-01-14,11
2017-01-16,7
2017-01-17,14
2017-01-18,9
2017-01-19,11
2017-01-20,16
2017-01-21,9
2017-01-23,2
2017-01-24,12
2017-01-25,8
2017-01-26,6
2017-01-27,18
2017-01-28,22
2017-01-30,6
2017-01-31,4
2017-02-01,10
2017-02-02,10
2017-02-03,11
2017-02-04,24
2017-02-06,12
2017-02-07,5
2017-02-08,12
2017-02-09,4
2017-02-10,20
2017-02-11,24
2017-02-13,3
2017-02-14,7
2017-02-15,9
2017-02-16,10
2017-02-17,16
2017-02-18,27
2017-02-20,12
2017-02-21,2
2017-02-22,10
