date,visitors
2016-01-01,29
2016-01-02,21
2016-01-03,24
2016-01-04,18
2016-01-05,15
2016-01-06,19
2016-01-07,17
2016-01-08,16
2016-01-09,32
2016-01-10,6
2016-01-14,1
2016-01-16,36
2016-01-17,16
2016-01-18,7
2016-01-19,7
2016-01-20,23
2016-01-21,4
2016-01-22,24
2016-01-23,18
2016-01-24,7
2016-01-25,5
2016-01-26,12
2016-01-27,13
2016-01-28,9
2016-01-29,20
2016-01-30,32
2016-01-31,28
2016-02-01,24
2016-02-02,11
2016-02-03,9
2016-02-04,18
2016-02-05,12
2016-02-06,22
2016-02-07,14
2016-02-08,15
2016-02-09,14
2016-02-10,28
2016-02-11,19
2016-02-12,19
2016-02-13,16
2016-02-14,26
2016-02-15,18
2016-02-16,16
2016-02-17,25
2016-02-18,22
2016-02-19,12
2016-02-20,9
2016-02-21,18
2016-02-22,23
2016-02-23,20
2016-02-24,8
2016-02-25,16
2016-02-26,29
2016-02-27,31
2016-02-28,19
2016-02-29,12
2016-03-01,21
2016-03-02,13
2016-03-03,14
2016-03-04,16
2016-03-05,34
2016-03-06,20
2016-03-07,19
2016-03-08,17
2016-03-09,14
2016-03-10,17
2016-03-11,20
2016-03-12,26
2016-03-13,15
2016-03-14,20
2016-03-15,12
2016-03-16,24
2016-03-17,12
2016-03-18,23
2016-03-19,21
2016-03-20,54
2016-03-21,42
2016-03-22,21
2016-03-23,18
2016-03-24,27
2016-03-25,29
2016-03-26,28
2016-03-27,26
2016-03-28,17
2016-03-29,18
2016-03-30,17
2016-03-31,29
2016-04-01,15
2016-04-02,32
2016-04-03,25
2016-04-04,21
2016-04-05,8
2016-04-06,30
2016-04-07,28
2016-04-08,25
2016-04-09,22
2016-04-10,24
2016-04-11,25
2016-04-12,7
2016-04-13,31
2016-04-14,26
2016-04-15,20
2016-04-16,27
2016-04-17,23
2016-04-18,8
2016-04-19,15
2016-04-20,25
2016-04-21,10
2016-04-22,18
2016-04-23,19
2016-04-24,39
2016-04-25,34
2016-04-26,23
2016-04-27,26
2016-04-28,17
2016-04-29,30
2016-04-30,33
2016-05-01,10
2016-05-02,19
2016-05-03,38
2016-05-04,35
2016-05-05,30
2016-05-06,21
2016-05-07,19
2016-05-08,32
2016-05-09,10
2016-05-10,3
2016-05-11,11
2016-05-12,18
2016-05-13,20
2016-05-14,29
2016-05-15,31
2016-05-16,12
2016-05-17,14
2016-05-18,14
2016-05-19,7
2016-05-20,21
2016-05-21,34
2016-05-22,41
2016-05-23,8
2016-05-26,10
2016-05-27,30
2016-05-28,39
2016-05-29,21
2016-05-30,31
2016-05-31,24
2016-06-01,27
2016-06-02,21
2016-06-03,19
2016-06-04,17
2016-06-05,46
2016-06-06,14
2016-06-07,18
2016-06-08,19
2016-06-09,8
2016-06-10,24
2016-06-11,33
2016-06-12,37
2016-06-13,26
2016-06-14,30
2016-06-15,10
