date,visitors
2016-07-01,20
2016-07-02,25
2016-07-03,19
2016-07-04,10
2016-07-07,17
2016-07-08,19
2016-07-09,19
2016-07-10,25
2016-07-11,15
2016-07-14,20
2016-07-15,13
2016-07-16,23
2016-07-17,28
2016-07-18,24
2016-07-21,18
2016-07-22,16
2016-07-23,23
2016-07-24,26
2016-07-25,12
2016-07-26,16
2016-07-28,23
2016-07-29,17
2016-07-30,21
2016-07-31,14
2016-08-01,12
2016-08-04,15
2016-08-05,23
2016-08-06,12
2016-08-07,18
2016-08-08,15
2016-08-09,18
2016-08-11,20
2016-08-12,17
2016-08-13,18
2016-08-14,12
2016-08-15,16
2016-08-16,10
2016-08-19,20
2016-08-20,15
2016-08-21,18
2016-08-25,1
2016-08-26,22
2016-08-27,15
2016-08-28,18
2016-08-29,5
2016-08-30,18
2016-09-01,19
2016-09-02,17
2016-09-03,20
2016-09-04,19
2016-09-05,12
2016-09-08,23
2016-09-09,17
2016-09-10,23
2016-09-11,15
2016-09-12,12
2016-09-13,15
2016-09-15,14
2016-09-16,17
2016-09-17,21
2016-09-18,25
2016-09-19,23
2016-09-22,19
2016-09-23,18
2016-09-24,22
2016-09-25,17
2016-09-26,4
2016-09-27,8
2016-09-29,11
2016-09-30,10
2016-10-01,25
2016-10-02,26
2016-10-03,17
2016-10-06,19
2016-10-07,20
2016-10-08,29
2016-10-09,31
2016-10-10,30
2016-10-13,16
2016-10-14,21
2016-10-15,25
2016-10-16,22
2016-10-17,17
2016-10-20,19
2016-10-21,15
2016-10-22,20
2016-10-23,34
2016-10-24,9
2016-10-25,9
2016-10-27,14
2016-10-28,21
2016-10-29,26
2016-10-30,22
2016-10-31,31
2016-11-03,28
2016-11-04,17
2016-11-05,29
2016-11-06,31
2016-11-07,22
2016-11-10,16
2016-11-11,21
2016-11-12,22
2016-11-13,21
2016-11-14,13
2016-11-17,15
2016-11-18,17
2016-11-19,28
2016-11-20,26
2016-11-21,8
2016-11-22,26
2016-11-23,18
2016-11-25,25
2016-11-26,28
2016-11-27,17
2016-11-28,18
2016-11-29,21
2016-12-02,33
2016-12-03,33
2016-12-04,34
2016-12-05,21
2016-12-06,12
2016-12-08,17
2016-12-09,25
2016-12-10,39
2016-12-11,27
2016-12-12,19
2016-12-14,1
2016-12-15,27
2016-12-16,28
2016-12-17,30
2016-12-18,32
2016-12-22,20
2016-12-23,36
2016-12-24,122
2016-12-25,72
2016-12-28,28
2016-12-29,23
2016-12-30,25
2016-12-31,40
2017-01-01,30
2017-01-02,24
2017-01-07,28
2017-01-08,26
2017-01-09,26
2017-01-12,15
2017-01-13,16
2017-01-14,22
2017-01-15,21
2017-01-16,9
2017-01-17,13
2017-01-19,21
2017-01-20,18
2017-01-21,27
2017-01-22,19
2017-01-23,24
2017-01-26,13
2017-01-27,22
2017-01-28,21
2017-01-29,22
2017-01-30,14
2017-01-31,15
2017-02-02,20
2017-02-03,23
2017-02-04,26
2017-02-05,23
2017-02-09,25
2017-02-10,24
2017-02-11,34
2017-02-12,33
2017-02-13,33
2017-02-14,38
2017-02-16,23
2017-02-17,13
2017-02-18,23
2017-02-19,30
2017-02-20,13
2017-02-23,23
