date,visitors
2016-07-01,14
2016-07-02,15
2016-07-03,3
2016-07-04,27
2016-07-05,26
2016-07-06,16
2016-07-07,9
2016-07-08,14
2016-07-09,28
2016-07-10,2
2016-07-11,2
2016-07-12,15
2016-07-13,3
2016-07-14,17
2016-07-15,42
2016-07-16,11
2016-07-17,2
2016-07-18,10
2016-07-19,23
2016-07-20,8
2016-07-21,6
2016-07-22,18
2016-07-23,23
2016-07-24,3
2016-07-25,9
2016-07-26,7
2016-07-27,5
2016-07-28,11
2016-07-29,29
2016-07-30,28
2016-07-31,5
2016-08-01,4
2016-08-02,9
2016-08-03,13
2016-08-04,23
2016-08-05,37
2016-08-06,7
2016-08-07,2
2016-08-08,20
2016-08-09,14
2016-08-10,29
2016-08-11,5
2016-08-12,18
2016-08-13,22
2016-08-15,27
2016-08-16,3
2016-08-17,22
2016-08-18,4
2016-08-19,34
2016-08-20,15
2016-08-21,10
2016-08-22,14
2016-08-23,15
2016-08-24,25
2016-08-25,26
2016-08-26,17
2016-08-27,18
2016-08-29,21
2016-08-30,8
2016-08-31,13
2016-09-01,9
2016-09-02,16
2016-09-03,28
2016-09-05,17
2016-09-06,3
2016-09-07,10
2016-09-08,6
2016-09-09,37
2016-09-10,10
2016-09-11,1
2016-09-12,8
2016-09-13,15
2016-09-14,27
2016-09-15,18
2016-09-16,12
2016-09-17,34
2016-09-19,18
2016-09-20,21
2016-09-21,23
2016-09-22,12
2016-09-23,10
2016-09-24,41
2016-09-25,4
2016-09-26,8
2016-09-27,15
2016-09-28,2
2016-09-29,27
2016-09-30,10
2016-10-01,20
2016-10-02,4
2016-10-03,5
2016-10-04,4
2016-10-05,3
2016-10-06,3
2016-10-07,8
2016-10-08,16
2016-10-09,2
2016-10-10,9
2016-10-11,2
2016-10-12,1
2016-10-13,11
2016-10-14,10
2016-10-15,21
2016-10-18,8
2016-10-19,17
2016-10-20,16
2016-10-21,27
2016-10-22,24
2016-10-24,4
2016-10-25,13
2016-10-26,13
2016-10-27,4
2016-10-28,17
2016-10-29,25
2016-10-30,4
2016-10-31,2
2016-11-01,6
2016-11-02,19
2016-11-03,24
2016-11-04,11
2016-11-05,14
2016-11-07,9
2016-11-08,23
2016-11-09,30
2016-11-10,55
2016-11-11,32
2016-11-12,10
2016-11-13,4
2016-11-14,12
2016-11-16,12
2016-11-17,12
2016-11-18,15
2016-11-19,15
2016-11-20,5
2016-11-21,10
2016-11-22,8
2016-11-23,6
2016-11-24,4
2016-11-25,31
2016-11-26,31
2016-11-27,2
2016-11-28,1
2016-11-29,15
2016-11-30,14
2016-12-01,14
2016-12-02,11
2016-12-03,27
2016-12-05,6
2016-12-06,6
2016-12-07,10
2016-12-08,1
2016-12-09,33
2016-12-10,19
2016-12-11,13
2016-12-12,6
2016-12-13,8
2016-12-14,6
2016-12-15,9
2016-12-16,23
2016-12-17,28
2016-12-18,16
2016-12-19,11
2016-12-20,9
2016-12-21,3
2016-12-22,30
2016-12-23,26
2016-12-24,9
2016-12-26,18
2016-12-27,15
2016-12-28,34
2016-12-29,20
2016-12-30,25
2017-01-02,7
2017-01-03,14
2017-01-04,24
2017-01-05,11
2017-01-06,26
2017-01-07,28
2017-01-08,20
2017-01-09,9
2017-01-10,5
2017-01-11,9
2017-01-12,5
2017-01-13,17
2017-01-14,22
2017-01-15,1
2017-01-16,8
2017-01-17,4
2017-01-19,2
2017-01-20,26
2017-01-21,25
2017-01-22,3
2017-01-23,5
2017-01-24,3
2017-01-25,6
2017-01-26,11
2017-01-27,30
2017-01-28,42
2017-01-29,6
2017-01-30,11
2017-01-31,11
2017-02-01,7
2017-02-02,3
2017-02-03,6
2017-02-04,20
2017-02-06,14
2017-02-07,7
2017-02-08,1
2017-02-09,19
2017-02-10,13
2017-02-11,23
2017-02-12,2
2017-02-13,10
2017-02-14,1
2017-02-15,4
2017-02-16,15
2017-02-17,26
2017-02-18,17
2017-02-19,2
2017-02-20,8
2017-02-21,7
