date,visitors
2016-01-05,7
2016-01-06,10
2016-01-07,21
2016-01-08,26
2016-01-09,3
2016-01-10,4
2016-01-12,21
2016-01-13,29
2016-01-14,10
2016-01-15,18
2016-01-16,16
2016-01-17,3
2016-01-19,8
2016-01-20,22
2016-01-21,8
2016-01-22,38
2016-01-23,3
2016-01-24,6
2016-01-26,14
2016-01-27,22
2016-01-28,27
2016-01-29,33
2016-01-30,9
2016-01-31,15
2016-02-02,36
2016-02-03,14
2016-02-04,37
2016-02-05,38
2016-02-06,3
2016-02-07,22
2016-02-09,11
2016-02-10,41
2016-02-11,14
2016-02-12,36
2016-02-13,12
2016-02-14,12
2016-02-16,16
2016-02-17,27
2016-02-18,16
2016-02-19,37
2016-02-20,6
2016-02-21,13
2016-02-22,4
2016-02-23,15
2016-02-24,21
2016-02-25,27
2016-02-26,36
2016-02-27,22
2016-02-28,6
2016-03-01,30
2016-03-02,14
2016-03-03,16
2016-03-04,26
2016-03-05,20
2016-03-06,13
2016-03-08,6
2016-03-09,25
2016-03-10,8
2016-03-11,31
2016-03-12,23
2016-03-13,31
2016-03-15,24
2016-03-16,31
2016-03-17,19
2016-03-18,28
2016-03-19,23
2016-03-20,27
2016-03-22,29
2016-03-23,36
2016-03-24,23
2016-03-25,44
2016-03-26,15
2016-03-27,8
2016-03-28,2
2016-03-29,37
2016-03-30,21
2016-03-31,28
2016-04-01,45
2016-04-02,28
2016-04-03,3
2016-04-05,15
2016-04-06,18
2016-04-07,22
2016-04-08,39
2016-04-09,18
2016-04-10,20
2016-04-12,29
2016-04-13,14
2016-04-14,39
2016-04-15,23
2016-04-16,32
2016-04-17,6
2016-04-19,23
2016-04-20,14
2016-04-21,10
2016-04-22,48
2016-04-23,38
2016-04-24,18
2016-04-26,23
2016-04-27,15
2016-04-28,29
2016-04-29,15
2016-04-30,17
2016-05-01,9
2016-05-03,9
2016-05-04,14
2016-05-05,12
2016-05-06,25
2016-05-07,5
2016-05-08,18
2016-05-10,17
2016-05-11,30
2016-05-12,18
2016-05-13,35
2016-05-14,14
2016-05-15,18
2016-05-17,12
2016-05-18,42
2016-05-19,42
2016-05-20,36
2016-05-21,17
2016-05-22,17
2016-05-24,33
2016-05-25,39
2016-05-26,37
2016-05-27,22
2016-05-28,17
2016-05-31,20
2016-06-01,40
2016-06-02,22
2016-06-03,40
2016-06-04,19
2016-06-05,29
2016-06-07,30
2016-06-08,13
2016-06-09,16
2016-06-10,31
2016-06-11,5
2016-06-12,10
2016-06-13,2
2016-06-14,35
2016-06-15,24
2016-06-16,18
2016-06-17,36
2016-06-18,19
2016-06-19,16
2016-06-21,27
2016-06-22,7
2016-06-23,40
2016-06-24,41
2016-06-25,17
2016-06-26,4
2016-06-28,24
2016-06-29,56
2016-06-30,52
2016-07-01,28
2016-07-02,11
2016-07-03,6
2016-07-05,28
2016-07-06,28
2016-07-07,18
2016-07-08,22
2016-07-09,10
2016-07-10,12
2016-07-12,41
2016-07-13,41
2016-07-14,41
2016-07-15,36
2016-07-16,19
2016-07-17,14
2016-07-19,13
2016-07-20,27
2016-07-21,16
2016-07-22,33
2016-07-23,13
2016-07-24,9
2016-07-26,36
2016-07-27,14
2016-07-28,34
2016-07-29,34
2016-07-30,29
2016-07-31,5
2016-08-02,20
2016-08-03,18
2016-08-04,13
2016-08-05,35
2016-08-06,11
2016-08-07,8
2016-08-09,1
2016-08-10,21
2016-08-11,11
2016-08-12,12
2016-08-13,11
2016-08-17,5
2016-08-18,19
2016-08-19,52
2016-08-20,3
2016-08-21,18
2016-08-23,27
2016-08-24,22
2016-08-25,16
2016-08-26,24
2016-08-27,12
2016-08-28,4
2016-08-30,11
2016-08-31,27
2016-09-01,29
2016-09-02,28
2016-09-03,14
2016-09-04,10
2016-09-06,19
2016-09-07,29
