date,visitors
2016-07-01,5
2016-07-02,15
2016-07-03,25
2016-07-04,10
2016-07-07,9
2016-07-08,11
2016-07-09,17
2016-07-10,17
2016-07-11,5
2016-07-14,8
2016-07-15,12
2016-07-16,12
2016-07-17,37
2016-07-18,14
2016-07-21,6
2016-07-22,14
2016-07-23,11
2016-07-24,18
2016-07-25,7
2016-07-27,2
2016-07-28,13
2016-07-29,3
2016-07-30,10
2016-07-31,14
2016-08-01,7
2016-08-04,13
2016-08-05,21
2016-08-06,17
2016-08-07,16
2016-08-08,6
2016-08-11,17
2016-08-12,13
2016-08-13,17
2016-08-14,12
2016-08-15,14
2016-08-18,9
2016-08-19,12
2016-08-20,15
2016-08-21,13
2016-08-22,8
2016-08-25,15
2016-08-26,12
2016-08-27,17
2016-08-28,9
2016-08-29,16
2016-09-01,6
2016-09-02,9
2016-09-03,14
2016-09-04,8
2016-09-05,10
2016-09-08,11
2016-09-09,11
2016-09-10,10
2016-09-11,13
2016-09-12,7
2016-09-15,10
2016-09-16,11
2016-09-17,12
2016-09-18,4
2016-09-19,17
2016-09-21,1
2016-09-23,15
2016-09-24,14
2016-09-25,5
2016-09-26,3
2016-09-29,3
2016-09-30,3
2016-10-03,8
2016-10-06,1
2016-10-08,4
2016-10-09,12
2016-10-10,18
2016-10-11,1
2016-10-13,4
2016-10-14,7
2016-10-17,7
2016-10-18,1
2016-10-20,5
2016-10-21,3
2016-10-22,1
2016-10-23,9
2016-10-24,4
2016-10-27,11
2016-10-28,8
2016-10-29,1
2016-10-30,2
2016-10-31,8
2016-11-02,1
2016-11-04,1
2016-11-07,4
2016-11-09,1
2016-11-10,5
2016-11-11,5
2016-11-12,11
2016-11-14,9
2016-11-17,5
2016-11-18,3
2016-11-21,7
2016-11-22,1
2016-11-23,11
2016-11-25,8
2016-11-27,7
2016-11-28,4
2016-11-30,1
2016-12-01,7
2016-12-02,6
2016-12-03,7
2016-12-04,10
2016-12-05,7
2016-12-09,5
2016-12-10,10
2016-12-11,16
2016-12-12,6
2016-12-15,6
2016-12-16,6
2016-12-17,3
2016-12-18,10
2016-12-19,14
2016-12-21,1
2016-12-22,4
2016-12-23,10
2016-12-24,14
2016-12-25,17
2016-12-26,4
2016-12-28,3
2016-12-29,6
2016-12-30,12
2016-12-31,5
2017-01-02,1
2017-01-04,12
2017-01-05,9
2017-01-06,6
2017-01-07,7
2017-01-08,9
2017-01-09,12
2017-01-12,6
2017-01-13,10
2017-01-14,8
2017-01-15,7
2017-01-16,9
2017-01-19,9
2017-01-20,1
2017-01-21,8
2017-01-22,17
2017-01-23,7
2017-01-25,1
2017-01-26,6
2017-01-27,10
2017-01-28,23
2017-01-29,7
2017-01-30,6
2017-02-02,10
2017-02-03,5
2017-02-04,9
2017-02-05,8
2017-02-06,5
2017-02-09,6
2017-02-10,5
2017-02-11,11
2017-02-12,10
2017-02-13,4
2017-02-16,6
2017-02-17,4
2017-02-18,12
