date,visitors
2016-01-01,56
2016-01-02,43
2016-01-03,7
2016-01-04,48
2016-01-06,15
2016-01-07,6
2016-01-08,24
2016-01-09,50
2016-01-10,47
2016-01-15,27
2016-01-16,47
2016-01-17,16
2016-01-18,4
2016-01-20,15
2016-01-21,9
2016-01-22,31
2016-01-23,33
2016-01-24,20
2016-01-27,7
2016-01-28,10
2016-01-29,38
2016-01-30,48
2016-01-31,35
2016-02-01,2
2016-02-02,3
2016-02-03,14
2016-02-04,30
2016-02-05,20
2016-02-06,36
2016-02-07,13
2016-02-08,12
2016-02-10,22
2016-02-11,18
2016-02-12,27
2016-02-13,43
2016-02-14,23
2016-02-15,12
2016-02-16,2
2016-02-17,12
2016-02-18,15
2016-02-19,33
2016-02-20,44
2016-02-21,19
2016-02-22,16
2016-02-24,21
2016-02-25,26
2016-02-26,19
2016-02-27,37
2016-02-28,9
2016-02-29,11
2016-03-01,2
2016-03-02,5
2016-03-03,1
2016-03-04,33
2016-03-05,28
2016-03-06,18
2016-03-07,22
2016-03-08,4
2016-03-09,25
2016-03-10,4
2016-03-11,40
2016-03-12,25
2016-03-13,17
2016-03-14,12
2016-03-15,2
2016-03-16,31
2016-03-17,13
2016-03-18,26
2016-03-19,47
2016-03-20,45
2016-03-21,30
2016-03-23,12
2016-03-24,27
2016-03-25,44
2016-03-26,49
2016-03-27,1
2016-03-30,33
2016-03-31,3
2016-04-01,47
2016-04-02,35
2016-04-03,21
2016-04-04,10
2016-04-06,11
2016-04-07,3
2016-04-08,19
2016-04-09,45
2016-04-10,11
2016-04-11,14
2016-04-13,11
2016-04-14,11
2016-04-15,16
2016-04-16,34
2016-04-17,15
2016-04-18,16
2016-04-19,17
2016-04-20,9
2016-04-21,8
2016-04-22,36
2016-04-23,28
2016-04-24,18
2016-04-25,10
2016-04-27,7
2016-04-28,26
2016-04-29,18
2016-04-30,28
2016-05-01,44
2016-05-02,28
2016-05-03,36
2016-05-04,19
2016-05-05,20
2016-05-06,18
2016-05-07,34
2016-05-08,23
2016-05-09,8
2016-05-12,9
2016-05-13,28
2016-05-14,21
2016-05-15,23
2016-05-16,2
2016-05-18,6
2016-05-19,5
2016-05-20,10
2016-05-21,11
2016-05-22,7
2016-05-23,3
2016-05-25,4
2016-05-26,1
2016-05-27,12
2016-05-28,17
2016-05-29,2
2016-05-30,6
2016-06-01,8
2016-06-02,1
2016-06-03,1
2016-06-04,12
2016-06-05,6
2016-06-06,11
2016-06-08,5
2016-06-09,7
2016-06-10,7
2016-06-11,11
2016-06-12,8
2016-06-13,3
2016-06-14,1
2016-06-15,2
2016-06-16,4
2016-06-17,8
2016-06-18,6
2016-06-19,12
2016-06-20,6
2016-06-22,6
2016-06-23,2
2016-06-24,7
2016-06-25,12
2016-06-26,8
2016-06-27,3
2016-06-29,4
2016-06-30,3
2016-07-01,9
2016-07-02,10
2016-07-03,5
2016-07-04,5
2016-07-06,4
2016-07-07,3
2016-07-08,7
2016-07-09,5
2016-07-10,13
2016-07-11,5
2016-07-13,5
2016-07-14,5
2016-07-15,21
2016-07-16,20
2016-07-17,11
2016-07-18,6
