date,visitors
2016-07-02,3
2016-07-04,12
2016-07-07,5
2016-07-08,1
2016-07-11,2
2016-07-12,9
2016-07-13,2
2016-07-14,17
2016-07-19,51
2016-07-20,26
2016-07-21,22
2016-07-22,1
2016-07-23,5
2016-07-25,2
2016-08-17,1
2016-08-18,6
2016-08-19,2
2016-08-20,3
2016-08-22,1
2016-08-23,10
2016-08-24,1
2016-08-26,3
2016-08-27,1
2016-08-29,1
2016-08-30,4
2016-09-03,25
2016-09-05,6
2016-09-06,47
2016-09-07,37
2016-09-08,18
2016-09-09,42
2016-09-10,14
2016-09-12,29
2016-09-13,37
2016-09-14,58
2016-09-15,39
2016-09-16,43
2016-09-17,32
2016-09-20,36
2016-09-21,26
2016-09-23,32
2016-09-24,26
2016-09-25,6
2016-09-26,14
2016-09-27,12
2016-09-28,6
2016-09-30,15
2016-10-01,22
2016-10-03,7
2016-10-04,1
2016-10-06,47
2016-10-07,19
2016-10-08,14
2016-10-11,38
2016-10-12,68
2016-10-13,19
2016-10-14,44
2016-10-17,40
2016-10-18,6
2016-10-19,12
2016-10-20,33
2016-10-21,10
2016-10-24,22
2016-10-25,11
2016-10-27,31
2016-10-28,22
2016-10-29,38
2016-10-31,18
2016-11-01,17
2016-11-02,7
2016-11-04,1
2016-11-05,19
2016-11-07,34
2016-11-08,2
2016-11-09,5
2016-11-10,16
2016-11-11,15
2016-11-12,6
2016-11-15,1
2016-11-18,3
2016-11-19,10
2016-11-22,25
2016-11-24,33
2016-11-25,50
2016-11-26,15
2016-11-28,46
2016-11-29,42
2016-11-30,42
2016-12-01,55
2016-12-03,14
2016-12-05,41
2016-12-06,17
2016-12-07,56
2016-12-08,27
2016-12-09,33
2016-12-10,48
2016-12-12,50
2016-12-13,6
2016-12-14,58
2016-12-15,54
2016-12-16,38
2016-12-17,35
2016-12-19,50
2016-12-20,26
2016-12-21,16
2016-12-22,5
2016-12-24,16
2016-12-26,8
2016-12-27,12
2016-12-28,3
