date,visitors
2016-07-01,18
2016-07-02,37
2016-07-03,20
2016-07-04,16
2016-07-05,15
2016-07-06,16
2016-07-07,17
2016-07-08,22
2016-07-09,27
2016-07-10,22
2016-07-11,15
2016-07-12,13
2016-07-13,9
2016-07-14,16
2016-07-15,22
2016-07-16,38
2016-07-17,34
2016-07-18,18
2016-07-19,4
2016-07-20,9
2016-07-21,32
2016-07-22,45
2016-07-23,46
2016-07-24,13
2016-07-25,13
2016-07-26,23
2016-07-27,17
2016-07-28,15
2016-07-29,21
2016-07-30,28
2016-07-31,16
2016-08-01,8
2016-08-02,30
2016-08-03,13
2016-08-04,18
2016-08-05,28
2016-08-06,31
2016-08-07,32
2016-08-09,20
2016-08-10,28
2016-08-11,16
2016-08-12,30
2016-08-13,32
2016-08-14,38
2016-08-15,33
2016-08-17,27
2016-08-18,18
2016-08-19,36
2016-08-20,29
2016-08-21,31
2016-08-22,27
2016-08-23,27
2016-08-24,12
2016-08-25,28
2016-08-26,27
2016-08-27,26
2016-08-28,24
2016-08-29,13
2016-08-30,17
2016-08-31,15
2016-09-01,21
2016-09-02,18
2016-09-03,36
2016-09-04,20
2016-09-05,10
2016-09-06,12
2016-09-07,32
2016-09-09,19
2016-09-10,54
2016-09-11,29
2016-09-13,17
2016-09-14,27
2016-09-15,14
2016-09-16,33
2016-09-17,29
2016-09-18,47
2016-09-19,13
2016-09-21,31
2016-09-22,16
2016-09-23,25
2016-09-24,59
2016-09-25,40
2016-09-26,18
2016-09-27,2
2016-09-28,28
2016-09-29,7
2016-09-30,30
2016-10-01,44
2016-10-02,29
2016-10-03,7
2016-10-05,16
2016-10-06,16
2016-10-07,51
2016-10-08,33
2016-10-09,27
2016-10-10,27
2016-10-12,26
2016-10-13,6
2016-10-14,25
2016-10-15,61
2016-10-16,19
2016-10-17,9
2016-10-18,14
2016-10-19,29
2016-10-20,23
2016-10-21,29
2016-10-22,35
2016-10-23,29
2016-10-24,15
2016-10-25,4
2016-10-26,21
2016-10-27,19
2016-10-28,35
2016-10-29,37
2016-10-30,25
2016-10-31,16
2016-11-02,34
2016-11-03,18
2016-11-04,25
2016-11-05,46
2016-11-06,19
2016-11-07,4
2016-11-08,12
2016-11-09,15
2016-11-10,8
2016-11-11,32
2016-11-12,40
2016-11-13,37
2016-11-15,11
2016-11-16,20
2016-11-17,10
2016-11-18,34
2016-11-19,42
2016-11-20,22
2016-11-21,21
2016-11-22,33
2016-11-23,44
2016-11-24,19
2016-11-25,23
2016-11-26,31
2016-11-27,27
2016-11-28,12
2016-11-30,11
2016-12-02,25
2016-12-03,43
2016-12-04,25
2016-12-06,29
2016-12-07,15
2016-12-08,60
2016-12-09,33
2016-12-10,75
2016-12-11,41
2016-12-13,17
2016-12-14,27
2016-12-15,12
2016-12-16,53
2016-12-17,54
2016-12-18,28
2016-12-19,28
2016-12-20,13
2016-12-21,43
2016-12-22,49
2016-12-23,56
2016-12-24,44
2016-12-25,35
2016-12-26,29
2016-12-27,42
2016-12-28,45
2016-12-29,33
2016-12-30,47
2017-01-02,10
2017-01-03,38
2017-01-04,31
2017-01-06,22
2017-01-07,45
2017-01-08,17
2017-01-09,32
2017-01-10,16
2017-01-11,11
2017-01-12,34
2017-01-13,33
2017-01-14,41
2017-01-15,25
2017-01-18,24
2017-01-19,22
2017-01-20,38
2017-01-21,47
2017-01-22,39
2017-01-23,13
2017-01-25,11
2017-01-26,23
2017-01-27,39
2017-01-28,47
2017-01-29,28
2017-01-30,11
2017-02-01,12
2017-02-02,3
2017-02-03,21
2017-02-04,41
2017-02-05,50
2017-02-06,6
2017-02-08,8
2017-02-09,1
2017-02-10,47
2017-02-11,33
2017-02-12,31
2017-02-13,2
2017-02-14,8
2017-02-15,19
2017-02-16,34
2017-02-17,37
2017-02-18,54
2017-02-19,36
