date,visitors
2016-02-22,2
2016-02-23,7
2016-02-24,7
2016-02-25,5
2016-02-26,13
2016-02-27,10
2016-02-28,6
2016-02-29,16
2016-03-01,5
2016-03-02,5
2016-03-03,16
2016-03-04,19
2016-03-06,7
2016-03-07,9
2016-03-08,6
2016-03-09,4
2016-03-10,16
2016-03-11,12
2016-03-12,6
2016-03-14,4
2016-03-15,12
2016-03-16,9
2016-03-17,5
2016-03-18,9
2016-03-19,11
2016-03-20,10
2016-03-21,11
2016-03-22,4
2016-03-23,10
2016-03-24,18
2016-03-25,12
2016-03-26,14
2016-03-28,5
2016-03-29,12
2016-03-30,4
2016-03-31,13
2016-04-01,26
2016-04-02,2
2016-04-03,3
2016-04-04,20
2016-04-05,13
2016-04-06,4
2016-04-07,9
2016-04-08,19
2016-04-09,9
2016-04-10,8
2016-04-11,12
2016-04-12,4
2016-04-13,5
2016-04-14,16
2016-04-15,5
2016-04-16,20
2016-04-17,5
2016-04-18,5
2016-04-19,16
2016-04-20,16
2016-04-21,5
2016-04-22,10
2016-04-23,14
2016-04-24,7
2016-04-25,9
2016-04-26,2
2016-04-27,14
2016-04-28,18
2016-04-29,9
2016-04-30,8
2016-05-01,3
2016-05-02,8
2016-05-03,14
2016-05-04,7
2016-05-05,12
2016-05-06,13
2016-05-07,7
2016-05-08,4
2016-05-09,5
2016-05-10,20
2016-05-11,14
2016-05-12,14
2016-05-13,16
2016-05-14,9
2016-05-16,4
2016-05-17,9
2016-05-18,3
2016-05-19,11
2016-05-20,10
2016-05-21,7
2016-05-23,5
2016-05-24,14
2016-05-25,4
2016-05-26,16
2016-05-27,19
2016-05-28,11
2016-05-29,3
2016-05-30,7
2016-05-31,7
2016-06-01,17
2016-06-02,17
2016-06-03,14
2016-06-04,14
2016-06-05,15
2016-06-06,15
2016-06-07,11
2016-06-08,2
2016-06-09,15
2016-06-10,13
2016-06-11,13
2016-06-13,7
2016-06-14,13
2016-06-15,9
2016-06-16,12
2016-06-17,27
2016-06-18,7
2016-06-19,4
2016-06-20,8
2016-06-21,6
2016-06-22,18
2016-06-23,11
2016-06-24,13
2016-06-25,6
2016-06-26,4
2016-06-27,9
2016-06-28,2
2016-06-29,8
2016-06-30,4
2016-07-01,9
2016-07-02,13
2016-07-03,1
2016-07-04,9
2016-07-05,8
2016-07-06,9
2016-07-07,8
2016-07-08,11
2016-07-09,11
2016-07-10,14
2016-07-11,8
2016-07-12,17
2016-07-13,12
2016-07-14,5
2016-07-15,13
2016-07-16,7
2016-07-17,2
2016-07-18,4
2016-07-19,7
2016-07-20,16
2016-07-21,3
2016-07-22,20
2016-07-23,9
2016-07-24,1
2016-07-25,9
2016-07-26,10
2016-07-27,14
2016-07-28,14
2016-07-29,10
2016-07-30,8
2016-07-31,5
2016-08-01,5
2016-08-02,5
2016-08-03,9
2016-08-04,7
2016-08-05,11
2016-08-06,8
2016-08-07,1
2016-08-08,4
2016-08-09,7
2016-08-10,7
2016-08-11,1
2016-08-12,7
2016-08-18,8
2016-08-19,11
2016-08-20,6
2016-08-22,8
2016-08-23,4
2016-08-24,10
2016-08-25,9
2016-08-26,7
2016-08-27,2
2016-08-28,4
2016-08-29,6
2016-08-30,3
2016-08-31,3
2016-09-01,11
2016-09-02,7
2016-09-03,3
2016-09-04,1
2016-09-06,4
2016-09-07,5
2016-09-08,5
2016-09-09,7
2016-09-10,5
2016-09-12,3
2016-09-13,2
2016-09-14,11
2016-09-15,16
2016-09-16,16
2016-09-17,2
2016-09-18,1
2016-09-20,10
2016-09-21,17
2016-09-22,6
2016-09-23,11
2016-09-24,3
2016-09-26,13
2016-09-27,11
2016-09-28,6
2016-09-29,4
2016-09-30,16
2016-10-01,11
2016-10-02,1
2016-10-03,6
2016-10-04,15
2016-10-05,4
2016-10-06,5
2016-10-07,9
2016-10-08,3
2016-10-09,1
2016-10-11,7
2016-10-12,12
2016-10-13,7
2016-10-14,10
2016-10-15,7
2016-10-16,3
2016-10-17,3
2016-10-18,7
2016-10-19,1
2016-10-20,4
2016-10-21,12
2016-10-22,6
2016-10-24,10
2016-10-25,6
2016-10-26,7
2016-10-27,11
2016-10-28,16
2016-10-29,6
2016-10-30,10
2016-11-01,6
2016-11-02,12
2016-11-03,3
2016-11-04,16
2016-11-05,13
2016-11-06,4
2016-11-07,5
2016-11-08,12
2016-11-09,8
2016-11-10,12
2016-11-11,9
2016-11-12,5
2016-11-13,4
2016-11-14,17
2016-11-16,13
2016-11-17,12
2016-11-18,11
2016-11-19,9
2016-11-21,7
2016-11-22,11
2016-11-24,2
2016-11-25,19
2016-11-26,4
2016-11-27,8
2016-11-28,4
2016-11-29,2
2016-11-30,12
2016-12-01,3
2016-12-02,12
2016-12-03,4
2016-12-04,3
2016-12-05,2
2016-12-06,7
2016-12-07,9
2016-12-08,11
2016-12-09,13
2016-12-10,4
2016-12-11,4
2016-12-12,4
2016-12-13,5
2016-12-14,24
2016-12-15,13
2016-12-16,19
2016-12-17,10
2016-12-18,4
2016-12-19,9
2016-12-20,13
2016-12-21,14
2016-12-22,20
2016-12-24,6
2016-12-26,13
2016-12-27,14
2016-12-28,13
2016-12-29,1
2017-01-05,10
2017-01-06,9
2017-01-07,11
2017-01-08,2
2017-01-11,16
2017-01-12,8
2017-01-13,13
2017-01-14,2
2017-01-15,4
2017-01-16,2
2017-01-17,2
2017-01-18,7
2017-01-19,6
2017-01-20,8
2017-01-21,6
2017-01-22,2
2017-01-23,2
2017-01-24,10
2017-01-25,10
2017-01-26,4
