date,visitors
2016-07-01,5
2016-07-02,11
2016-07-05,3
2016-07-06,6
2016-07-07,5
2016-07-08,7
2016-07-09,4
2016-07-12,3
2016-07-13,3
2016-07-14,12
2016-07-15,7
2016-07-16,16
2016-07-19,5
2016-07-20,2
2016-07-21,8
2016-07-22,7
2016-07-23,3
2016-07-26,5
2016-07-27,7
2016-07-28,13
2016-07-29,9
2016-07-30,7
2016-07-31,13
2016-08-02,13
2016-08-03,6
2016-08-04,10
2016-08-05,5
2016-08-06,6
2016-08-09,8
2016-08-10,17
2016-08-11,7
2016-08-16,6
2016-08-17,4
2016-08-18,8
2016-08-19,5
2016-08-20,6
2016-08-23,13
2016-08-24,5
2016-08-25,26
2016-08-26,8
2016-08-29,2
2016-08-30,2
2016-08-31,5
2016-09-01,15
2016-09-02,6
2016-09-03,7
2016-09-06,9
2016-09-07,7
2016-09-08,13
2016-09-09,15
2016-09-10,4
2016-09-13,5
2016-09-14,6
2016-09-15,2
2016-09-16,16
2016-09-17,15
2016-09-21,8
2016-09-22,23
2016-09-23,10
2016-09-24,11
2016-09-27,7
2016-09-28,2
2016-09-29,5
2016-10-04,7
2016-10-06,7
2016-10-07,8
2016-10-08,10
2016-10-11,5
2016-10-12,4
2016-10-13,22
2016-10-14,12
2016-10-15,17
2016-10-18,4
2016-10-19,5
2016-10-20,9
2016-10-21,12
2016-10-22,2
2016-10-25,4
2016-10-26,5
2016-10-27,38
2016-10-28,3
2016-10-29,26
2016-11-01,8
2016-11-02,9
2016-11-03,18
2016-11-04,11
2016-11-05,5
2016-11-08,5
2016-11-09,5
2016-11-10,12
2016-11-11,10
2016-11-12,5
2016-11-15,7
2016-11-16,20
2016-11-17,6
2016-11-18,11
2016-11-19,5
2016-11-22,4
2016-11-23,13
2016-11-24,27
2016-11-25,10
2016-11-29,13
2016-11-30,13
2016-12-01,4
2016-12-02,10
2016-12-03,6
2016-12-06,5
2016-12-07,1
2016-12-08,15
2016-12-09,18
2016-12-10,5
2016-12-13,4
2016-12-14,1
2016-12-15,5
2016-12-16,9
2016-12-17,8
2016-12-20,8
2016-12-21,7
2016-12-22,25
2016-12-23,6
2016-12-24,9
2017-01-06,5
2017-01-07,3
2017-01-08,1
2017-01-10,6
2017-01-11,8
2017-01-12,6
2017-01-13,10
2017-01-14,2
2017-01-17,9
2017-01-18,4
2017-01-19,2
2017-01-20,7
2017-01-21,9
2017-01-24,6
2017-01-25,18
2017-01-26,11
2017-01-27,8
2017-01-28,20
2017-01-31,16
2017-02-01,13
2017-02-02,18
2017-02-03,8
2017-02-04,13
2017-02-07,15
2017-02-08,10
2017-02-09,20
2017-02-10,14
2017-02-11,10
2017-02-14,12
2017-02-15,2
2017-02-16,10
2017-02-17,8
2017-02-18,8
2017-02-21,9
2017-02-22,10
