date,visitors
2016-07-01,23
2016-07-02,28
2016-07-03,17
2016-07-04,6
2016-07-05,5
2016-07-06,26
2016-07-07,3
2016-07-08,20
2016-07-09,33
2016-07-10,19
2016-07-11,26
2016-07-12,10
2016-07-13,13
2016-07-14,11
2016-07-15,29
2016-07-16,20
2016-07-17,24
2016-07-18,19
2016-07-19,11
2016-07-20,25
2016-07-21,12
2016-07-22,24
2016-07-23,27
2016-07-24,12
2016-07-25,8
2016-07-26,12
2016-07-27,12
2016-07-28,2
2016-07-29,36
2016-07-30,15
2016-07-31,12
2016-08-01,13
2016-08-02,4
2016-08-03,14
2016-08-04,11
2016-08-05,11
2016-08-06,14
2016-08-07,10
2016-08-08,11
2016-08-09,14
2016-08-10,18
2016-08-11,10
2016-08-12,8
2016-08-13,6
2016-08-14,20
2016-08-15,11
2016-08-16,2
2016-08-17,11
2016-08-18,8
2016-08-19,7
2016-08-20,25
2016-08-21,4
2016-08-22,2
2016-08-23,14
2016-08-24,15
2016-08-25,8
2016-08-26,14
2016-08-27,15
2016-08-28,15
2016-08-29,3
2016-08-31,4
2016-09-01,3
2016-09-02,15
2016-09-03,14
2016-09-04,14
2016-09-05,1
2016-09-06,16
2016-09-07,2
2016-09-08,6
2016-09-09,13
2016-09-10,24
2016-09-11,16
2016-09-12,8
2016-09-13,10
2016-09-14,7
2016-09-15,14
2016-09-16,9
2016-09-17,39
2016-09-18,18
2016-09-19,6
2016-09-20,7
2016-09-21,10
2016-09-22,14
2016-09-23,19
2016-09-24,12
2016-09-25,8
2016-09-26,7
2016-09-27,15
2016-09-28,4
2016-09-29,23
2016-09-30,23
2016-10-01,12
2016-10-02,2
2016-10-03,10
2016-10-04,2
2016-10-05,20
2016-10-06,2
2016-10-07,22
2016-10-08,13
2016-10-09,26
2016-10-10,6
2016-10-11,10
2016-10-12,10
2016-10-13,6
2016-10-14,22
2016-10-15,12
2016-10-16,8
2016-10-17,8
2016-10-18,14
2016-10-19,8
2016-10-20,9
2016-10-21,22
2016-10-22,22
2016-10-23,12
2016-10-24,2
2016-10-25,4
2016-10-26,12
2016-10-27,22
2016-10-28,14
2016-10-29,27
2016-10-30,6
2016-10-31,18
2016-11-01,5
2016-11-02,35
2016-11-03,19
2016-11-04,4
2016-11-05,26
2016-11-06,16
2016-11-08,2
2016-11-09,5
2016-11-10,10
2016-11-11,20
2016-11-12,12
2016-11-13,15
2016-11-14,4
2016-11-15,8
2016-11-16,2
2016-11-17,11
2016-11-18,17
2016-11-19,17
2016-11-20,14
2016-11-21,7
2016-11-22,15
2016-11-23,10
2016-11-24,4
2016-11-25,17
2016-11-26,22
2016-11-27,9
2016-11-28,6
2016-11-29,11
2016-11-30,14
2016-12-01,18
2016-12-02,8
2016-12-03,36
2016-12-04,2
2016-12-05,5
2016-12-06,16
2016-12-07,5
2016-12-08,16
2016-12-09,24
2016-12-10,30
2016-12-11,13
2016-12-12,9
2016-12-13,43
2016-12-14,15
2016-12-15,12
2016-12-16,27
2016-12-17,35
2016-12-18,3
2016-12-20,19
2016-12-21,20
2016-12-22,26
2016-12-23,28
2016-12-24,30
2016-12-25,23
2016-12-26,16
2016-12-27,30
2016-12-28,21
2016-12-29,50
2016-12-30,24
2016-12-31,11
2017-01-01,6
2017-01-02,11
2017-01-03,12
2017-01-04,15
2017-01-05,12
2017-01-06,20
2017-01-07,18
2017-01-08,18
2017-01-09,15
2017-01-10,14
2017-01-11,6
2017-01-12,6
2017-01-13,15
2017-01-14,18
2017-01-18,11
2017-01-19,11
2017-01-20,26
2017-01-21,22
2017-01-22,25
2017-01-23,10
2017-01-24,9
2017-01-25,5
2017-01-26,14
2017-01-27,16
2017-01-28,28
2017-01-29,20
2017-01-31,17
2017-02-01,14
2017-02-02,10
2017-02-03,10
2017-02-04,31
2017-02-05,20
2017-02-06,14
2017-02-07,6
2017-02-08,2
2017-02-09,10
2017-02-10,22
2017-02-11,19
2017-02-12,15
2017-02-13,9
2017-02-14,18
2017-02-15,10
2017-02-16,18
2017-02-17,21
2017-02-18,22
2017-02-19,15
2017-02-20,10
2017-02-21,4
2017-02-22,10
2017-02-23,8
