date,visitors
2016-07-01,19
2016-07-02,10
2016-07-03,9
2016-07-04,6
2016-07-05,1
2016-07-06,7
2016-07-07,10
2016-07-08,9
2016-07-09,12
2016-07-10,8
2016-07-11,2
2016-07-12,1
2016-07-13,20
2016-07-14,6
2016-07-15,7
2016-07-16,17
2016-07-17,11
2016-07-18,9
2016-07-19,6
2016-07-20,12
2016-07-21,10
2016-07-22,2
2016-07-23,23
2016-07-24,8
2016-07-25,8
2016-07-27,5
2016-07-28,12
2016-07-29,10
2016-07-30,9
2016-07-31,10
2016-08-01,15
2016-08-03,5
2016-08-04,7
2016-08-05,12
2016-08-06,10
2016-08-07,24
2016-08-08,7
2016-08-09,1
2016-08-10,5
2016-08-11,15
2016-08-12,5
2016-08-13,15
2016-08-14,8
2016-08-15,7
2016-08-16,7
2016-08-17,10
2016-08-18,16
2016-08-19,19
2016-08-20,8
2016-08-21,18
2016-08-22,5
2016-08-24,6
2016-08-25,11
2016-08-26,10
2016-08-27,16
2016-08-28,9
2016-08-29,10
2016-08-31,19
2016-09-01,14
2016-09-02,15
2016-09-03,10
2016-09-04,10
2016-09-05,15
2016-09-06,2
2016-09-07,14
2016-09-08,6
2016-09-09,23
2016-09-10,17
2016-09-11,22
2016-09-12,7
2016-09-14,14
2016-09-15,15
2016-09-16,6
2016-09-17,14
2016-09-18,11
2016-09-19,10
2016-09-20,6
2016-09-21,9
2016-09-22,20
2016-09-23,10
2016-09-27,8
2016-09-28,13
2016-09-29,15
2016-09-30,13
2016-10-01,22
2016-10-02,13
2016-10-03,11
2016-10-05,13
2016-10-06,10
2016-10-08,14
2016-10-09,21
2016-10-10,16
2016-10-12,4
2016-10-13,16
2016-10-14,18
2016-10-15,18
2016-10-16,7
2016-10-17,6
2016-10-19,17
2016-10-20,7
2016-10-21,5
2016-10-22,15
2016-10-23,15
2016-10-24,13
2016-10-26,10
2016-10-27,14
2016-10-28,17
2016-10-29,15
2016-10-30,19
2016-10-31,2
2016-11-01,10
2016-11-02,14
2016-11-03,12
2016-11-04,13
2016-11-05,15
2016-11-06,11
2016-11-07,4
2016-11-08,15
2016-11-09,11
2016-11-10,19
2016-11-11,15
2016-11-12,13
2016-11-13,12
2016-11-14,8
2016-11-16,23
2016-11-17,6
2016-11-18,15
2016-11-19,20
2016-11-20,12
2016-11-21,7
2016-11-22,3
2016-11-23,18
2016-11-24,15
2016-11-25,8
2016-11-26,14
2016-11-27,16
2016-11-28,8
2016-11-30,13
2016-12-01,4
2016-12-02,20
2016-12-03,16
2016-12-04,7
2016-12-05,12
2016-12-06,1
2016-12-07,12
2016-12-08,14
2016-12-09,5
2016-12-10,28
2016-12-11,12
2016-12-12,8
2016-12-13,1
2016-12-14,7
2016-12-15,8
2016-12-16,1
2016-12-17,25
2016-12-18,15
2016-12-19,7
2016-12-21,12
2016-12-22,16
2016-12-23,6
2016-12-24,8
2016-12-25,17
2016-12-26,5
2016-12-27,3
2016-12-28,15
2016-12-29,21
2016-12-30,12
2016-12-31,10
2017-01-04,5
2017-01-05,3
2017-01-06,13
2017-01-07,14
2017-01-08,10
2017-01-09,9
2017-01-10,1
2017-01-11,8
2017-01-12,9
2017-01-13,10
2017-01-14,16
2017-01-15,9
2017-01-16,8
2017-01-17,1
2017-01-18,18
2017-01-19,13
2017-01-20,10
2017-01-21,19
2017-01-22,10
2017-01-23,2
2017-01-24,4
2017-01-25,9
2017-01-26,13
2017-01-27,14
2017-01-28,6
2017-01-29,7
2017-01-30,9
2017-02-01,13
2017-02-02,9
2017-02-03,15
2017-02-04,17
2017-02-05,7
2017-02-06,4
2017-02-08,13
2017-02-09,8
2017-02-10,11
2017-02-11,10
2017-02-12,11
2017-02-13,10
2017-02-15,7
2017-02-16,11
2017-02-17,12
2017-02-18,9
2017-02-19,8
2017-02-20,4
2017-02-22,10
2017-02-23,10
