date,visitors
2016-07-01,77
2016-07-02,28
2016-07-03,20
2016-07-04,47
2016-07-05,53
2016-07-06,75
2016-07-07,55
2016-07-08,53
2016-07-09,60
2016-07-10,45
2016-07-11,64
2016-07-12,57
2016-07-13,64
2016-07-14,64
2016-07-15,50
2016-07-16,42
2016-07-17,26
2016-07-18,49
2016-07-19,63
2016-07-20,57
2016-07-21,64
2016-07-22,65
2016-07-23,47
2016-07-24,30
2016-07-25,94
2016-07-26,50
2016-07-27,48
2016-07-28,49
2016-07-29,86
2016-07-30,69
2016-07-31,26
2016-08-01,48
2016-08-02,56
2016-08-03,43
2016-08-04,63
2016-08-05,70
2016-08-06,41
2016-08-07,15
2016-08-08,55
2016-08-09,69
2016-08-10,61
2016-08-11,43
2016-08-12,55
2016-08-13,39
2016-08-14,23
2016-08-15,61
2016-08-16,74
2016-08-17,79
2016-08-18,57
2016-08-19,46
2016-08-20,49
2016-08-21,16
2016-08-22,5
2016-08-23,24
2016-08-24,52
2016-08-25,26
2016-08-26,24
2016-08-27,22
2016-08-28,10
2016-08-29,44
2016-08-30,46
2016-08-31,53
2016-09-01,62
2016-09-02,63
2016-09-03,38
2016-09-04,26
2016-09-05,44
2016-09-06,62
2016-09-07,54
2016-09-08,40
2016-09-09,54
2016-09-10,51
2016-09-11,20
2016-09-12,59
2016-09-13,44
2016-09-14,44
2016-09-15,60
2016-09-16,55
2016-09-17,39
2016-09-18,22
2016-09-19,29
2016-09-20,36
2016-09-21,52
2016-09-22,7
2016-09-23,52
2016-09-24,48
2016-09-25,10
2016-09-26,50
2016-09-27,71
2016-09-28,56
2016-09-29,52
2016-09-30,59
2016-10-01,31
2016-10-02,31
2016-10-03,24
2016-10-04,18
2016-10-05,30
2016-10-06,8
2016-10-07,32
2016-10-08,33
2016-10-09,30
2016-10-10,31
2016-10-11,18
2016-10-12,16
2016-10-13,18
2016-10-14,28
2016-10-15,13
2016-10-16,18
2016-10-17,14
2016-10-18,12
2016-10-19,9
2016-10-20,24
2016-10-21,38
2016-10-22,13
2016-10-23,24
2016-10-24,20
2016-10-25,27
2016-10-26,18
2016-10-27,53
2016-10-28,31
2016-10-29,25
2016-10-30,19
2016-10-31,10
2016-11-01,11
2016-11-02,26
2016-11-03,37
2016-11-04,13
2016-11-05,42
2016-11-06,13
2016-11-07,18
2016-11-08,24
2016-11-09,17
2016-11-10,11
2016-11-11,28
2016-11-12,59
2016-11-13,22
2016-11-14,19
2016-11-15,21
2016-11-16,19
2016-11-17,11
2016-11-18,27
2016-11-19,40
2016-11-20,19
2016-11-21,11
2016-11-22,18
2016-11-23,39
2016-11-24,27
2016-11-25,17
2016-11-26,28
2016-11-27,14
2016-11-28,19
2016-11-29,22
2016-11-30,25
2016-12-01,8
2016-12-02,30
2016-12-03,39
2016-12-04,16
2016-12-05,16
2016-12-06,13
2016-12-07,40
2016-12-08,10
2016-12-09,39
2016-12-10,50
2016-12-11,29
2016-12-12,19
2016-12-13,43
2016-12-14,20
2016-12-15,16
2016-12-16,46
2016-12-17,18
2016-12-18,54
2016-12-19,19
2016-12-20,33
2016-12-21,35
2016-12-22,20
2016-12-23,61
2016-12-24,25
2016-12-25,9
2016-12-26,43
2016-12-27,15
2016-12-28,40
2016-12-29,37
2016-12-30,21
2016-12-31,3
2017-01-05,45
2017-01-06,29
2017-01-07,13
2017-01-08,32
2017-01-09,17
2017-01-10,7
2017-01-11,32
2017-01-12,55
2017-01-13,11
2017-01-14,23
2017-01-15,22
2017-01-16,32
2017-01-17,31
2017-01-18,8
2017-01-19,33
2017-01-20,12
2017-01-21,52
2017-01-22,78
2017-01-23,32
2017-01-24,4
2017-01-25,26
2017-01-26,13
2017-01-27,22
2017-01-28,21
2017-01-29,30
2017-01-30,16
2017-01-31,13
2017-02-01,7
2017-02-02,8
2017-02-03,23
2017-02-04,27
2017-02-05,15
2017-02-06,16
2017-02-07,9
2017-02-08,28
2017-02-09,32
2017-02-10,23
2017-02-11,1
2017-02-12,28
2017-02-13,20
2017-02-14,18
2017-02-15,18
2017-02-16,40
2017-02-17,9
2017-02-18,20
2017-02-19,31
2017-02-20,12
2017-02-21,12
2017-02-22,39
