date,visitors
2016-07-01,63
2016-07-02,14
2016-07-03,5
2016-07-04,19
2016-07-05,43
2016-07-06,65
2016-07-07,54
2016-07-08,63
2016-07-09,18
2016-07-11,33
2016-07-12,62
2016-07-13,62
2016-07-14,59
2016-07-15,40
2016-07-16,23
2016-07-19,52
2016-07-20,51
2016-07-21,35
2016-07-22,77
2016-07-23,20
2016-07-24,2
2016-07-25,38
2016-07-26,41
2016-07-27,61
2016-07-28,65
2016-07-29,51
2016-07-30,45
2016-08-01,51
2016-08-02,31
2016-08-03,53
2016-08-04,63
2016-08-05,76
2016-08-06,17
2016-08-08,42
2016-08-09,42
2016-08-10,51
2016-08-11,4
2016-08-12,33
2016-08-13,14
2016-08-15,35
2016-08-16,25
2016-08-17,41
2016-08-18,48
2016-08-19,60
2016-08-20,5
2016-08-22,43
2016-08-23,35
2016-08-24,46
2016-08-25,55
2016-08-26,54
2016-08-27,14
2016-08-28,2
2016-08-29,10
2016-08-30,40
2016-08-31,57
2016-09-01,31
2016-09-02,64
2016-09-03,18
2016-09-05,40
2016-09-06,36
2016-09-07,59
2016-09-08,17
2016-09-09,60
2016-09-10,17
2016-09-11,2
2016-09-12,33
2016-09-13,40
2016-09-14,49
2016-09-15,43
2016-09-16,72
2016-09-17,5
2016-09-20,24
2016-09-21,58
2016-09-22,3
2016-09-23,39
2016-09-24,18
2016-09-26,39
2016-09-27,47
2016-09-28,48
2016-09-29,70
2016-09-30,43
2016-10-01,21
2016-10-03,56
2016-10-04,44
2016-10-05,47
2016-10-06,25
2016-10-07,55
2016-10-08,27
2016-10-11,39
2016-10-12,43
2016-10-13,43
2016-10-14,51
2016-10-15,32
2016-10-17,35
2016-10-18,54
2016-10-19,57
2016-10-20,22
2016-10-21,81
2016-10-22,26
2016-10-24,42
2016-10-25,39
2016-10-26,53
2016-10-27,68
2016-10-28,23
2016-10-29,36
2016-10-31,49
2016-11-01,38
2016-11-02,60
2016-11-03,10
2016-11-04,57
2016-11-05,25
2016-11-07,59
2016-11-08,35
2016-11-09,36
2016-11-10,43
2016-11-11,45
2016-11-12,14
2016-11-13,4
2016-11-14,27
2016-11-15,50
2016-11-16,58
2016-11-17,55
2016-11-18,61
2016-11-19,20
2016-11-20,2
2016-11-21,38
2016-11-22,57
2016-11-23,3
2016-11-24,38
2016-11-25,64
2016-11-26,17
2016-11-28,40
2016-11-29,61
2016-11-30,61
2016-12-01,68
2016-12-02,67
2016-12-03,24
2016-12-05,6
2016-12-06,34
2016-12-07,53
2016-12-08,51
2016-12-09,52
2016-12-10,25
2016-12-12,64
2016-12-13,62
2016-12-14,57
2016-12-15,23
2016-12-16,75
2016-12-17,31
2016-12-19,51
2016-12-20,25
2016-12-21,54
2016-12-22,66
2016-12-24,20
2016-12-26,32
2016-12-27,36
2016-12-28,43
2017-01-05,6
2017-01-06,20
2017-01-07,21
2017-01-10,45
2017-01-11,60
2017-01-12,14
2017-01-13,54
2017-01-16,41
2017-01-17,43
2017-01-18,40
2017-01-19,52
2017-01-20,18
2017-01-21,34
2017-01-23,25
2017-01-24,37
2017-01-25,39
2017-01-26,50
2017-01-27,67
2017-01-28,32
2017-01-30,57
2017-01-31,33
2017-02-01,52
2017-02-02,41
2017-02-03,67
2017-02-04,19
2017-02-05,7
2017-02-06,40
2017-02-07,31
2017-02-08,45
2017-02-09,55
2017-02-10,49
2017-02-13,25
2017-02-14,29
2017-02-15,45
2017-02-16,9
2017-02-17,62
2017-02-18,25
2017-02-20,14
2017-02-21,51
2017-02-22,41
2017-02-23,46
2017-02-24,47
2017-02-25,29
2017-02-26,4
2017-02-27,38
