date,visitors
2016-01-04,5
2016-01-05,4
2016-01-06,2
2016-01-07,5
2016-01-08,3
2016-01-09,11
2016-01-11,12
2016-01-12,4
2016-01-14,9
2016-01-15,16
2016-01-19,5
2016-01-21,21
2016-01-22,18
2016-01-23,3
2016-01-25,4
2016-01-27,10
2016-01-29,18
2016-01-30,9
2016-02-01,18
2016-02-02,18
2016-02-03,8
2016-02-04,2
2016-02-05,1
2016-02-06,4
2016-02-08,1
2016-02-09,3
2016-02-10,14
2016-02-11,4
2016-02-12,12
2016-02-13,19
2016-02-15,9
2016-02-16,2
2016-02-17,9
2016-02-19,11
2016-02-20,10
2016-02-22,31
2016-02-24,11
2016-02-26,10
2016-02-27,17
2016-02-29,2
2016-03-02,2
2016-03-04,6
2016-03-05,14
2016-03-07,10
2016-03-10,2
2016-03-11,3
2016-03-12,5
2016-03-15,4
2016-03-16,5
2016-03-22,9
2016-03-23,10
2016-03-24,22
2016-03-25,10
2016-03-26,5
2016-03-28,2
2016-04-01,8
2016-04-04,7
2016-04-05,2
2016-04-06,6
2016-04-08,10
2016-04-09,17
2016-04-11,15
2016-04-12,14
2016-04-14,7
2016-04-15,14
2016-04-16,3
2016-04-18,10
2016-04-21,10
2016-04-22,13
2016-04-26,2
2016-04-27,1
2016-04-28,5
2016-04-30,6
2016-05-03,24
2016-05-04,8
2016-05-06,12
2016-05-07,14
2016-05-10,9
2016-05-11,7
2016-05-12,3
2016-05-13,10
2016-05-18,2
2016-05-19,9
2016-05-23,2
2016-05-28,2
2016-06-09,5
2016-06-11,2
2016-06-14,3
2016-06-17,2
2016-06-22,1
2016-06-25,1
2016-06-27,2
2016-06-28,4
2016-06-30,5
2016-07-04,13
2016-07-06,2
2016-07-09,4
2016-07-11,3
2016-07-14,5
2016-07-16,3
2016-07-20,2
2016-07-25,20
2016-07-26,5
2016-07-27,10
2016-07-28,1
2016-08-03,11
2016-08-04,6
2016-08-08,7
2016-08-09,12
2016-08-10,26
2016-08-11,6
2016-08-12,14
2016-08-13,3
2016-08-15,3
2016-08-16,9
2016-08-18,5
2016-08-19,13
2016-08-20,19
2016-08-23,1
2016-08-25,10
2016-08-31,1
2016-09-01,7
2016-09-02,3
2016-09-03,6
2016-09-08,13
2016-09-09,4
2016-09-16,4
2016-09-17,17
2016-09-19,6
2016-09-23,2
2016-09-27,11
2016-09-28,17
2016-09-29,1
2016-10-04,4
2016-10-07,2
2016-10-10,6
2016-10-11,5
2016-10-12,4
2016-10-13,4
2016-10-18,2
2016-10-19,27
2016-10-20,22
2016-10-21,13
2016-10-22,9
2016-10-24,7
2016-10-31,9
2016-11-04,32
2016-11-05,9
2016-11-07,9
2016-11-08,3
2016-11-15,8
2016-11-18,3
2016-12-28,9
2016-12-29,8
