date,visitors
2016-07-01,7
2016-07-02,15
2016-07-03,5
2016-07-04,27
2016-07-05,10
2016-07-06,4
2016-07-07,10
2016-07-08,12
2016-07-09,19
2016-07-11,3
2016-07-12,5
2016-07-13,20
2016-07-14,27
2016-07-15,26
2016-07-16,12
2016-07-19,6
2016-07-20,10
2016-07-21,20
2016-07-22,13
2016-07-23,8
2016-07-25,21
2016-07-26,5
2016-07-27,8
2016-07-28,23
2016-07-29,21
2016-07-30,11
2016-08-01,10
2016-08-02,7
2016-08-03,4
2016-08-04,27
2016-08-05,23
2016-08-06,12
2016-08-08,4
2016-08-09,23
2016-08-10,33
2016-08-16,20
2016-08-17,7
2016-08-18,12
2016-08-19,29
2016-08-20,19
2016-08-22,4
2016-08-23,13
2016-08-24,27
2016-08-25,12
2016-08-26,16
2016-08-27,19
2016-08-29,5
2016-08-30,10
2016-08-31,20
2016-09-01,20
2016-09-02,19
2016-09-03,21
2016-09-05,7
2016-09-06,10
2016-09-07,8
2016-09-08,26
2016-09-09,21
2016-09-10,4
2016-09-12,21
2016-09-13,12
2016-09-14,24
2016-09-15,9
2016-09-16,23
2016-09-17,28
2016-09-20,18
2016-09-21,9
2016-09-23,5
2016-09-24,13
2016-09-27,5
2016-09-28,19
2016-09-29,5
2016-09-30,1
2016-10-01,14
2016-10-02,3
2016-10-03,13
2016-10-04,15
2016-10-05,2
2016-10-06,10
2016-10-07,19
2016-10-08,14
2016-10-09,12
2016-10-11,15
2016-10-12,16
2016-10-14,18
2016-10-15,12
2016-10-17,4
2016-10-18,11
2016-10-19,14
2016-10-20,1
2016-10-21,26
2016-10-22,2
2016-10-24,2
2016-10-25,3
2016-10-28,12
2016-10-29,30
2016-10-31,18
2016-11-01,11
2016-11-02,8
2016-11-04,14
2016-11-05,2
2016-11-07,9
2016-11-08,6
2016-11-09,6
2016-11-11,19
2016-11-12,14
2016-11-14,12
2016-11-15,6
2016-11-16,2
2016-11-17,5
2016-11-18,34
2016-11-19,13
2016-11-21,4
2016-11-22,4
2016-11-23,2
2016-11-24,14
2016-11-25,18
2016-11-26,27
2016-11-28,9
2016-11-29,14
2016-11-30,2
2016-12-01,11
2016-12-02,14
2016-12-03,9
2016-12-04,16
2016-12-05,9
2016-12-06,7
2016-12-07,8
2016-12-09,15
2016-12-10,24
2016-12-12,4
2016-12-14,14
2016-12-15,27
2016-12-16,5
2016-12-17,44
2016-12-18,1
2016-12-19,17
2016-12-20,18
2016-12-21,6
2016-12-22,28
2016-12-23,28
2016-12-24,24
2016-12-25,17
2016-12-26,8
2016-12-27,17
2016-12-28,18
2017-01-06,12
2017-01-07,6
2017-01-09,23
2017-01-10,15
2017-01-11,8
2017-01-12,9
2017-01-13,29
2017-01-14,21
2017-01-16,4
2017-01-17,2
2017-01-18,18
2017-01-19,2
2017-01-20,22
2017-01-21,16
2017-01-23,2
2017-01-24,11
2017-01-25,13
2017-01-26,2
2017-01-27,12
2017-01-28,14
2017-01-30,8
2017-01-31,24
2017-02-01,1
2017-02-02,9
2017-02-03,7
2017-02-04,12
2017-02-06,4
2017-02-07,3
2017-02-08,5
2017-02-09,23
2017-02-10,27
2017-02-13,8
2017-02-14,12
2017-02-15,27
2017-02-16,5
2017-02-17,4
2017-02-18,17
2017-02-20,4
2017-02-21,9
2017-02-22,19
