date,visitors
2016-07-01,24
2016-07-02,32
2016-07-03,39
2016-07-04,50
2016-07-05,40
2016-07-06,38
2016-07-07,55
2016-07-08,40
2016-07-09,48
2016-07-10,61
2016-07-11,46
2016-07-12,56
2016-07-13,42
2016-07-14,49
2016-07-15,45
2016-07-16,28
2016-07-17,50
2016-07-18,27
2016-07-19,58
2016-07-20,45
2016-07-21,39
2016-07-22,33
2016-07-23,49
2016-07-24,70
2016-07-25,22
2016-07-26,28
2016-07-27,13
2016-07-28,37
2016-07-29,26
2016-07-30,35
2016-07-31,36
2016-08-01,15
2016-08-02,23
2016-08-03,16
2016-08-04,35
2016-08-05,23
2016-08-06,57
2016-08-07,33
2016-08-08,23
2016-08-09,29
2016-08-10,19
2016-08-11,31
2016-08-12,21
2016-08-13,32
2016-08-15,17
2016-08-16,21
2016-08-17,14
2016-08-18,35
2016-08-19,21
2016-08-20,43
2016-08-21,49
2016-08-22,34
2016-08-23,39
2016-08-24,19
2016-08-25,41
2016-08-26,24
2016-08-27,33
2016-08-28,63
2016-08-29,9
2016-08-30,35
2016-08-31,39
2016-09-01,31
2016-09-02,35
2016-09-03,62
2016-09-04,47
2016-09-05,26
2016-09-06,37
2016-09-07,35
2016-09-08,32
2016-09-09,47
2016-09-10,56
2016-09-11,72
2016-09-12,34
2016-09-13,43
2016-09-14,38
2016-09-15,52
2016-09-16,32
2016-09-17,68
2016-09-18,56
2016-09-19,37
2016-09-20,10
2016-09-21,55
2016-09-22,36
2016-09-23,24
2016-09-24,41
2016-09-25,73
2016-09-26,49
2016-09-27,53
2016-09-28,39
2016-09-29,31
2016-09-30,50
2016-10-01,45
2016-10-02,56
2016-10-03,30
2016-10-04,43
2016-10-05,21
2016-10-06,53
2016-10-07,67
2016-10-08,69
2016-10-09,82
2016-10-10,35
2016-10-11,39
2016-10-12,67
2016-10-13,27
2016-10-14,69
2016-10-15,89
2016-10-16,65
2016-10-17,25
2016-10-18,48
2016-10-19,71
2016-10-20,42
2016-10-21,30
2016-10-22,86
2016-10-23,51
2016-10-24,32
2016-10-25,56
2016-10-26,58
2016-10-27,40
2016-10-28,46
2016-10-29,42
2016-10-30,59
2016-10-31,58
2016-11-01,60
2016-11-02,54
2016-11-03,70
2016-11-04,57
2016-11-05,63
2016-11-06,58
2016-11-07,48
2016-11-08,28
2016-11-09,54
2016-11-10,40
2016-11-11,57
2016-11-12,83
2016-11-13,76
2016-11-14,54
2016-11-15,45
2016-11-16,51
2016-11-17,28
2016-11-18,47
2016-11-19,67
2016-11-20,58
2016-11-21,40
2016-11-22,46
2016-11-23,43
2016-11-24,37
2016-11-25,28
2016-11-26,43
2016-11-27,38
2016-11-28,39
2016-11-29,43
2016-11-30,41
2016-12-01,26
2016-12-02,48
2016-12-03,59
2016-12-04,50
2016-12-05,64
2016-12-06,36
2016-12-07,44
2016-12-08,64
2016-12-09,52
2016-12-10,57
2016-12-11,43
2016-12-12,20
2016-12-13,23
2016-12-14,51
2016-12-15,57
2016-12-16,50
2016-12-17,52
2016-12-18,51
2016-12-19,43
2016-12-20,48
2016-12-21,27
2016-12-22,41
2016-12-23,70
2016-12-24,58
2016-12-25,34
2016-12-26,34
2016-12-27,17
2016-12-28,27
2016-12-29,36
2016-12-30,35
2016-12-31,21
2017-01-02,18
2017-01-03,33
2017-01-04,34
2017-01-05,16
2017-01-06,26
2017-01-07,51
2017-01-08,36
2017-01-09,30
2017-01-10,14
2017-01-11,37
2017-01-12,44
2017-01-13,23
2017-01-14,33
2017-01-15,26
2017-01-16,35
2017-01-17,53
2017-01-18,26
2017-01-19,56
2017-01-20,33
2017-01-21,47
2017-01-22,61
2017-01-23,31
2017-01-24,37
2017-01-25,31
2017-01-26,40
2017-01-27,30
2017-01-28,44
2017-01-29,58
2017-01-30,30
2017-01-31,56
2017-02-01,21
2017-02-02,45
2017-02-03,30
2017-02-04,45
2017-02-05,22
2017-02-06,19
2017-02-07,31
2017-02-08,40
2017-02-09,28
2017-02-11,33
2017-02-12,37
2017-02-13,37
2017-02-14,34
2017-02-15,41
2017-02-16,38
2017-02-17,34
2017-02-18,34
2017-02-19,46
2017-02-20,37
2017-02-21,41
2017-02-22,42
