date,visitors
2016-01-07,4
2016-01-08,10
2016-01-09,7
2016-01-10,5
2016-01-11,14
2016-01-13,2
2016-01-14,8
2016-01-15,7
2016-01-16,20
2016-01-17,2
2016-01-19,6
2016-01-20,11
2016-01-21,16
2016-01-22,13
2016-01-23,9
2016-01-24,2
2016-01-25,1
2016-01-26,12
2016-01-27,6
2016-01-28,7
2016-01-29,9
2016-01-30,13
2016-01-31,9
2016-02-02,4
2016-02-03,4
2016-02-04,2
2016-02-05,4
2016-02-06,13
2016-02-07,7
2016-02-09,2
2016-02-10,24
2016-02-11,14
2016-02-12,5
2016-02-13,5
2016-02-14,18
2016-02-15,3
2016-02-16,4
2016-02-17,10
2016-02-19,9
2016-02-20,18
2016-02-21,5
2016-02-22,72
2016-02-23,4
2016-02-24,3
2016-02-26,9
2016-02-27,12
2016-02-28,8
2016-02-29,3
2016-03-01,6
2016-03-02,17
2016-03-03,6
2016-03-04,5
2016-03-05,11
2016-03-06,4
2016-03-08,7
2016-03-09,6
2016-03-10,6
2016-03-11,11
2016-03-12,14
2016-03-13,11
2016-03-14,10
2016-03-15,3
2016-03-16,10
2016-03-17,2
2016-03-18,14
2016-03-19,12
2016-03-20,6
2016-03-21,2
2016-03-23,20
2016-03-24,7
2016-03-25,10
2016-03-26,12
2016-03-27,6
2016-03-28,2
2016-03-29,9
2016-03-30,7
2016-03-31,15
2016-04-01,4
2016-04-02,19
2016-04-03,11
2016-04-05,3
2016-04-06,14
2016-04-07,4
2016-04-08,1
2016-04-09,22
2016-04-10,16
2016-04-13,14
2016-04-14,12
2016-04-15,9
2016-04-16,10
2016-04-17,20
2016-04-19,2
2016-04-20,8
2016-04-21,11
2016-04-22,6
2016-04-23,15
2016-04-24,20
2016-04-27,6
2016-04-28,17
2016-04-29,10
2016-04-30,5
2016-05-01,9
2016-05-02,7
2016-05-03,16
2016-05-04,15
2016-05-05,13
2016-05-06,2
2016-05-07,10
2016-05-08,3
2016-05-10,4
2016-05-11,3
2016-05-12,2
2016-05-13,14
2016-05-14,9
2016-05-17,9
2016-05-18,9
2016-05-19,7
2016-05-20,15
2016-05-21,20
2016-05-22,11
2016-05-25,20
2016-05-26,10
2016-05-27,6
2016-05-28,8
2016-05-29,14
2016-05-31,5
2016-06-01,8
2016-06-02,2
2016-06-03,12
2016-06-04,12
2016-06-05,8
2016-06-07,8
2016-06-08,12
2016-06-09,8
2016-06-10,19
2016-06-11,10
2016-06-12,6
2016-06-14,7
2016-06-15,5
2016-06-16,9
2016-06-18,78
2016-06-19,51
2016-06-21,3
2016-06-22,15
2016-06-23,5
2016-06-24,17
2016-06-25,21
2016-06-26,19
2016-06-28,5
2016-06-29,9
2016-06-30,6
2016-07-01,2
2016-07-02,29
2016-07-03,17
2016-07-05,5
2016-07-06,8
2016-07-07,4
2016-07-08,10
2016-07-09,16
2016-07-10,13
2016-07-12,2
2016-07-13,3
2016-07-14,6
2016-07-15,5
2016-07-16,6
2016-07-17,7
2016-07-18,4
2016-07-19,1
2016-07-20,5
2016-07-21,5
2016-07-22,11
2016-07-23,6
2016-07-24,13
2016-07-26,3
2016-07-27,6
2016-07-28,4
2016-07-29,3
2016-07-30,5
2016-07-31,6
2016-08-02,4
2016-08-03,2
2016-08-04,3
2016-08-05,5
2016-08-06,6
2016-08-07,7
2016-08-09,6
2016-08-10,5
2016-08-11,1
2016-08-12,5
2016-08-13,5
2016-08-14,4
2016-08-18,1
2016-08-19,4
2016-08-20,6
2016-08-21,7
2016-08-22,3
2016-08-23,3
2016-08-24,3
2016-08-25,6
2016-08-26,7
2016-08-27,4
2016-08-28,4
2016-08-30,7
2016-08-31,3
2016-09-01,8
2016-09-02,9
2016-09-03,12
2016-09-04,6
2016-09-06,3
2016-09-07,7
2016-09-08,118
2016-09-09,4
2016-09-10,6
2016-09-11,7
2016-09-13,6
2016-09-14,2
2016-09-15,10
2016-09-16,14
2016-09-17,12
2016-09-18,16
2016-09-19,4
2016-09-20,7
2016-09-21,3
2016-09-22,21
2016-09-23,13
2016-09-24,14
2016-09-25,13
2016-09-27,7
2016-09-28,5
2016-09-29,8
2016-09-30,21
2016-10-01,11
2016-10-02,3
2016-10-04,5
2016-10-05,3
2016-10-06,8
2016-10-07,14
2016-10-08,11
2016-10-09,8
2016-10-10,15
2016-10-11,3
2016-10-12,2
2016-10-13,1
2016-10-14,2
2016-10-15,25
2016-10-16,11
2016-10-18,4
2016-10-19,7
2016-10-20,5
2016-10-21,15
2016-10-22,7
2016-10-23,2
2016-10-25,2
2016-10-27,4
2016-10-28,11
2016-10-29,14
2016-10-30,16
2016-10-31,7
2016-11-02,4
2016-11-03,16
2016-11-04,9
2016-11-05,9
2016-11-06,13
2016-11-08,3
2016-11-10,11
2016-11-11,9
2016-11-12,10
2016-11-13,13
2016-11-14,3
2016-11-15,2
2016-11-16,4
2016-11-17,16
2016-11-18,11
2016-11-19,13
2016-11-20,14
2016-11-22,10
2016-11-23,13
2016-11-24,3
2016-11-25,13
2016-11-26,15
2016-11-27,11
2016-11-29,4
2016-11-30,8
2016-12-01,2
2016-12-02,7
2016-12-03,21
2016-12-04,5
2016-12-06,12
2016-12-07,6
2016-12-08,8
2016-12-09,9
2016-12-10,18
2016-12-11,15
2016-12-12,2
2016-12-13,7
2016-12-14,14
2016-12-15,12
2016-12-16,9
2016-12-17,25
2016-12-18,15
2016-12-19,6
2016-12-20,14
2016-12-21,19
2016-12-22,15
2016-12-23,19
2016-12-24,20
