date,visitors
2016-01-06,3
2016-01-08,6
2016-01-09,8
2016-01-10,4
2016-01-11,5
2016-01-16,24
2016-01-18,4
2016-01-20,14
2016-01-21,1
2016-01-22,7
2016-01-23,13
2016-01-24,10
2016-01-25,5
2016-01-26,2
2016-01-27,3
2016-01-28,10
2016-01-29,26
2016-01-30,3
2016-01-31,10
2016-02-01,16
2016-02-02,1
2016-02-03,5
2016-02-04,13
2016-02-05,3
2016-02-06,18
2016-02-07,8
2016-02-08,16
2016-02-09,5
2016-02-10,3
2016-02-11,10
2016-02-12,16
2016-02-13,1
2016-02-14,15
2016-02-15,2
2016-02-16,7
2016-02-17,21
2016-02-19,4
2016-02-20,5
2016-02-21,12
2016-02-22,4
2016-02-23,6
2016-02-25,11
2016-02-26,9
2016-02-27,12
2016-02-29,7
2016-03-02,5
2016-03-03,4
2016-03-04,1
2016-03-05,11
2016-03-06,2
2016-03-08,3
2016-03-09,4
2016-03-10,2
2016-03-11,17
2016-03-12,12
2016-03-13,5
2016-03-14,2
2016-03-15,5
2016-03-16,18
2016-03-17,5
2016-03-18,33
2016-03-19,3
2016-03-20,3
2016-03-21,28
2016-03-23,57
2016-03-25,33
2016-03-26,89
2016-03-27,4
2016-03-28,4
2016-03-29,63
2016-03-30,20
2016-03-31,16
2016-04-01,11
2016-04-02,8
2016-04-04,2
2016-04-05,2
2016-04-06,6
2016-04-08,1
2016-04-09,12
2016-04-12,6
2016-04-13,11
2016-04-14,10
2016-04-15,3
2016-04-16,18
2016-04-18,2
2016-04-19,7
2016-04-21,15
2016-04-22,20
2016-04-23,7
2016-04-24,12
2016-04-25,29
2016-04-26,30
2016-04-27,2
2016-04-28,41
2016-04-29,12
2016-04-30,17
2016-05-01,5
2016-05-02,4
2016-05-03,25
2016-05-05,2
2016-05-06,8
2016-05-07,22
2016-05-08,23
2016-05-09,2
2016-05-10,7
2016-05-11,28
2016-05-12,7
2016-05-13,21
2016-05-14,5
2016-05-15,19
2016-05-16,7
2016-05-18,2
2016-05-19,9
2016-05-20,7
2016-05-21,6
2016-05-22,11
2016-05-23,6
2016-05-24,34
2016-05-25,16
2016-05-27,5
2016-05-28,3
2016-05-29,9
2016-05-30,10
2016-05-31,5
2016-06-01,5
2016-06-02,9
2016-06-03,2
2016-06-04,8
2016-06-05,4
2016-06-07,9
2016-06-08,2
2016-06-09,13
2016-06-10,6
2016-06-11,1
2016-06-12,2
2016-06-13,2
2016-06-14,28
2016-06-15,21
2016-06-16,7
2016-06-17,11
2016-06-18,10
2016-06-19,26
2016-06-21,2
2016-06-22,6
2016-06-23,3
2016-06-24,6
2016-06-25,1
2016-06-26,16
2016-06-27,28
2016-06-28,12
2016-06-29,18
2016-06-30,13
2016-07-01,2
2016-07-02,3
