date,visitors
2016-07-01,51
2016-07-02,61
2016-07-03,56
2016-07-04,52
2016-07-05,26
2016-07-06,56
2016-07-07,61
2016-07-08,51
2016-07-09,46
2016-07-10,70
2016-07-11,41
2016-07-12,41
2016-07-13,30
2016-07-14,34
2016-07-15,24
2016-07-16,52
2016-07-17,53
2016-07-18,73
2016-07-19,39
2016-07-20,68
2016-07-21,16
2016-07-22,29
2016-07-23,61
2016-07-24,53
2016-07-25,23
2016-07-26,29
2016-07-27,28
2016-07-28,57
2016-07-29,41
2016-07-30,69
2016-07-31,70
2016-08-01,37
2016-08-02,37
2016-08-03,42
2016-08-04,36
2016-08-05,48
2016-08-06,82
2016-08-07,74
2016-08-08,39
2016-08-09,36
2016-08-10,27
2016-08-11,56
2016-08-16,30
2016-08-17,32
2016-08-18,31
2016-08-19,27
2016-08-20,49
2016-08-21,72
2016-08-22,6
2016-08-23,27
2016-08-24,38
2016-08-25,32
2016-08-26,40
2016-08-27,36
2016-08-28,34
2016-08-29,34
2016-08-30,14
2016-08-31,35
2016-09-01,38
2016-09-02,34
2016-09-03,58
2016-09-04,93
2016-09-05,47
2016-09-06,61
2016-09-07,37
2016-09-08,34
2016-09-09,37
2016-09-10,51
2016-09-11,75
2016-09-12,41
2016-09-13,22
2016-09-14,38
2016-09-15,32
2016-09-16,21
2016-09-17,68
2016-09-18,35
2016-09-19,15
2016-09-20,13
2016-09-21,35
2016-09-22,25
2016-09-23,29
2016-09-24,25
2016-09-25,64
2016-09-26,43
2016-09-27,37
2016-09-28,52
2016-09-29,34
2016-09-30,43
2016-10-01,45
2016-10-02,58
2016-10-03,27
2016-10-04,51
2016-10-05,34
2016-10-06,49
2016-10-07,42
2016-10-08,52
2016-10-09,40
2016-10-10,57
2016-10-11,23
2016-10-12,51
2016-10-13,24
2016-10-14,30
2016-10-15,52
2016-10-16,58
2016-10-17,31
2016-10-18,45
2016-10-19,28
2016-10-20,41
2016-10-21,52
2016-10-22,27
2016-10-23,56
2016-10-24,24
2016-10-25,16
2016-10-26,39
2016-10-27,35
2016-10-28,8
2016-10-29,73
2016-10-30,38
2016-10-31,26
2016-11-01,20
2016-11-02,15
2016-11-03,46
2016-11-04,32
2016-11-05,51
2016-11-06,51
2016-11-07,23
2016-11-08,25
2016-11-09,26
2016-11-10,27
2016-11-11,20
2016-11-12,42
2016-11-13,36
2016-11-14,28
2016-11-15,32
2016-11-16,24
2016-11-17,25
2016-11-18,24
2016-11-19,29
2016-11-20,46
2016-11-21,26
2016-11-22,34
2016-11-23,27
2016-11-24,16
2016-11-25,26
2016-11-26,27
2016-11-27,22
2016-11-28,20
2016-11-29,32
2016-11-30,30
2016-12-01,28
2016-12-02,26
2016-12-03,44
2016-12-04,44
2016-12-05,27
2016-12-06,24
2016-12-07,17
2016-12-08,34
2016-12-09,33
2016-12-10,22
2016-12-11,31
2016-12-12,16
2016-12-13,18
2016-12-14,22
2016-12-15,21
2016-12-16,15
2016-12-17,26
2016-12-18,35
2016-12-19,25
2016-12-20,24
2016-12-21,22
2016-12-22,20
2016-12-23,38
2016-12-24,23
2016-12-25,28
2016-12-26,17
2016-12-27,14
2016-12-28,14
2016-12-29,26
2017-01-04,32
2017-01-05,19
2017-01-06,21
2017-01-07,30
2017-01-08,21
2017-01-09,21
2017-01-10,32
2017-01-11,25
2017-01-12,22
2017-01-13,17
2017-01-14,26
2017-01-15,24
2017-01-16,15
2017-01-17,18
2017-01-18,19
2017-01-19,18
2017-01-20,12
2017-01-21,24
2017-01-22,32
2017-01-23,23
2017-01-24,23
2017-01-25,31
2017-01-26,24
2017-01-27,23
2017-01-28,35
2017-01-29,33
2017-01-30,36
2017-01-31,23
2017-02-01,30
2017-02-02,19
2017-02-03,19
2017-02-04,42
2017-02-05,29
2017-02-06,21
2017-02-07,18
2017-02-08,24
2017-02-09,15
2017-02-10,12
2017-02-11,30
2017-02-12,43
2017-02-13,22
2017-02-14,18
2017-02-15,23
2017-02-16,20
2017-02-17,36
2017-02-18,26
2017-02-19,33
2017-02-20,18
2017-02-21,20
2017-02-22,28
2017-02-23,15
