date,visitors
2016-07-01,39
2016-07-02,41
2016-07-04,33
2016-07-05,33
2016-07-06,36
2016-07-07,42
2016-07-08,33
2016-07-09,35
2016-07-10,3
2016-07-11,25
2016-07-12,37
2016-07-13,37
2016-07-14,42
2016-07-15,31
2016-07-16,36
2016-07-17,3
2016-07-18,29
2016-07-19,34
2016-07-20,28
2016-07-21,25
2016-07-22,32
2016-07-23,45
2016-07-25,28
2016-07-26,37
2016-07-27,29
2016-07-28,36
2016-07-29,57
2016-07-30,39
2016-08-01,32
2016-08-02,29
2016-08-03,32
2016-08-04,25
2016-08-05,54
2016-08-06,21
2016-08-07,4
2016-08-08,39
2016-08-09,21
2016-08-10,15
2016-08-11,28
2016-08-12,41
2016-08-13,25
2016-08-15,47
2016-08-16,45
2016-08-17,31
2016-08-18,37
2016-08-19,18
2016-08-20,26
2016-08-22,23
2016-08-23,33
2016-08-24,35
2016-08-25,19
2016-08-26,42
2016-08-27,26
2016-08-29,26
2016-08-30,26
2016-08-31,41
2016-09-01,26
2016-09-02,29
2016-09-03,36
2016-09-04,3
2016-09-05,20
2016-09-06,38
2016-09-07,20
2016-09-08,26
2016-09-09,32
2016-09-10,26
2016-09-11,1
2016-09-12,33
2016-09-13,30
2016-09-14,33
2016-09-15,41
2016-09-16,33
2016-09-17,40
2016-09-19,40
2016-09-20,31
2016-09-21,35
2016-09-22,25
2016-09-23,20
2016-09-24,41
2016-09-26,37
2016-09-27,42
2016-09-28,51
2016-09-29,30
2016-09-30,48
2016-10-01,26
2016-10-02,2
2016-10-03,33
2016-10-04,51
2016-10-05,36
2016-10-06,50
2016-10-07,59
2016-10-08,34
2016-10-09,1
2016-10-10,52
2016-10-11,38
2016-10-12,47
2016-10-13,38
2016-10-14,53
2016-10-15,35
2016-10-16,7
2016-10-17,25
2016-10-18,54
2016-10-19,40
2016-10-20,36
2016-10-21,34
2016-10-22,29
2016-10-25,29
2016-10-26,43
2016-10-27,46
2016-10-28,38
2016-10-29,36
2016-10-31,44
2016-11-01,55
2016-11-02,36
2016-11-03,48
2016-11-04,24
2016-11-05,37
2016-11-07,33
2016-11-08,44
2016-11-09,37
2016-11-10,37
2016-11-11,30
2016-11-12,53
2016-11-14,43
2016-11-15,44
2016-11-16,40
2016-11-17,39
2016-11-18,39
2016-11-19,31
2016-11-20,1
2016-11-21,31
2016-11-22,46
2016-11-23,46
2016-11-24,26
2016-11-25,37
2016-11-26,75
2016-11-28,35
2016-11-29,29
2016-11-30,55
2016-12-01,40
2016-12-02,45
2016-12-03,46
2016-12-05,37
2016-12-06,32
2016-12-07,45
2016-12-08,47
2016-12-09,43
2016-12-10,32
2016-12-11,5
2016-12-12,30
2016-12-13,44
2016-12-14,40
2016-12-15,55
2016-12-16,50
2016-12-17,35
2016-12-18,7
2016-12-19,27
2016-12-20,40
2016-12-21,51
2016-12-22,46
2016-12-23,39
2016-12-24,44
2016-12-26,36
2016-12-27,31
2016-12-28,50
2016-12-29,50
2016-12-30,29
2017-01-06,47
2017-01-07,52
2017-01-09,21
2017-01-10,70
2017-01-11,43
2017-01-12,29
2017-01-13,26
2017-01-14,52
2017-01-16,37
2017-01-17,40
2017-01-18,50
2017-01-19,40
2017-01-20,31
2017-01-21,27
2017-01-23,37
2017-01-24,34
2017-01-25,46
2017-01-26,31
2017-01-27,47
2017-01-28,49
2017-01-29,4
2017-01-30,50
2017-01-31,42
2017-02-01,33
2017-02-02,45
2017-02-03,35
2017-02-04,50
2017-02-06,48
2017-02-07,36
2017-02-08,37
2017-02-09,19
2017-02-10,42
2017-02-11,39
2017-02-12,4
2017-02-13,49
2017-02-14,62
2017-02-15,51
2017-02-16,47
2017-02-17,45
2017-02-18,40
2017-02-19,1
2017-02-20,27
2017-02-21,41
2017-02-22,41
2017-02-23,28
2017-02-24,43
