date,visitors
2016-07-01,8
2016-07-02,8
2016-07-03,19
2016-07-04,9
2016-07-05,13
2016-07-07,13
2016-07-08,9
2016-07-09,12
2016-07-10,15
2016-07-11,5
2016-07-12,65
2016-07-14,4
2016-07-15,11
2016-07-16,39
2016-07-17,9
2016-07-18,29
2016-07-19,11
2016-07-21,22
2016-07-22,9
2016-07-23,40
2016-07-24,9
2016-07-25,7
2016-07-26,8
2016-07-28,9
2016-07-29,20
2016-07-30,52
2016-07-31,8
2016-08-01,20
2016-08-02,11
2016-08-04,7
2016-08-05,8
2016-08-06,8
2016-08-07,11
2016-08-08,7
2016-08-09,14
2016-08-11,51
2016-08-12,9
2016-08-13,12
2016-08-14,6
2016-08-16,12
2016-08-18,10
2016-08-19,5
2016-08-20,9
2016-08-21,19
2016-08-22,13
2016-08-23,20
2016-08-26,61
2016-08-27,18
2016-08-28,9
2016-08-29,19
2016-08-30,11
2016-09-01,6
2016-09-02,10
2016-09-03,5
2016-09-04,51
2016-09-05,6
2016-09-06,40
2016-09-08,7
2016-09-09,10
2016-09-10,9
2016-09-11,12
2016-09-12,5
2016-09-13,15
2016-09-15,112
2016-09-16,13
2016-09-17,7
2016-09-18,3
2016-09-19,5
2016-09-20,8
2016-09-22,15
2016-09-23,7
2016-09-24,14
2016-09-25,12
2016-09-26,74
2016-09-27,16
2016-09-29,6
2016-09-30,7
2016-10-01,4
2016-10-03,8
2016-10-04,7
2016-10-06,10
2016-10-07,5
2016-10-08,11
2016-10-09,16
2016-10-10,13
2016-10-11,22
2016-10-13,4
2016-10-14,4
2016-10-15,12
2016-10-17,8
2016-10-18,7
2016-10-20,2
2016-10-21,12
2016-10-22,11
2016-10-23,12
2016-10-24,9
2016-10-25,9
2016-10-27,9
2016-10-29,7
2016-10-30,19
2016-10-31,11
2016-11-01,7
2016-11-03,12
2016-11-04,3
2016-11-05,3
2016-11-06,14
2016-11-07,6
2016-11-08,11
2016-11-10,10
2016-11-11,8
2016-11-12,12
2016-11-13,16
2016-11-14,11
2016-11-15,8
2016-11-17,12
2016-11-18,9
2016-11-19,19
2016-11-20,15
2016-11-21,10
2016-11-22,6
2016-11-23,13
2016-11-24,7
2016-11-25,8
2016-11-26,15
2016-11-27,8
2016-11-28,13
2016-11-29,6
2016-12-01,11
2016-12-02,13
2016-12-03,14
2016-12-04,11
2016-12-05,7
2016-12-06,13
2016-12-08,9
2016-12-09,9
2016-12-10,8
2016-12-11,20
2016-12-12,11
2016-12-13,8
2016-12-15,15
2016-12-16,9
2016-12-17,10
2016-12-18,9
2016-12-19,7
2016-12-20,9
2016-12-22,6
2016-12-23,30
2016-12-24,21
2016-12-25,10
2016-12-26,2
2016-12-27,13
2016-12-29,5
2016-12-30,13
2017-01-05,8
2017-01-06,7
2017-01-07,14
2017-01-08,6
2017-01-09,8
2017-01-10,9
2017-01-12,13
2017-01-13,5
2017-01-14,10
2017-01-15,16
2017-01-16,9
2017-01-17,9
2017-01-19,5
2017-01-20,7
2017-01-21,14
2017-01-22,14
2017-01-23,5
2017-01-24,17
2017-01-26,8
2017-01-27,10
2017-01-28,8
2017-01-29,17
2017-01-30,6
2017-01-31,14
2017-02-02,3
2017-02-03,6
2017-02-04,261
2017-02-05,10
2017-02-06,7
2017-02-07,7
2017-02-09,4
2017-02-10,5
2017-02-11,13
2017-02-12,17
2017-02-13,10
2017-02-14,9
2017-02-16,5
2017-02-17,9
2017-02-18,13
2017-02-19,11
2017-02-20,5
2017-02-21,8
2017-02-23,6
