date,visitors
2016-01-02,3
2016-01-04,13
2016-01-06,18
2016-01-07,12
2016-01-08,48
2016-01-09,38
2016-01-10,17
2016-01-11,28
2016-01-12,4
2016-01-13,53
2016-01-14,42
2016-01-15,35
2016-01-16,30
2016-01-17,6
2016-01-18,10
2016-01-19,9
2016-01-20,24
2016-01-21,46
2016-01-22,26
2016-01-23,66
2016-01-24,9
2016-01-25,29
2016-01-26,15
2016-01-27,74
2016-01-28,19
2016-01-29,17
2016-01-30,36
2016-01-31,35
2016-02-01,10
2016-02-03,9
2016-02-04,34
2016-02-05,38
2016-02-06,21
2016-02-07,15
2016-02-08,18
2016-02-09,3
2016-02-11,42
2016-02-12,10
2016-02-14,77
2016-02-15,42
2016-02-16,31
2016-02-17,40
2016-02-18,45
2016-02-19,47
2016-02-20,14
2016-02-21,35
2016-02-22,3
2016-02-23,34
2016-02-24,17
2016-02-25,51
2016-02-26,22
2016-02-27,30
2016-02-28,17
2016-02-29,49
2016-03-01,7
2016-03-02,57
2016-03-03,17
2016-03-04,21
2016-03-05,62
2016-03-06,9
2016-03-07,8
2016-03-08,4
2016-03-09,67
2016-03-10,53
2016-03-11,43
2016-03-12,68
2016-03-13,12
2016-03-14,14
2016-03-15,75
2016-03-16,15
2016-03-17,22
2016-03-18,21
2016-03-19,62
2016-03-20,37
2016-03-21,25
2016-03-22,8
2016-03-23,71
2016-03-24,8
2016-03-29,9
2016-03-30,28
2016-03-31,64
2016-04-01,74
2016-04-02,44
2016-04-03,22
2016-04-04,20
2016-04-06,73
2016-04-07,26
2016-04-08,23
2016-04-09,11
2016-04-10,21
2016-04-11,48
2016-04-12,2
2016-04-13,7
2016-04-14,56
2016-04-15,28
2016-04-16,26
2016-04-17,38
2016-04-18,8
2016-04-19,26
2016-04-20,65
2016-04-21,23
2016-04-22,35
2016-04-23,49
2016-04-24,19
2016-04-25,19
2016-04-26,13
2016-04-27,79
2016-04-28,9
2016-04-29,57
2016-04-30,22
2016-05-01,32
2016-05-02,19
2016-05-03,10
2016-05-04,16
2016-05-05,32
2016-05-06,14
2016-05-07,12
2016-05-08,24
2016-05-09,7
2016-05-10,17
2016-05-11,39
2016-05-12,55
2016-05-13,36
2016-05-14,53
2016-05-15,16
2016-05-16,77
2016-05-17,27
2016-05-18,42
2016-05-19,41
2016-05-20,61
2016-05-21,32
2016-05-22,26
2016-05-23,12
2016-05-24,66
2016-05-25,53
2016-05-26,81
2016-05-27,14
2016-05-28,27
2016-05-29,25
2016-05-30,85
2016-06-01,19
2016-06-02,65
2016-06-03,6
2016-06-04,78
2016-06-05,51
2016-06-06,26
2016-06-07,50
2016-06-08,36
2016-06-09,26
2016-06-10,15
2016-06-11,16
2016-06-12,2
2016-06-13,50
2016-06-14,24
2016-06-15,3
2016-06-16,10
2016-06-17,60
2016-06-18,36
2016-06-20,2
2016-06-21,32
2016-06-22,6
2016-06-23,53
2016-06-24,2
2016-06-25,65
2016-06-26,4
2016-06-27,39
2016-06-28,42
2016-06-29,3
2016-06-30,42
2016-07-01,63
2016-07-02,44
2016-07-03,23
2016-07-04,8
2016-07-05,3
2016-07-06,3
2016-07-07,6
2016-07-08,7
2016-07-10,5
2016-07-11,4
2016-07-13,10
2016-07-14,3
2016-07-15,4
2016-07-16,1
2016-07-17,7
2016-07-18,1
2016-07-19,6
2016-07-20,1
2016-07-21,2
2016-07-22,3
2016-07-23,2
2016-07-24,4
2016-07-25,4
2016-07-26,3
2016-07-27,2
2016-07-28,5
2016-07-29,9
2016-07-30,2
2016-08-01,7
2016-08-02,6
2016-08-04,4
2016-08-05,11
2016-08-06,3
2016-08-07,9
2016-08-08,27
2016-08-09,11
2016-08-10,25
2016-08-11,3
2016-08-12,5
2016-08-13,20
2016-08-14,24
2016-08-15,26
2016-08-16,3
2016-08-17,1
2016-08-18,16
2016-08-19,64
2016-08-20,18
2016-08-21,4
2016-08-22,2
2016-08-23,14
2016-08-24,25
2016-08-25,2
2016-08-26,26
2016-08-27,6
2016-08-28,6
2016-08-29,34
2016-08-30,6
2016-08-31,65
2016-09-01,19
2016-09-02,4
2016-09-03,6
