date,visitors
2016-01-02,17
2016-01-03,11
2016-01-05,18
2016-01-06,17
2016-01-07,18
2016-01-08,15
2016-01-09,13
2016-01-10,37
2016-01-11,2
2016-01-12,17
2016-01-15,14
2016-01-16,15
2016-01-17,21
2016-01-18,22
2016-01-19,10
2016-01-20,18
2016-01-22,10
2016-01-23,20
2016-01-24,15
2016-01-25,16
2016-01-26,15
2016-01-27,20
2016-01-28,18
2016-01-29,17
2016-01-30,14
2016-01-31,18
2016-02-01,16
2016-02-02,10
2016-02-03,16
2016-02-04,21
2016-02-05,16
2016-02-06,17
2016-02-07,16
2016-02-08,12
2016-02-09,14
2016-02-12,20
2016-02-13,21
2016-02-14,17
2016-02-15,15
2016-02-16,19
2016-02-17,14
2016-02-18,17
2016-02-19,19
2016-02-20,15
2016-02-21,17
2016-02-22,19
2016-02-24,3
2016-02-25,12
2016-02-26,18
2016-02-27,18
2016-02-28,16
2016-02-29,17
2016-03-01,11
2016-03-02,15
2016-03-03,15
2016-03-04,19
2016-03-05,12
2016-03-06,24
2016-03-07,15
2016-03-08,9
2016-03-09,23
2016-03-11,20
2016-03-12,14
2016-03-13,20
2016-03-14,16
2016-03-15,11
2016-03-16,22
2016-03-17,17
2016-03-18,20
2016-03-19,27
2016-03-20,17
2016-03-21,23
2016-03-22,22
2016-03-23,11
2016-03-24,18
2016-03-25,17
2016-03-26,22
2016-03-27,19
2016-03-28,21
2016-03-29,18
2016-03-30,18
2016-03-31,21
2016-04-01,17
2016-04-02,17
2016-04-03,20
2016-04-04,29
2016-04-05,24
2016-04-06,14
2016-04-07,17
2016-04-08,15
2016-04-09,22
2016-04-10,21
2016-04-11,16
2016-04-15,14
2016-04-16,18
2016-04-17,20
2016-04-18,24
2016-04-19,14
2016-04-20,14
2016-04-21,20
2016-04-22,23
2016-04-23,17
2016-04-24,32
2016-04-26,29
2016-04-28,17
2016-04-29,16
2016-04-30,17
2016-05-01,22
2016-05-02,29
2016-05-03,16
2016-05-04,15
2016-05-06,20
2016-05-07,16
2016-05-08,17
2016-05-09,20
2016-05-10,15
2016-05-13,13
2016-05-14,15
2016-05-15,18
2016-05-16,17
2016-05-17,19
2016-05-18,16
2016-05-19,16
2016-05-20,21
2016-05-21,17
2016-05-22,19
2016-05-23,22
2016-05-24,15
2016-05-25,15
2016-05-26,15
2016-05-27,13
2016-05-28,40
2016-05-30,24
2016-05-31,15
2016-06-01,15
2016-06-02,21
2016-06-03,12
2016-06-04,21
2016-06-05,15
2016-06-06,21
2016-06-07,18
2016-06-08,15
2016-06-10,16
2016-06-11,25
2016-06-12,25
2016-06-13,18
2016-06-14,6
2016-06-15,17
2016-06-17,22
2016-06-18,17
2016-06-19,22
2016-06-20,18
2016-06-21,17
2016-06-22,16
2016-06-23,17
2016-06-24,18
2016-06-25,12
2016-06-26,16
2016-06-27,32
2016-06-28,16
2016-06-29,14
2016-06-30,21
2016-07-01,20
2016-07-02,16
2016-07-03,23
2016-07-04,21
2016-07-05,15
2016-07-06,17
2016-07-07,17
2016-07-08,15
2016-07-09,18
2016-07-10,21
2016-07-11,17
2016-07-12,16
2016-07-15,22
2016-07-16,14
2016-07-17,16
2016-07-18,19
2016-07-19,19
2016-07-20,2
2016-07-21,9
2016-07-22,17
2016-07-23,9
2016-07-24,15
2016-07-25,14
2016-07-26,13
2016-07-27,20
2016-07-28,15
2016-07-29,16
2016-07-30,15
2016-07-31,16
2016-08-01,25
2016-08-02,15
2016-08-03,14
2016-08-04,17
2016-08-05,21
2016-08-06,19
2016-08-07,17
2016-08-08,20
2016-08-09,21
2016-08-10,19
2016-08-12,21
2016-08-13,13
2016-08-14,12
2016-08-15,18
2016-08-16,23
2016-08-17,21
2016-08-18,14
2016-08-19,15
2016-08-20,24
2016-08-21,20
2016-08-22,20
2016-08-23,15
2016-08-24,21
2016-08-26,20
2016-08-27,12
2016-08-28,15
2016-08-29,22
2016-08-30,11
2016-09-01,21
2016-09-02,6
2016-09-03,14
2016-09-04,15
2016-09-05,18
2016-09-06,14
2016-09-07,9
2016-09-08,10
2016-09-09,16
2016-09-10,13
2016-09-11,25
2016-09-12,23
2016-09-13,13
2016-09-16,17
2016-09-17,15
2016-09-18,21
2016-09-19,28
2016-09-20,14
2016-09-21,21
2016-09-23,13
2016-09-24,18
2016-09-25,19
2016-09-26,18
2016-09-28,15
2016-09-29,9
2016-09-30,13
2016-10-01,15
2016-10-02,18
2016-10-03,23
2016-10-04,20
2016-10-05,13
2016-10-06,12
2016-10-07,31
2016-10-08,18
2016-10-09,40
2016-10-10,30
2016-10-11,29
2016-10-12,17
2016-10-14,16
2016-10-15,16
2016-10-16,11
2016-10-17,17
2016-10-18,14
2016-10-19,12
2016-10-21,18
2016-10-22,21
2016-10-23,21
2016-10-24,21
2016-10-25,13
2016-10-26,16
2016-10-27,12
2016-10-28,16
2016-10-29,23
2016-10-30,20
2016-10-31,17
2016-11-01,15
2016-11-02,18
2016-11-03,18
2016-11-04,19
2016-11-05,16
2016-11-06,17
2016-11-07,20
2016-11-08,22
2016-11-09,19
2016-11-11,14
2016-11-12,21
2016-11-13,21
2016-11-14,17
2016-11-15,18
2016-11-16,15
2016-11-17,12
2016-11-18,22
2016-11-19,14
2016-11-20,22
2016-11-21,13
2016-11-22,14
2016-11-23,17
2016-11-24,25
2016-11-26,16
2016-11-27,14
2016-11-28,16
2016-11-30,12
2016-12-01,13
2016-12-02,10
2016-12-03,13
2016-12-04,18
2016-12-05,18
2016-12-06,11
2016-12-07,5
2016-12-08,15
2016-12-09,19
2016-12-10,13
2016-12-11,9
2016-12-12,19
2016-12-14,12
2016-12-16,17
2016-12-17,15
2016-12-18,15
2016-12-19,18
2016-12-20,6
2016-12-22,19
2016-12-24,22
2016-12-25,30
2016-12-26,29
2016-12-27,17
2016-12-28,19
2016-12-29,16
2016-12-30,28
2016-12-31,43
2017-01-02,6
2017-01-03,4
2017-01-06,15
2017-01-07,4
2017-01-08,16
2017-01-09,18
2017-01-10,14
2017-01-11,11
2017-01-12,8
2017-01-13,22
2017-01-14,11
2017-01-15,11
