date,visitors
2016-07-01,44
2016-07-02,55
2016-07-03,17
2016-07-04,7
2016-07-05,24
2016-07-06,23
2016-07-07,28
2016-07-08,30
2016-07-09,58
2016-07-10,50
2016-07-11,19
2016-07-12,12
2016-07-13,14
2016-07-14,8
2016-07-15,12
2016-07-16,58
2016-07-17,22
2016-07-18,5
2016-07-19,16
2016-07-20,15
2016-07-21,7
2016-07-22,32
2016-07-23,60
2016-07-24,44
2016-07-25,28
2016-07-26,8
2016-07-27,3
2016-07-28,12
2016-07-29,31
2016-07-30,70
2016-07-31,27
2016-08-01,27
2016-08-02,12
2016-08-03,19
2016-08-04,18
2016-08-05,38
2016-08-06,40
2016-08-07,42
2016-08-08,20
2016-08-09,44
2016-08-10,44
2016-08-11,57
2016-08-12,22
2016-08-13,69
2016-08-14,43
2016-08-15,54
2016-08-16,28
2016-08-17,18
2016-08-18,24
2016-08-19,53
2016-08-20,56
2016-08-21,26
2016-08-22,22
2016-08-23,11
2016-08-24,12
2016-08-26,36
2016-08-27,66
2016-08-28,55
2016-08-29,26
2016-08-30,17
2016-08-31,5
2016-09-01,25
2016-09-02,18
2016-09-03,53
2016-09-04,41
2016-09-05,14
2016-09-06,5
2016-09-07,9
2016-09-08,13
2016-09-09,32
2016-09-10,99
2016-09-11,73
2016-09-12,35
2016-09-13,5
2016-09-14,2
2016-09-15,16
2016-09-16,29
2016-09-17,52
2016-09-18,76
2016-09-19,27
2016-09-21,32
2016-09-22,29
2016-09-23,40
2016-09-24,47
2016-09-25,47
2016-09-26,61
2016-09-27,6
2016-09-28,11
2016-09-29,15
2016-09-30,34
2016-10-01,32
2016-10-02,10
2016-10-03,10
2016-10-04,7
2016-10-06,24
2016-10-07,54
2016-10-08,58
2016-10-09,26
2016-10-10,20
2016-10-11,30
2016-10-12,28
2016-10-13,39
2016-10-14,36
2016-10-15,48
2016-10-16,42
2016-10-17,10
2016-10-18,2
2016-10-19,20
2016-10-20,28
2016-10-21,15
2016-10-22,74
2016-10-23,91
2016-10-24,4
2016-10-25,9
2016-10-26,3
2016-10-27,9
2016-10-28,12
2016-10-29,86
2016-10-30,51
2016-10-31,6
2016-11-01,18
2016-11-02,30
2016-11-03,35
2016-11-04,25
2016-11-05,61
2016-11-06,54
2016-11-07,13
2016-11-08,13
2016-11-09,5
2016-11-10,8
2016-11-11,28
2016-11-12,32
2016-11-13,90
2016-11-14,20
2016-11-15,14
2016-11-16,28
2016-11-17,11
2016-11-18,42
2016-11-19,60
2016-11-20,43
2016-11-21,2
2016-11-22,42
2016-11-23,21
2016-11-24,8
2016-11-25,56
2016-11-26,59
2016-11-27,52
2016-11-28,13
2016-11-29,11
2016-11-30,8
2016-12-01,18
2016-12-02,18
2016-12-03,55
2016-12-04,56
2016-12-05,65
2016-12-06,11
2016-12-07,25
2016-12-08,8
2016-12-09,45
2016-12-10,82
2016-12-11,70
2016-12-12,8
2016-12-13,14
2016-12-14,58
2016-12-15,67
2016-12-16,42
2016-12-17,82
2016-12-18,64
2016-12-19,14
2016-12-20,8
2016-12-21,47
2016-12-22,78
2016-12-23,53
2016-12-24,41
2016-12-25,48
2016-12-26,21
2016-12-27,28
2016-12-28,76
2016-12-29,43
2016-12-30,109
2016-12-31,12
2017-01-02,44
2017-01-03,82
2017-01-04,39
2017-01-05,52
2017-01-06,12
2017-01-07,39
2017-01-08,51
2017-01-09,21
2017-01-10,13
2017-01-11,19
2017-01-12,17
2017-01-13,45
2017-01-14,53
2017-01-15,55
2017-01-16,14
2017-01-17,23
2017-01-18,9
2017-01-19,32
2017-01-20,37
2017-01-21,76
2017-01-22,44
2017-01-23,16
2017-01-24,19
2017-01-25,18
2017-01-26,9
2017-01-27,22
2017-01-28,90
2017-01-29,63
2017-01-30,39
2017-01-31,18
2017-02-01,40
2017-02-02,12
2017-02-03,11
2017-02-04,51
2017-02-05,50
2017-02-06,5
2017-02-07,10
2017-02-08,13
2017-02-09,26
2017-02-10,32
2017-02-11,51
2017-02-12,35
2017-02-13,15
2017-02-14,23
2017-02-15,25
2017-02-16,18
2017-02-17,27
2017-02-18,39
2017-02-19,53
2017-02-20,13
2017-02-21,13
2017-02-22,19
