date,visitors
2016-07-01,37
2016-07-02,13
2016-07-04,10
2016-07-05,25
2016-07-06,27
2016-07-07,36
2016-07-08,33
2016-07-09,10
2016-07-11,23
2016-07-12,46
2016-07-13,26
2016-07-14,24
2016-07-15,32
2016-07-16,11
2016-07-18,24
2016-07-19,37
2016-07-20,40
2016-07-21,13
2016-07-22,31
2016-07-23,13
2016-07-25,22
2016-07-26,21
2016-07-27,24
2016-07-28,31
2016-07-29,47
2016-07-30,17
2016-08-01,25
2016-08-02,26
2016-08-03,43
2016-08-04,23
2016-08-05,33
2016-08-06,11
2016-08-08,14
2016-08-09,23
2016-08-10,30
2016-08-11,34
2016-08-12,25
2016-08-13,15
2016-08-17,21
2016-08-18,17
2016-08-19,34
2016-08-20,18
2016-08-22,12
2016-08-23,23
2016-08-24,27
2016-08-25,30
2016-08-26,34
2016-08-27,20
2016-08-29,16
2016-08-30,20
2016-08-31,26
2016-09-01,30
2016-09-02,25
2016-09-03,19
2016-09-05,18
2016-09-06,41
2016-09-07,30
2016-09-08,28
2016-09-09,31
2016-09-10,18
2016-09-12,24
2016-09-13,37
2016-09-14,32
2016-09-15,32
2016-09-16,33
2016-09-17,13
2016-09-19,13
2016-09-20,35
2016-09-21,23
2016-09-22,17
2016-09-23,35
2016-09-24,13
2016-09-26,24
2016-09-27,36
2016-09-28,27
2016-09-29,32
2016-09-30,37
2016-10-01,28
2016-10-03,24
2016-10-04,35
2016-10-05,23
2016-10-06,25
2016-10-07,36
2016-10-08,21
2016-10-10,34
2016-10-11,33
2016-10-12,9
2016-10-13,2
2016-10-14,71
2016-10-15,22
2016-10-17,20
2016-10-18,28
2016-10-19,34
2016-10-20,22
2016-10-21,31
2016-10-22,32
2016-10-23,7
2016-10-24,28
2016-10-25,23
2016-10-26,24
2016-10-27,30
2016-10-28,31
2016-10-29,30
2016-10-31,42
2016-11-01,22
2016-11-02,21
2016-11-04,33
2016-11-05,19
2016-11-07,24
2016-11-08,29
2016-11-09,32
2016-11-10,21
2016-11-11,35
2016-11-12,19
2016-11-14,23
2016-11-15,19
2016-11-16,40
2016-11-17,21
2016-11-18,29
2016-11-19,20
2016-11-21,12
2016-11-22,29
2016-11-23,25
2016-11-24,16
2016-11-25,27
2016-11-26,20
2016-11-28,30
2016-11-29,33
2016-11-30,24
2016-12-01,28
2016-12-02,31
2016-12-03,21
2016-12-05,15
2016-12-06,25
2016-12-07,30
2016-12-08,27
2016-12-09,30
2016-12-10,32
2016-12-12,12
2016-12-13,31
2016-12-14,18
2016-12-15,30
2016-12-16,27
2016-12-17,19
2016-12-19,24
2016-12-20,42
2016-12-21,17
2016-12-22,25
2016-12-23,26
2016-12-24,18
2016-12-26,23
2016-12-27,28
2016-12-28,40
2016-12-29,35
2016-12-30,43
2017-01-04,23
2017-01-05,10
2017-01-06,11
2017-01-07,17
2017-01-09,19
2017-01-10,34
2017-01-11,22
2017-01-12,32
2017-01-13,36
2017-01-14,25
2017-01-16,26
2017-01-17,25
2017-01-18,31
2017-01-19,32
2017-01-20,23
2017-01-21,28
2017-01-23,25
2017-01-24,32
2017-01-25,43
2017-01-26,28
2017-01-27,32
2017-01-28,23
2017-01-30,28
2017-01-31,26
2017-02-01,30
2017-02-02,22
2017-02-03,36
2017-02-04,30
2017-02-06,28
2017-02-07,33
2017-02-08,42
2017-02-09,30
2017-02-10,24
2017-02-11,19
2017-02-13,22
2017-02-14,23
2017-02-15,35
2017-02-16,31
2017-02-17,38
2017-02-18,30
2017-02-20,20
2017-02-21,30
2017-02-22,28
2017-02-23,21
2017-02-24,36
2017-02-25,17
2017-02-27,18
