date,visitors
2016-07-01,29
2016-07-02,10
2016-07-03,12
2016-07-05,14
2016-07-06,33
2016-07-07,15
2016-07-08,24
2016-07-09,14
2016-07-12,19
2016-07-13,10
2016-07-14,18
2016-07-15,33
2016-07-16,10
2016-07-17,2
2016-07-19,15
2016-07-20,25
2016-07-21,16
2016-07-22,13
2016-07-23,15
2016-07-24,4
2016-07-26,9
2016-07-27,20
2016-07-28,7
2016-07-29,25
2016-07-30,15
2016-07-31,9
2016-08-02,6
2016-08-03,17
2016-08-04,17
2016-08-05,16
2016-08-06,6
2016-08-07,12
2016-08-09,21
2016-08-10,9
2016-08-11,32
2016-08-12,6
2016-08-13,19
2016-08-20,9
2016-08-21,4
2016-08-23,19
2016-08-24,13
2016-08-25,6
2016-08-26,13
2016-08-27,17
2016-08-28,3
2016-08-30,14
2016-08-31,18
2016-09-01,13
2016-09-02,27
2016-09-03,19
2016-09-04,5
2016-09-06,9
2016-09-07,18
2016-09-08,19
2016-09-09,6
2016-09-10,10
2016-09-11,9
2016-09-14,20
2016-09-15,33
2016-09-16,17
2016-09-17,19
2016-09-18,14
2016-09-20,4
2016-09-21,27
2016-09-22,22
2016-09-23,20
2016-09-24,23
2016-09-25,2
2016-09-26,6
2016-09-27,21
2016-09-28,25
2016-09-29,19
2016-09-30,30
2016-10-01,20
2016-10-03,9
2016-10-04,29
2016-10-05,9
2016-10-06,12
2016-10-07,23
2016-10-09,17
2016-10-11,7
2016-10-12,36
2016-10-13,15
2016-10-14,36
2016-10-15,15
2016-10-16,6
2016-10-18,23
2016-10-19,18
2016-10-20,24
2016-10-21,33
2016-10-22,5
2016-10-23,18
2016-10-25,11
2016-10-26,19
2016-10-27,28
2016-10-28,21
2016-10-29,9
2016-10-30,11
2016-11-01,26
2016-11-02,21
2016-11-03,16
2016-11-04,26
2016-11-05,11
2016-11-06,15
2016-11-08,15
2016-11-09,24
2016-11-10,22
2016-11-11,16
2016-11-12,16
2016-11-13,17
2016-11-16,31
2016-11-17,30
2016-11-18,30
2016-11-19,13
2016-11-20,9
2016-11-22,24
2016-11-23,24
2016-11-24,15
2016-11-25,29
2016-11-26,12
2016-11-27,14
2016-11-29,20
2016-11-30,12
2016-12-01,27
2016-12-02,26
2016-12-06,19
2016-12-07,22
2016-12-08,39
2016-12-09,25
2016-12-10,22
2016-12-11,6
2016-12-13,29
2016-12-14,24
2016-12-15,21
2016-12-16,28
2016-12-17,11
2016-12-18,19
2016-12-19,2
2016-12-20,17
2016-12-21,27
2016-12-22,28
2016-12-23,12
2016-12-24,6
2016-12-25,1
2016-12-27,13
2016-12-28,32
2016-12-29,33
2016-12-30,2
2017-01-04,10
2017-01-05,5
2017-01-06,10
2017-01-07,8
2017-01-08,6
2017-01-10,9
2017-01-11,21
2017-01-12,24
2017-01-13,9
2017-01-14,18
2017-01-15,6
2017-01-17,8
2017-01-18,22
2017-01-19,25
2017-01-20,18
2017-01-21,23
2017-01-22,6
2017-01-24,14
2017-01-25,17
2017-01-26,28
2017-01-27,31
2017-01-28,21
2017-01-29,9
2017-01-31,20
2017-02-01,9
2017-02-02,17
2017-02-03,14
2017-02-04,16
2017-02-05,8
2017-02-08,10
2017-02-09,17
2017-02-10,22
2017-02-11,14
2017-02-12,11
2017-02-14,16
2017-02-15,7
2017-02-16,18
2017-02-17,21
2017-02-18,16
2017-02-19,11
2017-02-21,9
2017-02-22,23
2017-02-23,24
