date,visitors
2016-07-01,23
2016-07-02,35
2016-07-03,5
2016-07-05,11
2016-07-06,15
2016-07-07,13
2016-07-08,17
2016-07-09,28
2016-07-10,20
2016-07-12,12
2016-07-13,13
2016-07-14,17
2016-07-15,29
2016-07-16,12
2016-07-17,16
2016-07-19,17
2016-07-20,33
2016-07-21,11
2016-07-22,6
2016-07-23,33
2016-07-24,21
2016-07-26,6
2016-07-27,21
2016-07-28,8
2016-07-29,17
2016-07-30,14
2016-07-31,16
2016-08-02,19
2016-08-03,25
2016-08-04,10
2016-08-05,28
2016-08-06,9
2016-08-07,10
2016-08-09,10
2016-08-10,18
2016-08-11,1
2016-08-12,12
2016-08-13,9
2016-08-14,18
2016-08-18,17
2016-08-19,3
2016-08-20,11
2016-08-21,6
2016-08-24,17
2016-08-25,18
2016-08-26,25
2016-08-28,31
2016-08-31,12
2016-09-01,18
2016-09-02,9
2016-09-03,13
2016-09-04,16
2016-09-06,1
2016-09-07,10
2016-09-08,14
2016-09-09,6
2016-09-10,17
2016-09-13,8
2016-09-14,13
2016-09-15,12
2016-09-16,10
2016-09-17,8
2016-09-18,22
2016-09-20,8
2016-09-21,23
2016-09-22,8
2016-09-23,11
2016-09-24,27
2016-09-25,11
2016-09-27,9
2016-09-28,13
2016-09-29,28
2016-09-30,16
2016-10-01,26
2016-10-02,20
2016-10-05,19
2016-10-06,2
2016-10-07,7
2016-10-08,14
2016-10-11,19
2016-10-12,18
2016-10-13,12
2016-10-14,18
2016-10-15,15
2016-10-16,25
2016-10-18,19
2016-10-19,22
2016-10-20,3
2016-10-21,11
2016-10-22,15
2016-10-23,15
2016-10-25,5
2016-10-26,12
2016-10-27,16
2016-10-28,17
2016-10-29,16
2016-10-30,5
2016-11-01,8
2016-11-02,17
2016-11-03,16
2016-11-04,11
2016-11-05,4
2016-11-06,15
2016-11-08,12
2016-11-09,20
2016-11-10,15
2016-11-11,14
2016-11-12,10
2016-11-13,18
2016-11-15,9
2016-11-16,7
2016-11-17,16
2016-11-18,5
2016-11-19,23
2016-11-20,12
2016-11-22,21
2016-11-23,23
2016-11-24,19
2016-11-25,15
2016-11-26,23
2016-11-27,11
2016-11-29,9
2016-11-30,11
2016-12-01,3
2016-12-02,7
2016-12-03,10
2016-12-04,6
2016-12-06,11
2016-12-07,31
2016-12-08,15
2016-12-09,24
2016-12-10,11
2016-12-11,11
2016-12-13,4
2016-12-14,24
2016-12-15,2
2016-12-16,27
2016-12-17,7
2016-12-18,11
2016-12-20,6
2016-12-21,15
2016-12-22,15
2016-12-23,4
2016-12-24,15
2016-12-25,15
2016-12-28,15
2016-12-29,7
2016-12-30,5
2017-01-08,15
2017-01-10,8
2017-01-11,25
2017-01-12,15
2017-01-13,1
2017-01-14,5
2017-01-15,16
2017-01-17,5
2017-01-18,16
2017-01-19,23
2017-01-20,7
2017-01-21,4
2017-01-22,11
2017-01-25,13
2017-01-26,3
2017-02-01,18
2017-02-02,15
2017-02-03,18
2017-02-04,17
