date,visitors
2016-01-05,7
2016-01-06,3
2016-01-07,2
2016-01-08,3
2016-01-09,13
2016-01-10,9
2016-01-11,7
2016-01-12,2
2016-01-14,3
2016-01-15,3
2016-01-16,14
2016-01-17,6
2016-01-18,1
2016-01-19,5
2016-01-20,5
2016-01-21,4
2016-01-22,7
2016-01-23,16
2016-01-24,8
2016-01-25,12
2016-01-26,7
2016-01-27,6
2016-01-28,7
2016-01-29,13
2016-01-30,16
2016-01-31,12
2016-02-01,6
2016-02-02,4
2016-02-03,6
2016-02-04,4
2016-02-05,9
2016-02-06,23
2016-02-07,8
2016-02-08,7
2016-02-09,10
2016-02-11,3
2016-02-12,9
2016-02-13,9
2016-02-14,10
2016-02-15,10
2016-02-16,13
2016-02-17,6
2016-02-19,8
2016-02-20,11
2016-02-21,8
2016-02-22,1
2016-02-23,2
2016-02-24,7
2016-02-25,1
2016-02-26,12
2016-02-27,16
2016-02-28,19
2016-02-29,5
2016-03-01,5
2016-03-02,2
2016-03-03,4
2016-03-04,11
2016-03-05,12
2016-03-06,9
2016-03-07,4
2016-03-08,9
2016-03-09,8
2016-03-11,9
2016-03-12,11
2016-03-13,6
2016-03-14,5
2016-03-15,10
2016-03-16,8
2016-03-17,4
2016-03-18,11
2016-03-19,16
2016-03-20,17
2016-03-21,8
2016-03-22,2
2016-03-23,10
2016-03-25,10
2016-03-26,7
2016-03-27,13
2016-03-28,1
2016-03-29,10
2016-03-30,1
2016-04-01,5
2016-04-02,19
2016-04-03,12
2016-04-04,23
2016-04-05,4
2016-04-06,5
2016-04-07,2
2016-04-08,7
2016-04-09,14
2016-04-10,13
2016-04-11,9
2016-04-12,3
2016-04-13,2
2016-04-15,9
2016-04-16,6
2016-04-17,10
2016-04-18,13
2016-04-19,7
2016-04-20,2
2016-04-22,13
2016-04-23,19
2016-04-24,7
2016-04-25,3
2016-04-27,1
2016-04-28,9
2016-04-29,13
2016-04-30,16
2016-05-01,10
2016-05-02,16
2016-05-03,12
2016-05-04,12
2016-05-05,4
2016-05-06,6
2016-05-07,9
2016-05-08,11
2016-05-09,3
2016-05-11,4
2016-05-12,1
2016-05-13,7
2016-05-14,15
2016-05-15,5
2016-05-16,12
2016-05-17,9
2016-05-18,11
2016-05-19,2
2016-05-20,7
2016-05-21,10
2016-05-22,10
2016-05-23,6
2016-05-24,7
2016-05-25,1
2016-05-26,2
2016-05-27,5
2016-05-28,16
2016-05-29,13
2016-05-30,5
2016-05-31,8
2016-06-01,10
2016-06-03,7
2016-06-04,9
2016-06-05,6
2016-06-06,2
2016-06-08,9
2016-06-09,1
2016-06-10,12
2016-06-11,11
2016-06-12,10
2016-06-13,6
2016-06-14,4
2016-06-15,3
2016-06-16,6
2016-06-17,10
2016-06-18,16
2016-06-19,9
2016-06-20,5
2016-06-21,6
2016-06-22,4
2016-06-23,1
2016-06-24,11
2016-06-25,8
2016-06-26,9
2016-06-27,5
2016-06-28,5
2016-06-29,7
2016-06-30,3
2016-07-01,9
2016-07-02,15
2016-07-03,9
2016-07-04,9
2016-07-05,6
2016-07-06,3
2016-07-08,5
2016-07-09,5
2016-07-10,13
2016-07-11,8
2016-07-12,14
2016-07-13,5
2016-07-15,3
2016-07-16,18
2016-07-17,6
2016-07-18,7
2016-07-19,3
2016-07-20,3
2016-07-21,5
2016-07-22,12
2016-07-23,13
2016-07-24,6
2016-07-25,7
2016-07-26,9
2016-07-27,14
2016-07-28,5
2016-07-29,7
2016-07-30,5
2016-07-31,8
2016-08-01,9
2016-08-02,7
2016-08-03,5
2016-08-04,3
2016-08-05,9
2016-08-06,7
2016-08-07,7
2016-08-08,3
2016-08-09,7
2016-08-10,9
2016-08-11,2
2016-08-12,6
2016-08-13,17
2016-08-14,5
2016-08-15,7
2016-08-16,5
2016-08-17,7
2016-08-18,7
2016-08-19,14
2016-08-20,11
2016-08-21,6
2016-08-22,8
2016-08-23,7
2016-08-24,9
2016-08-26,9
2016-08-27,13
2016-08-28,9
2016-08-29,6
2016-08-30,1
2016-08-31,1
2016-09-01,2
2016-09-03,12
2016-09-04,1
2016-09-05,4
2016-09-06,7
2016-09-07,5
2016-09-08,5
2016-09-09,8
2016-09-10,15
2016-09-11,9
2016-09-12,9
2016-09-13,5
2016-09-14,4
2016-09-15,4
2016-09-16,1
2016-09-17,16
2016-09-18,9
2016-09-19,10
2016-09-20,11
2016-09-21,6
2016-09-22,4
2016-09-23,9
2016-09-24,11
2016-09-25,13
2016-09-26,2
2016-09-27,6
2016-09-28,9
2016-09-29,1
2016-09-30,5
2016-10-01,17
2016-10-02,7
2016-10-03,7
2016-10-04,3
2016-10-05,6
2016-10-06,5
2016-10-07,9
2016-10-08,12
2016-10-09,13
2016-10-10,15
2016-10-11,3
2016-10-12,6
2016-10-13,1
2016-10-14,7
2016-10-15,13
2016-10-16,12
2016-10-17,6
2016-10-18,5
2016-10-19,7
2016-10-20,1
2016-10-21,3
2016-10-22,6
2016-10-23,12
2016-10-24,10
2016-10-25,8
2016-10-26,9
2016-10-28,2
2016-10-29,12
2016-10-30,7
2016-10-31,4
2016-11-01,6
2016-11-02,11
2016-11-03,4
2016-11-04,3
2016-11-05,18
2016-11-06,4
2016-11-07,3
2016-11-11,9
2016-11-12,12
2016-11-14,3
2016-11-15,4
2016-11-16,5
2016-11-18,7
2016-11-19,10
2016-11-22,4
2016-11-23,6
2016-11-24,3
2016-11-25,6
2016-11-26,15
2016-11-27,21
2016-11-28,8
2016-11-29,5
2016-11-30,9
2016-12-03,13
2016-12-04,9
2016-12-05,8
2016-12-06,2
2016-12-07,7
2016-12-08,4
2016-12-09,10
2016-12-10,11
2016-12-11,10
2016-12-12,4
2016-12-13,9
2016-12-14,4
2016-12-15,1
2016-12-16,10
2016-12-17,29
2016-12-18,23
2016-12-19,8
