date,visitors
2016-07-01,22
2016-07-02,32
2016-07-03,23
2016-07-04,17
2016-07-05,11
2016-07-06,10
2016-07-08,21
2016-07-09,25
2016-07-10,47
2016-07-11,16
2016-07-12,22
2016-07-13,19
2016-07-15,19
2016-07-16,34
2016-07-17,35
2016-07-18,26
2016-07-19,20
2016-07-20,22
2016-07-22,12
2016-07-23,34
2016-07-24,33
2016-07-25,12
2016-07-26,18
2016-07-27,17
2016-07-29,30
2016-07-30,42
2016-07-31,34
2016-08-01,13
2016-08-02,15
2016-08-03,25
2016-08-05,24
2016-08-06,14
2016-08-07,36
2016-08-08,22
2016-08-09,14
2016-08-10,20
2016-08-12,33
2016-08-13,35
2016-08-14,29
2016-08-15,22
2016-08-17,22
2016-08-19,17
2016-08-20,33
2016-08-21,27
2016-08-22,11
2016-08-23,16
2016-08-24,27
2016-08-26,15
2016-08-27,36
2016-08-28,31
2016-08-29,13
2016-08-30,10
2016-08-31,21
2016-09-02,19
2016-09-03,36
2016-09-04,25
2016-09-05,15
2016-09-06,26
2016-09-07,8
2016-09-09,28
2016-09-10,34
2016-09-11,32
2016-09-12,20
2016-09-13,16
2016-09-14,10
2016-09-16,23
2016-09-17,29
2016-09-18,41
2016-09-19,34
2016-09-20,17
2016-09-21,13
2016-09-23,17
2016-09-24,22
2016-09-25,39
2016-09-26,20
2016-09-27,20
2016-09-28,27
2016-09-30,26
2016-10-01,32
2016-10-02,49
2016-10-03,19
2016-10-04,20
2016-10-05,18
2016-10-07,29
2016-10-08,59
2016-10-09,68
2016-10-10,56
2016-10-11,21
2016-10-12,24
2016-10-14,32
2016-10-15,60
2016-10-16,58
2016-10-17,28
2016-10-18,20
2016-10-19,35
2016-10-21,26
2016-10-22,60
2016-10-23,55
2016-10-24,26
2016-10-25,22
2016-10-26,13
2016-10-28,29
2016-10-29,43
2016-10-30,48
2016-10-31,28
2016-11-01,23
2016-11-02,18
2016-11-04,23
2016-11-05,46
2016-11-06,46
2016-11-07,18
2016-11-09,24
2016-11-11,20
2016-11-12,46
2016-11-13,36
2016-11-14,21
2016-11-15,24
2016-11-16,25
2016-11-18,20
2016-11-19,49
2016-11-20,53
2016-11-21,11
2016-11-22,19
2016-11-23,41
2016-11-25,26
2016-11-26,44
2016-11-27,56
2016-11-28,25
2016-11-29,16
2016-11-30,33
2016-12-02,21
2016-12-03,34
2016-12-04,41
2016-12-05,20
2016-12-06,14
2016-12-07,16
2016-12-09,20
2016-12-10,44
2016-12-11,41
2016-12-12,20
2016-12-13,21
2016-12-14,16
2016-12-16,23
2016-12-17,36
2016-12-18,38
2016-12-19,24
2016-12-20,13
2016-12-21,22
2016-12-23,45
2016-12-24,36
2016-12-25,31
2016-12-26,19
2016-12-27,21
2016-12-28,21
2016-12-30,44
2016-12-31,24
2017-01-04,28
2017-01-06,23
2017-01-07,27
2017-01-08,49
2017-01-09,49
2017-01-10,26
2017-01-11,27
2017-01-13,27
2017-01-14,47
2017-01-15,70
2017-01-16,21
2017-01-17,21
2017-01-18,12
2017-01-20,30
2017-01-21,41
2017-01-22,49
2017-01-23,20
2017-01-24,32
2017-01-25,26
2017-01-27,22
2017-01-28,54
2017-01-29,37
2017-01-30,19
2017-01-31,21
2017-02-01,11
2017-02-03,24
2017-02-04,55
2017-02-05,39
2017-02-06,28
2017-02-07,22
2017-02-08,20
2017-02-10,39
2017-02-11,53
2017-02-12,41
2017-02-13,33
2017-02-14,19
2017-02-15,25
2017-02-17,22
2017-02-18,49
2017-02-19,51
2017-02-20,34
2017-02-22,35
