date,visitors
2016-01-01,43
2016-01-03,49
2016-01-04,46
2016-01-06,30
2016-01-07,43
2016-01-08,37
2016-01-09,36
2016-01-10,43
2016-01-11,53
2016-01-12,41
2016-01-13,35
2016-01-14,29
2016-01-15,18
2016-01-16,43
2016-01-17,48
2016-01-18,36
2016-01-23,43
2016-01-24,42
2016-01-25,38
2016-01-27,21
2016-01-28,27
2016-01-29,22
2016-01-30,30
2016-02-01,43
2016-02-03,24
2016-02-04,28
2016-02-05,34
2016-02-06,47
2016-02-07,35
2016-02-08,43
2016-02-10,36
2016-02-11,47
2016-02-12,49
2016-02-13,39
2016-02-14,47
2016-02-15,51
2016-02-17,36
2016-02-18,33
2016-02-19,43
2016-02-20,54
2016-02-21,34
2016-02-22,42
2016-02-24,29
2016-02-25,28
2016-02-26,33
2016-02-27,45
2016-02-28,44
2016-02-29,34
2016-03-02,27
2016-03-03,28
2016-03-04,26
2016-03-05,50
2016-03-06,42
2016-03-07,29
2016-03-09,31
2016-03-10,24
2016-03-11,26
2016-03-12,44
2016-03-13,45
2016-03-14,41
2016-03-16,37
2016-03-17,26
2016-03-18,32
2016-03-19,29
2016-03-20,43
2016-03-21,58
2016-03-22,42
2016-03-23,32
2016-03-25,69
2016-03-26,43
2016-03-27,54
2016-03-28,46
2016-03-30,29
2016-03-31,24
2016-04-01,28
2016-04-02,26
2016-04-03,47
2016-04-04,42
2016-04-06,40
2016-04-07,29
2016-04-08,26
2016-04-09,50
2016-04-10,54
2016-04-11,35
2016-04-13,25
2016-04-14,23
2016-04-15,31
2016-04-16,44
2016-04-17,52
2016-04-18,39
2016-04-20,26
2016-04-21,32
2016-04-22,32
2016-04-23,54
2016-04-24,56
2016-04-25,37
2016-04-27,37
2016-04-28,23
2016-04-29,39
2016-04-30,58
2016-05-01,53
2016-05-02,48
2016-05-03,55
2016-05-04,61
2016-05-05,56
2016-05-06,29
2016-05-07,37
2016-05-08,46
2016-05-09,34
2016-05-11,27
2016-05-12,35
2016-05-13,31
2016-05-14,47
2016-05-15,49
2016-05-16,51
2016-05-18,40
2016-05-19,35
2016-05-20,30
2016-05-21,47
2016-05-22,45
2016-05-23,40
2016-05-25,29
2016-05-26,30
2016-05-27,28
2016-05-28,53
2016-05-29,44
2016-05-30,37
2016-06-01,12
2016-06-02,34
2016-06-03,34
2016-06-04,48
2016-06-05,46
2016-06-06,40
2016-06-08,19
2016-06-09,24
2016-06-10,27
2016-06-11,44
2016-06-12,51
2016-06-13,30
2016-06-15,29
2016-06-16,27
2016-06-17,24
2016-06-18,39
2016-06-19,47
2016-06-20,33
2016-06-22,22
2016-06-23,26
2016-06-24,25
2016-06-25,44
2016-06-26,47
2016-06-27,30
2016-06-29,30
2016-06-30,28
2016-07-01,34
2016-07-02,42
2016-07-03,32
2016-07-04,29
2016-07-06,28
2016-07-07,30
2016-07-08,34
2016-07-09,46
2016-07-10,47
2016-07-11,37
2016-07-15,19
2016-07-16,30
2016-07-17,38
2016-07-18,49
2016-07-19,32
2016-07-21,31
2016-07-22,29
2016-07-23,42
2016-07-24,47
2016-07-25,34
2016-07-27,20
2016-07-28,30
2016-07-29,22
2016-07-30,47
2016-07-31,44
2016-08-01,35
2016-08-02,13
2016-08-03,27
2016-08-04,29
2016-08-05,34
2016-08-06,36
2016-08-07,42
2016-08-08,33
2016-08-09,32
2016-08-10,34
2016-08-11,48
2016-08-12,34
2016-08-13,38
2016-08-14,38
2016-08-15,39
2016-08-16,31
2016-08-18,25
2016-08-19,21
2016-08-20,51
2016-08-21,47
2016-08-22,38
2016-08-24,18
2016-08-25,38
2016-08-26,36
2016-08-27,45
2016-08-28,36
2016-08-29,40
2016-08-30,4
2016-09-01,66
2016-09-02,24
2016-09-03,35
2016-09-04,49
2016-09-05,44
2016-09-08,106
2016-09-09,32
2016-09-10,46
2016-09-11,36
2016-09-12,35
2016-09-14,28
2016-09-15,37
2016-09-16,27
2016-09-17,51
2016-09-18,46
2016-09-19,34
2016-09-20,33
2016-09-22,43
2016-09-23,37
2016-09-24,34
2016-09-25,49
2016-09-26,41
2016-09-29,84
2016-09-30,27
2016-10-01,38
2016-10-02,28
2016-10-03,52
2016-10-04,29
2016-10-06,24
2016-10-07,26
2016-10-08,41
2016-10-09,40
2016-10-10,42
2016-10-11,41
2016-10-12,36
2016-10-13,34
2016-10-14,24
2016-10-15,42
2016-10-16,46
2016-10-17,34
2016-10-19,24
2016-10-20,25
2016-10-21,21
2016-10-22,41
2016-10-23,46
2016-10-24,32
2016-10-26,31
2016-10-27,28
2016-10-28,28
2016-10-29,44
2016-10-30,52
2016-10-31,36
2016-11-02,64
2016-11-03,40
2016-11-04,30
2016-11-05,47
2016-11-06,38
2016-11-07,35
2016-11-09,14
2016-11-10,35
2016-11-11,23
2016-11-12,35
2016-11-13,47
2016-11-14,31
2016-11-15,19
2016-11-16,35
2016-11-17,32
2016-11-18,26
2016-11-19,38
2016-11-20,39
2016-11-21,36
2016-11-23,48
2016-11-24,32
2016-11-25,24
2016-11-26,39
2016-11-27,47
2016-11-28,39
2016-11-29,26
2016-11-30,30
2016-12-01,25
2016-12-02,32
2016-12-03,41
2016-12-04,46
2016-12-05,42
2016-12-07,23
2016-12-08,32
2016-12-09,31
2016-12-10,48
2016-12-11,43
2016-12-12,42
2016-12-14,12
2016-12-15,31
2016-12-16,24
2016-12-17,44
2016-12-18,57
2016-12-19,49
2016-12-20,23
2016-12-21,31
2016-12-22,42
2016-12-23,38
2016-12-24,33
2016-12-25,42
2016-12-26,37
2016-12-28,73
2016-12-29,45
2016-12-30,44
2016-12-31,96
2017-01-03,54
2017-01-04,46
2017-01-05,36
2017-01-06,37
2017-01-07,41
2017-01-08,41
2017-01-09,25
2017-01-10,35
2017-01-12,19
2017-01-13,29
2017-01-14,42
2017-01-15,37
2017-01-16,36
