date,visitors
2016-07-12,2
2016-07-27,9
2016-08-02,2
2016-08-03,8
2016-08-04,5
2016-08-05,12
2016-08-06,41
2016-08-07,9
2016-08-08,3
2016-08-09,14
2016-08-10,28
2016-08-11,51
2016-08-12,28
2016-08-13,39
2016-08-14,18
2016-08-16,22
2016-08-17,20
2016-08-18,25
2016-08-19,4
2016-08-20,89
2016-08-21,11
2016-08-22,1
2016-08-23,13
2016-08-24,15
2016-08-25,13
2016-08-26,25
2016-08-27,75
2016-08-28,7
2016-08-29,2
2016-08-30,3
2016-08-31,14
2016-09-01,23
2016-09-02,3
2016-09-03,21
2016-09-04,8
2016-09-05,7
2016-09-06,9
2016-09-07,24
2016-09-08,2
2016-09-09,24
2016-09-10,49
2016-09-11,26
2016-09-12,2
2016-09-13,5
2016-09-14,44
2016-09-15,35
2016-09-16,26
2016-09-17,32
2016-09-18,29
2016-09-20,32
2016-09-21,11
2016-09-22,63
2016-09-23,6
2016-09-24,47
2016-09-25,8
2016-09-26,1
2016-09-27,22
2016-09-28,4
2016-09-29,15
2016-09-30,49
2016-10-01,31
2016-10-02,14
2016-10-03,25
2016-10-04,10
2016-10-05,18
2016-10-06,2
2016-10-07,19
2016-10-08,5
2016-10-09,17
2016-10-10,25
2016-10-11,8
2016-10-12,20
2016-10-13,15
2016-10-14,10
2016-10-15,17
2016-10-16,17
2016-10-17,7
2016-10-18,11
2016-10-19,19
2016-10-20,28
2016-10-21,34
2016-10-22,28
2016-10-23,29
2016-10-24,23
2016-10-25,18
2016-10-26,18
2016-10-27,24
2016-10-28,31
2016-10-29,69
2016-10-30,14
2016-10-31,15
2016-11-01,12
2016-11-02,29
2016-11-03,46
2016-11-04,21
2016-11-05,24
2016-11-06,23
2016-11-07,12
2016-11-08,16
2016-11-09,21
2016-11-10,10
2016-11-11,17
2016-11-12,29
2016-11-13,18
2016-11-14,12
2016-11-15,22
2016-11-16,39
2016-11-17,10
2016-11-18,23
2016-11-19,18
2016-11-20,40
2016-11-21,14
2016-11-22,16
2016-11-23,21
2016-11-24,2
2016-11-25,13
2016-11-26,51
2016-11-27,17
2016-11-28,3
2016-11-29,24
2016-11-30,4
2016-12-01,12
2016-12-02,18
2016-12-03,39
2016-12-04,13
2016-12-05,9
2016-12-06,19
2016-12-07,21
2016-12-08,36
2016-12-09,49
2016-12-10,36
2016-12-11,23
2016-12-12,6
2016-12-13,12
2016-12-14,10
2016-12-15,21
2016-12-16,45
2016-12-17,36
2016-12-18,22
2016-12-19,18
2016-12-20,33
2016-12-21,35
2016-12-22,38
2016-12-23,34
2016-12-24,29
2016-12-25,14
2016-12-26,12
2016-12-27,28
2016-12-28,21
2016-12-29,96
2016-12-30,25
2017-01-04,59
2017-01-05,15
2017-01-06,20
2017-01-07,35
2017-01-08,12
2017-01-11,3
2017-01-12,14
2017-01-13,26
2017-01-14,34
2017-01-15,9
