date,visitors
2016-01-08,29
2016-01-09,25
2016-01-10,35
2016-01-12,14
2016-01-13,19
2016-01-14,16
2016-01-15,20
2016-01-16,33
2016-01-17,35
2016-01-19,15
2016-01-20,21
2016-01-21,17
2016-01-22,18
2016-01-23,30
2016-01-24,41
2016-01-26,16
2016-01-27,25
2016-01-28,19
2016-01-29,18
2016-01-30,23
2016-01-31,24
2016-02-02,27
2016-02-03,19
2016-02-04,25
2016-02-05,28
2016-02-06,31
2016-02-07,33
2016-02-09,25
2016-02-10,14
2016-02-11,35
2016-02-12,27
2016-02-13,43
2016-02-14,45
2016-02-17,21
2016-02-18,25
2016-02-19,29
2016-02-20,12
2016-02-21,36
2016-02-23,20
2016-02-24,19
2016-02-25,25
2016-02-26,21
2016-02-27,39
2016-02-28,39
2016-03-01,30
2016-03-02,28
2016-03-03,41
2016-03-04,30
2016-03-05,40
2016-03-06,39
2016-03-08,20
2016-03-09,10
2016-03-10,27
2016-03-11,24
2016-03-12,48
2016-03-13,64
2016-03-14,28
2016-03-16,21
2016-03-17,23
2016-03-18,17
2016-03-19,35
2016-03-20,36
2016-03-23,13
2016-03-24,20
2016-03-25,22
2016-03-26,27
2016-03-27,38
2016-03-29,28
2016-03-30,21
2016-03-31,27
2016-04-01,28
2016-04-02,39
2016-04-03,37
2016-04-05,17
2016-04-06,30
2016-04-07,21
2016-04-08,29
2016-04-09,36
2016-04-10,50
2016-04-12,22
2016-04-13,20
2016-04-14,17
2016-04-15,26
2016-04-16,38
2016-04-17,34
2016-04-20,19
2016-04-21,15
2016-04-22,17
2016-04-23,39
2016-04-24,34
2016-04-26,19
2016-04-27,22
2016-04-28,18
2016-04-29,33
2016-04-30,25
2016-05-01,54
2016-05-04,30
2016-05-05,47
2016-05-06,12
2016-05-07,45
2016-05-08,61
2016-05-10,23
2016-05-11,20
2016-05-12,14
2016-05-13,13
2016-05-14,34
2016-05-15,39
2016-05-17,17
2016-05-18,29
2016-05-19,20
2016-05-20,25
2016-05-21,32
2016-05-22,30
2016-05-25,23
2016-05-26,19
2016-05-27,15
2016-05-28,38
2016-05-29,53
2016-05-31,22
2016-06-01,27
2016-06-02,17
2016-06-03,20
2016-06-04,35
2016-06-05,44
2016-06-07,21
2016-06-08,21
2016-06-09,21
2016-06-10,20
2016-06-11,32
2016-06-12,57
2016-06-14,25
2016-06-15,12
2016-06-16,21
2016-06-17,31
2016-06-18,53
2016-06-19,47
2016-06-22,21
2016-06-23,19
2016-06-24,18
2016-06-25,34
2016-06-26,33
2016-06-28,23
2016-06-29,26
2016-06-30,24
2016-07-01,17
2016-07-02,29
2016-07-03,27
2016-07-05,20
2016-07-06,25
2016-07-07,25
2016-07-08,19
2016-07-09,28
2016-07-10,25
2016-07-12,22
2016-07-13,21
2016-07-14,16
2016-07-15,18
2016-07-16,25
2016-07-17,27
2016-07-19,18
2016-07-20,12
2016-07-21,13
2016-07-22,18
2016-07-23,42
2016-07-24,29
2016-08-09,18
2016-08-10,13
2016-08-11,21
2016-08-12,17
2016-08-13,23
2016-08-14,29
2016-08-16,10
2016-08-17,18
2016-08-18,22
2016-08-19,12
2016-08-20,18
2016-08-21,28
2016-08-23,15
2016-08-24,17
2016-08-25,18
2016-08-26,21
2016-08-27,14
2016-08-28,32
2016-08-30,21
2016-08-31,11
2016-09-01,18
2016-09-02,17
2016-09-03,26
2016-09-04,23
2016-09-06,15
2016-09-07,22
2016-09-08,26
2016-09-09,16
2016-09-10,26
2016-09-11,20
2016-09-13,12
2016-09-14,24
2016-09-15,16
2016-09-16,19
2016-09-17,26
2016-09-18,24
2016-09-20,17
2016-09-21,13
2016-09-22,19
2016-09-23,16
2016-09-24,12
2016-09-27,27
2016-09-28,22
2016-09-29,16
2016-09-30,18
2016-10-01,24
2016-10-02,27
2016-10-04,16
2016-10-05,17
2016-10-06,21
2016-10-07,25
2016-10-08,61
2016-10-09,28
2016-10-12,22
2016-10-13,29
2016-10-14,26
2016-10-15,31
2016-10-16,35
2016-10-18,22
2016-10-19,21
2016-10-20,29
2016-10-21,18
2016-10-22,36
2016-10-23,47
2016-10-25,17
2016-10-26,26
2016-10-27,26
2016-10-28,22
2016-10-29,49
2016-10-30,39
2016-10-31,31
2016-11-02,35
2016-11-03,35
2016-11-04,25
2016-11-05,26
2016-11-06,37
2016-11-08,12
2016-11-09,14
2016-11-10,21
2016-11-11,18
2016-11-12,38
2016-11-13,45
2016-11-15,1
2016-11-16,20
2016-11-17,26
2016-11-18,30
2016-11-19,36
2016-11-20,39
2016-11-22,36
2016-11-23,38
2016-11-24,11
2016-11-25,25
2016-11-26,54
2016-11-27,29
2016-11-29,19
2016-11-30,22
2016-12-01,14
2016-12-02,34
2016-12-03,43
2016-12-04,28
2016-12-06,29
2016-12-07,24
2016-12-08,30
2016-12-09,29
2016-12-10,31
2016-12-11,45
2016-12-13,33
2016-12-14,30
2016-12-15,27
2016-12-16,31
2016-12-17,42
2016-12-18,51
2016-12-21,23
2016-12-22,25
2016-12-23,55
2016-12-24,127
2016-12-25,90
2016-12-27,21
2016-12-28,18
2016-12-29,28
2016-12-30,29
2017-01-06,27
2017-01-07,27
2017-01-08,25
2017-01-10,16
2017-01-11,9
2017-01-12,13
2017-01-13,35
2017-01-14,27
2017-01-15,31
2017-01-17,18
2017-01-18,29
2017-01-19,20
2017-01-20,17
2017-01-21,39
