date,visitors
2016-07-01,50
2016-07-02,54
2016-07-03,66
2016-07-05,56
2016-07-06,39
2016-07-07,21
2016-07-08,35
2016-07-09,51
2016-07-10,57
2016-07-12,21
2016-07-13,34
2016-07-14,46
2016-07-15,48
2016-07-16,68
2016-07-17,48
2016-07-18,52
2016-07-21,36
2016-07-22,46
2016-07-23,55
2016-07-24,67
2016-07-26,44
2016-07-27,48
2016-07-28,50
2016-07-29,45
2016-07-30,65
2016-07-31,59
2016-08-02,40
2016-08-03,38
2016-08-04,38
2016-08-05,30
2016-08-06,56
2016-08-07,36
2016-08-09,32
2016-08-10,40
2016-08-11,48
2016-08-12,38
2016-08-13,45
2016-08-14,57
2016-08-16,38
2016-08-17,33
2016-08-18,42
2016-08-19,40
2016-08-20,49
2016-08-21,59
2016-08-23,42
2016-08-24,44
2016-08-25,39
2016-08-26,43
2016-08-27,53
2016-08-28,65
2016-08-30,38
2016-08-31,44
2016-09-01,41
2016-09-02,44
2016-09-03,67
2016-09-04,61
2016-09-06,51
2016-09-07,43
2016-09-08,34
2016-09-09,32
2016-09-10,60
2016-09-11,57
2016-09-14,45
