date,visitors
2016-01-03,1
2016-01-07,18
2016-01-08,18
2016-01-09,40
2016-01-11,26
2016-01-12,16
2016-01-13,20
2016-01-14,21
2016-01-15,34
2016-01-16,41
2016-01-19,20
2016-01-20,13
2016-01-21,17
2016-01-22,29
2016-01-23,30
2016-01-25,1
2016-01-26,18
2016-01-27,22
2016-01-28,21
2016-01-29,24
2016-01-30,49
2016-02-02,28
2016-02-03,23
2016-02-04,26
2016-02-05,32
2016-02-06,41
2016-02-08,14
2016-02-09,26
2016-02-10,27
2016-02-11,44
2016-02-12,31
2016-02-13,56
2016-02-16,26
2016-02-17,25
2016-02-18,44
2016-02-19,27
2016-02-20,25
2016-02-22,26
2016-02-23,31
2016-02-24,23
2016-02-25,19
2016-02-26,24
2016-02-27,34
2016-02-29,20
2016-03-02,27
2016-03-03,45
2016-03-04,26
2016-03-05,37
2016-03-07,18
2016-03-08,42
2016-03-09,13
2016-03-10,25
2016-03-11,28
2016-03-12,58
2016-03-13,24
2016-03-14,37
2016-03-15,43
2016-03-16,29
2016-03-17,25
2016-03-18,24
2016-03-19,42
2016-03-22,35
2016-03-23,38
2016-03-24,28
2016-03-25,34
2016-03-26,42
2016-03-28,20
2016-03-29,39
2016-03-30,27
2016-03-31,19
2016-04-01,29
2016-04-02,51
2016-04-04,15
2016-04-05,26
2016-04-06,23
2016-04-07,13
2016-04-08,22
2016-04-09,35
2016-04-11,29
2016-04-12,33
2016-04-13,11
2016-04-14,32
2016-04-15,22
2016-04-16,36
2016-04-19,32
2016-04-20,26
2016-04-21,15
2016-04-22,21
2016-04-23,38
2016-04-25,26
2016-04-26,29
2016-04-27,19
2016-04-28,15
2016-04-29,25
2016-04-30,28
2016-05-06,14
2016-05-07,30
2016-05-09,18
2016-05-10,24
2016-05-11,22
2016-05-12,26
2016-05-13,25
2016-05-14,35
2016-05-17,27
2016-05-18,19
2016-05-19,25
2016-05-20,21
2016-05-21,26
2016-05-23,9
2016-05-24,27
2016-05-25,24
2016-05-26,16
2016-05-27,19
2016-05-28,31
2016-05-30,20
2016-05-31,23
2016-06-01,17
2016-06-02,25
2016-06-03,18
2016-06-04,30
2016-06-07,25
2016-06-08,20
2016-06-09,26
2016-06-10,16
2016-06-11,30
2016-06-13,13
2016-06-14,25
2016-06-15,20
2016-06-16,18
2016-06-17,27
2016-06-18,36
2016-06-21,23
2016-06-22,12
2016-06-23,18
2016-06-24,19
2016-06-25,31
2016-06-27,12
2016-06-28,19
2016-06-29,19
2016-06-30,23
2016-07-01,20
2016-07-02,21
2016-07-05,30
2016-07-06,19
2016-07-07,17
2016-07-08,14
2016-07-09,39
2016-07-11,29
2016-07-12,36
2016-07-13,27
2016-07-14,40
2016-07-15,39
2016-07-16,40
2016-07-19,23
2016-07-20,28
2016-07-21,22
2016-07-22,28
2016-07-23,35
2016-07-25,24
2016-07-26,25
2016-07-27,27
2016-07-28,19
2016-07-29,19
2016-07-30,28
2016-08-02,23
2016-08-03,17
2016-08-04,22
2016-08-05,21
2016-08-06,22
2016-08-08,15
2016-08-09,34
2016-08-12,22
2016-08-13,18
2016-08-16,27
2016-08-17,25
2016-08-18,25
2016-08-19,29
2016-08-20,36
2016-08-22,22
2016-08-23,29
2016-08-24,20
2016-08-25,21
2016-08-26,25
2016-08-27,36
2016-08-29,20
2016-08-30,22
2016-08-31,30
2016-09-01,22
2016-09-02,16
2016-09-03,35
2016-09-06,19
2016-09-07,24
2016-09-08,24
2016-09-09,28
2016-09-10,35
2016-09-12,19
2016-09-13,30
2016-09-14,25
2016-09-15,22
2016-09-16,26
2016-09-17,38
2016-09-20,21
2016-09-21,23
2016-09-22,43
2016-09-23,18
2016-09-24,34
2016-09-26,22
2016-09-27,29
2016-09-28,5
2016-09-29,17
2016-09-30,14
2016-10-01,39
2016-10-04,22
2016-10-05,14
2016-10-06,22
2016-10-07,30
2016-10-08,26
2016-10-10,34
2016-10-11,33
2016-10-12,23
2016-10-13,23
2016-10-14,15
2016-10-15,30
2016-10-18,27
2016-10-19,26
2016-10-20,32
2016-10-21,19
2016-10-22,31
2016-10-24,26
2016-10-25,27
2016-10-26,27
2016-10-27,28
2016-10-28,24
2016-10-29,50
2016-10-31,22
2016-11-01,20
2016-11-02,30
2016-11-04,33
2016-11-05,47
2016-11-07,13
2016-11-08,25
2016-11-09,24
2016-11-10,21
2016-11-11,20
2016-11-12,41
2016-11-14,16
2016-11-15,28
2016-11-16,24
2016-11-17,27
2016-11-18,28
2016-11-19,33
2016-11-22,32
2016-11-23,33
2016-11-24,24
2016-11-25,17
2016-11-26,39
2016-11-28,15
2016-11-29,25
2016-11-30,17
2016-12-01,29
2016-12-02,26
2016-12-03,43
2016-12-06,24
2016-12-07,20
2016-12-08,15
2016-12-09,24
2016-12-10,33
2016-12-12,24
2016-12-13,13
2016-12-14,19
2016-12-15,28
2016-12-16,42
2016-12-17,63
2016-12-20,30
2016-12-21,31
2016-12-22,21
2016-12-23,74
2016-12-24,182
2016-12-25,58
2017-01-02,1
2017-01-07,27
2017-01-10,28
2017-01-11,28
2017-01-12,23
2017-01-13,28
2017-01-14,57
2017-01-16,31
2017-01-17,35
2017-01-18,31
2017-01-19,21
2017-01-20,14
2017-01-21,42
2017-01-22,2
2017-01-23,28
2017-01-24,44
