date,visitors
2016-01-04,13
2016-01-05,6
2016-01-06,5
2016-01-07,15
2016-01-09,19
2016-01-13,12
2016-01-14,14
2016-01-15,17
2016-01-16,5
2016-01-18,6
2016-01-19,8
2016-01-20,2
2016-01-21,35
2016-01-22,16
2016-01-25,12
2016-01-26,1
2016-01-27,14
2016-01-28,10
2016-01-29,10
2016-01-30,17
2016-02-01,11
2016-02-02,3
2016-02-03,8
2016-02-04,6
2016-02-05,14
2016-02-06,2
2016-02-08,13
2016-02-09,4
2016-02-10,2
2016-02-12,16
2016-02-13,21
2016-02-15,8
2016-02-16,5
2016-02-17,15
2016-02-18,7
2016-02-19,13
2016-02-22,1
2016-02-23,7
2016-02-25,7
2016-02-26,17
2016-03-01,10
2016-03-02,17
2016-03-03,15
2016-03-04,18
2016-03-05,5
2016-03-07,18
2016-03-08,15
2016-03-09,16
2016-03-10,10
2016-03-11,15
2016-03-12,11
2016-03-14,5
2016-03-15,9
2016-03-16,20
2016-03-17,18
2016-03-18,18
2016-03-22,4
2016-03-23,12
2016-03-24,14
2016-03-25,14
2016-03-26,4
2016-03-29,30
2016-03-30,16
2016-03-31,4
2016-04-01,9
2016-04-02,18
2016-04-04,11
2016-04-05,9
2016-04-06,11
2016-04-07,9
2016-04-08,14
2016-04-09,2
2016-04-11,3
2016-04-13,19
2016-04-14,14
2016-04-15,17
2016-04-16,11
2016-04-18,7
2016-04-19,10
2016-04-20,2
2016-04-21,13
2016-04-22,16
2016-04-23,10
2016-04-25,2
2016-04-26,10
2016-04-27,8
2016-04-28,15
2016-05-06,8
2016-05-07,3
2016-05-09,16
2016-05-10,9
2016-05-11,9
2016-05-12,1
2016-05-13,32
2016-05-16,10
2016-05-17,4
2016-05-18,13
2016-05-19,10
2016-05-20,15
2016-05-23,8
2016-05-25,21
2016-05-26,4
2016-05-27,11
2016-05-30,11
2016-05-31,7
2016-06-01,12
2016-06-02,9
2016-06-03,6
2016-06-04,10
2016-06-07,22
2016-06-08,3
2016-06-09,8
2016-06-10,19
2016-06-11,10
2016-06-13,3
2016-06-14,13
2016-06-15,13
2016-06-16,10
2016-06-17,14
2016-06-21,13
2016-06-22,20
2016-06-23,12
2016-06-24,21
2016-06-28,14
2016-06-29,15
2016-06-30,12
2016-07-01,15
2016-07-02,11
2016-07-04,1
2016-07-05,8
2016-07-06,25
2016-07-08,17
2016-07-09,5
2016-07-11,4
2016-07-12,8
2016-07-13,13
2016-07-14,12
2016-07-15,8
2016-07-16,11
2016-07-20,2
2016-07-21,13
2016-07-22,13
2016-07-26,6
2016-07-27,20
2016-07-28,4
2016-07-29,7
2016-08-01,7
2016-08-02,5
2016-08-03,10
2016-08-04,13
2016-08-05,17
2016-08-06,4
2016-08-07,14
2016-08-09,13
2016-08-10,4
2016-08-11,13
2016-08-12,3
2016-08-13,5
2016-08-16,10
2016-08-17,12
2016-08-18,12
2016-08-19,5
2016-08-20,11
2016-08-22,9
2016-08-23,3
2016-08-24,13
2016-08-25,2
2016-08-26,3
2016-08-29,6
2016-08-30,10
2016-08-31,21
2016-09-01,10
2016-09-02,9
2016-09-06,20
2016-09-07,11
2016-09-08,11
2016-09-09,6
2016-09-10,10
2016-09-12,11
2016-09-13,7
2016-09-14,12
2016-09-15,6
2016-09-16,17
2016-09-17,4
2016-09-20,9
2016-09-21,6
2016-09-22,12
2016-09-23,1
2016-09-27,14
2016-09-28,17
2016-09-29,9
2016-09-30,10
2016-10-03,3
2016-10-04,11
2016-10-05,9
2016-10-06,5
2016-10-07,9
2016-10-11,2
2016-10-12,2
2016-10-13,10
2016-10-14,2
2016-10-17,2
2016-10-18,6
2016-10-19,12
2016-10-20,10
2016-10-21,17
2016-10-22,11
2016-10-25,2
2016-10-26,16
2016-10-28,5
2016-10-31,11
2016-11-01,15
2016-11-02,10
2016-11-03,8
2016-11-04,4
2016-11-07,11
2016-11-08,2
2016-11-09,11
2016-11-10,15
2016-11-11,13
2016-11-12,14
2016-11-14,2
2016-11-15,5
2016-11-16,2
2016-11-17,12
2016-11-18,12
2016-11-19,15
2016-11-22,16
2016-11-24,8
2016-11-25,20
2016-11-28,2
2016-11-29,4
2016-11-30,19
2016-12-01,13
2016-12-02,20
2016-12-03,4
2016-12-05,3
2016-12-06,7
2016-12-07,12
2016-12-08,5
2016-12-09,17
2016-12-10,4
2016-12-12,10
2016-12-13,13
2016-12-14,12
2016-12-15,17
2016-12-16,24
2016-12-17,10
2016-12-19,13
2016-12-20,17
2016-12-21,14
2016-12-22,13
2016-12-23,15
2016-12-24,17
2016-12-26,8
2016-12-27,3
2016-12-28,22
2016-12-29,13
2016-12-30,6
2017-01-05,6
2017-01-06,13
2017-01-07,5
2017-01-10,15
2017-01-11,9
2017-01-12,6
2017-01-13,20
2017-01-14,3
2017-01-16,7
2017-01-17,13
2017-01-18,13
2017-01-19,16
2017-01-20,7
