date,visitors
2016-07-01,5
2016-07-02,8
2016-07-03,10
2016-07-04,4
2016-07-05,4
2016-07-06,4
2016-07-07,5
2016-07-08,7
2016-07-09,8
2016-07-10,3
2016-07-11,1
2016-07-12,1
2016-07-13,9
2016-07-14,5
2016-07-15,5
2016-07-16,13
2016-07-17,11
2016-07-18,1
2016-07-19,4
2016-07-20,8
2016-07-21,4
2016-07-22,6
2016-07-23,7
2016-07-24,3
2016-07-25,2
2016-07-26,6
2016-07-27,15
2016-07-28,4
2016-07-29,4
2016-07-30,5
2016-07-31,23
2016-08-01,1
2016-08-02,5
2016-08-03,9
2016-08-04,6
2016-08-05,6
2016-08-06,5
2016-08-07,7
2016-08-08,1
2016-08-09,6
2016-08-10,9
2016-08-11,12
2016-08-12,6
2016-08-13,6
2016-08-14,5
2016-08-15,4
2016-08-16,3
2016-08-17,8
2016-08-18,4
2016-08-19,2
2016-08-20,12
2016-08-21,6
2016-08-22,4
2016-08-23,1
2016-08-24,8
2016-08-25,5
2016-08-26,3
2016-08-27,20
2016-08-28,8
2016-08-29,2
2016-08-30,1
2016-08-31,4
2016-09-01,7
2016-09-02,9
2016-09-03,7
2016-09-04,1
2016-09-06,3
2016-09-07,6
2016-09-08,7
2016-09-09,3
2016-09-10,12
2016-09-11,2
2016-09-12,3
2016-09-13,3
2016-09-14,9
2016-09-15,5
2016-09-16,5
2016-09-17,13
2016-09-18,5
2016-09-21,14
2016-09-22,9
2016-09-23,2
2016-09-24,6
2016-09-25,3
2016-09-26,1
2016-09-27,7
2016-09-28,11
2016-09-29,3
2016-09-30,14
2016-10-01,10
2016-10-02,1
2016-10-04,7
2016-10-05,14
2016-10-06,17
2016-10-07,5
2016-10-08,6
2016-10-09,6
2016-10-10,3
2016-10-11,3
2016-10-12,6
2016-10-13,3
2016-10-14,10
2016-10-15,10
2016-10-16,3
2016-10-17,9
2016-10-18,4
2016-10-19,5
2016-10-20,7
2016-10-21,5
2016-10-22,9
2016-10-23,1
2016-10-24,4
2016-10-25,10
2016-10-26,4
2016-10-27,3
2016-10-28,3
2016-10-29,6
2016-10-30,2
2016-10-31,2
2016-11-01,5
2016-11-02,4
2016-11-03,8
2016-11-04,2
2016-11-05,12
2016-11-06,1
2016-11-07,4
2016-11-08,1
2016-11-09,8
2016-11-10,21
2016-11-11,4
2016-11-12,7
2016-11-13,7
2016-11-14,3
2016-11-15,3
2016-11-16,3
2016-11-17,1
2016-11-18,13
2016-11-19,13
2016-11-20,8
2016-11-21,2
2016-11-22,4
2016-11-23,13
2016-11-24,4
2016-11-25,8
2016-11-26,8
2016-11-28,2
2016-11-29,5
2016-11-30,5
2016-12-01,5
2016-12-02,8
2016-12-03,10
2016-12-04,4
2016-12-05,8
2016-12-07,7
2016-12-08,4
2016-12-09,6
2016-12-10,11
2016-12-11,7
2016-12-12,4
2016-12-13,3
2016-12-14,8
2016-12-15,7
2016-12-16,8
2016-12-17,11
2016-12-18,11
2016-12-19,5
2016-12-21,5
2016-12-22,4
2016-12-23,6
2016-12-24,8
2016-12-25,2
2016-12-26,4
2016-12-27,4
2016-12-28,2
2016-12-29,4
2016-12-30,4
2017-01-05,3
2017-01-06,1
2017-01-07,16
2017-01-08,13
2017-01-09,2
2017-01-10,5
2017-01-11,1
2017-01-12,8
2017-01-13,10
2017-01-14,6
2017-01-15,7
2017-01-17,4
2017-01-18,4
2017-01-19,2
2017-01-20,7
2017-01-21,10
2017-01-22,3
2017-01-23,1
2017-01-24,3
2017-01-25,3
2017-01-26,6
2017-01-27,2
2017-01-28,11
2017-01-29,3
2017-01-30,3
2017-01-31,2
2017-02-01,3
2017-02-02,3
2017-02-03,4
2017-02-04,7
2017-02-05,3
2017-02-06,1
2017-02-07,3
2017-02-08,7
2017-02-09,3
2017-02-10,4
2017-02-11,8
2017-02-12,2
2017-02-13,4
2017-02-14,2
2017-02-15,1
2017-02-16,6
2017-02-17,9
2017-02-18,9
2017-02-19,1
2017-02-20,1
2017-02-21,1
2017-02-22,6
