date,visitors
2016-07-01,4
2016-07-02,5
2016-07-03,12
2016-07-04,2
2016-07-05,2
2016-07-07,1
2016-07-08,4
2016-07-09,7
2016-07-10,5
2016-07-11,3
2016-07-12,3
2016-07-15,3
2016-07-16,8
2016-07-17,5
2016-07-18,10
2016-07-19,7
2016-07-22,3
2016-07-23,6
2016-07-24,8
2016-07-25,3
2016-07-26,3
2016-07-28,2
2016-07-29,3
2016-07-30,15
2016-07-31,24
2016-08-01,7
2016-08-02,4
2016-08-05,7
2016-08-06,6
2016-08-07,8
2016-08-08,3
2016-08-09,3
2016-08-11,4
2016-08-13,3
2016-08-14,4
2016-08-15,4
2016-08-16,5
2016-08-19,2
2016-08-20,8
2016-08-21,17
2016-08-22,3
2016-08-23,4
2016-08-25,1
2016-08-26,11
2016-08-27,10
2016-08-28,6
2016-09-02,2
2016-09-03,6
2016-09-04,14
2016-09-05,1
2016-09-06,1
2016-09-08,1
2016-09-09,6
2016-09-10,8
2016-09-11,4
2016-09-12,2
2016-09-13,4
2016-09-16,5
2016-09-17,4
2016-09-18,2
2016-09-19,4
2016-09-20,2
2016-09-22,2
2016-09-23,8
2016-09-24,11
2016-09-25,7
2016-09-26,8
2016-09-27,5
2016-09-30,7
2016-10-01,7
2016-10-02,10
2016-10-03,3
2016-10-04,2
2016-10-06,1
2016-10-07,3
2016-10-08,6
2016-10-09,11
2016-10-10,9
2016-10-11,6
2016-10-13,1
2016-10-14,6
2016-10-15,8
2016-10-16,9
2016-10-17,6
2016-10-18,5
2016-10-21,2
2016-10-22,5
2016-10-23,4
2016-10-24,6
2016-10-28,4
2016-10-29,19
2016-10-30,9
2016-10-31,6
2016-11-01,4
2016-11-04,6
2016-11-05,11
2016-11-06,14
2016-11-07,6
2016-11-08,3
2016-11-09,1
2016-11-11,10
2016-11-12,6
2016-11-13,10
2016-11-14,4
2016-11-15,2
2016-11-17,1
2016-11-18,5
2016-11-19,8
2016-11-20,12
2016-11-21,4
2016-11-22,3
2016-11-25,6
2016-11-26,11
2016-11-27,7
2016-11-28,9
2016-11-29,4
2016-12-02,1
2016-12-03,12
2016-12-04,12
2016-12-05,5
2016-12-06,7
2016-12-07,1
2016-12-09,3
2016-12-10,8
2016-12-11,11
2016-12-12,2
2016-12-13,2
2016-12-16,10
2016-12-17,8
2016-12-18,4
2016-12-19,7
2016-12-20,2
2016-12-23,3
2016-12-24,9
2016-12-25,4
2016-12-26,3
2016-12-27,5
2016-12-28,1
2016-12-29,9
2016-12-30,7
2017-01-06,1
2017-01-07,6
2017-01-08,5
2017-01-09,12
2017-01-10,4
2017-01-13,3
2017-01-14,8
2017-01-15,3
2017-01-16,3
2017-01-17,3
2017-01-19,1
2017-01-20,4
2017-01-21,16
2017-01-22,5
2017-01-23,6
2017-01-24,7
2017-01-27,5
2017-01-28,11
2017-01-29,10
2017-01-30,7
2017-01-31,2
2017-02-03,4
2017-02-04,5
2017-02-05,8
2017-02-06,3
2017-02-07,7
2017-02-10,8
2017-02-11,6
2017-02-12,6
2017-02-13,4
2017-02-14,3
2017-02-17,5
2017-02-18,6
2017-02-19,7
2017-02-20,6
2017-02-21,13
2017-02-23,1
