date,visitors
2016-01-27,2
2016-02-25,2
2016-03-15,5
2016-03-31,2
2016-04-27,4
2016-05-10,2
2016-06-16,2
2016-06-18,28
2016-06-23,3
2016-06-29,25
2016-06-30,2
2016-12-03,4
2017-01-20,5
2017-01-23,48
2017-01-25,35
2017-01-26,12
2017-01-27,14
2017-01-28,41
2017-01-29,54
2017-01-30,9
2017-01-31,10
2017-02-01,19
2017-02-02,28
2017-02-03,18
2017-02-04,41
2017-02-05,75
2017-02-06,20
2017-02-07,10
2017-02-08,10
2017-02-09,11
2017-02-10,15
2017-02-11,88
2017-02-12,44
2017-02-13,15
2017-02-14,7
2017-02-15,34
2017-02-16,10
2017-02-17,17
2017-02-18,29
2017-02-19,54
2017-02-20,66
2017-02-21,13
2017-02-22,58
2017-02-23,13
2017-02-24,14
2017-02-25,94
2017-02-26,34
2017-02-27,9
2017-02-28,3
2017-03-01,13
2017-03-02,16
2017-03-03,10
2017-03-04,10
2017-03-05,78
2017-03-06,8
2017-03-07,13
2017-03-08,51
2017-03-09,16
2017-03-10,7
2017-03-11,54
2017-03-12,20
2017-03-13,42
2017-03-14,7
2017-03-15,6
2017-03-16,27
2017-03-17,10
2017-03-18,31
2017-03-19,53
2017-03-20,20
2017-03-21,1
2017-03-22,25
2017-03-23,23
2017-03-24,13
2017-03-25,105
2017-03-26,56
2017-03-27,15
2017-03-28,2
2017-03-29,22
2017-03-30,21
2017-03-31,16
