date,visitors
2016-07-01,7
2016-07-02,33
2016-07-03,18
2016-07-05,7
2016-07-06,4
2016-07-07,19
2016-07-08,16
2016-07-09,43
2016-07-10,52
2016-07-12,4
2016-07-13,13
2016-07-14,19
2016-07-15,14
2016-07-16,26
2016-07-17,26
2016-07-18,13
2016-07-19,24
2016-07-20,14
2016-07-21,25
2016-07-22,26
2016-07-23,20
2016-07-24,12
2016-07-26,14
2016-07-27,13
2016-07-28,32
2016-07-29,19
2016-07-30,18
2016-07-31,28
2016-08-02,14
2016-08-03,4
2016-08-04,13
2016-08-05,15
2016-08-06,32
2016-08-07,40
2016-08-09,32
2016-08-10,10
2016-08-11,26
2016-08-12,23
2016-08-13,12
2016-08-14,28
2016-08-16,14
2016-08-17,10
2016-08-18,8
2016-08-19,21
2016-08-20,24
2016-08-21,16
2016-08-23,27
2016-08-24,22
2016-08-25,26
2016-08-26,26
2016-08-27,8
2016-08-28,24
2016-08-30,21
2016-08-31,16
2016-09-01,17
2016-09-02,11
2016-09-03,33
2016-09-04,29
2016-09-06,22
2016-09-07,17
2016-09-08,13
2016-09-09,17
2016-09-10,28
2016-09-11,17
2016-09-13,14
2016-09-14,23
2016-09-15,16
2016-09-16,19
2016-09-17,21
2016-09-18,39
2016-09-19,6
2016-09-20,14
2016-09-21,15
2016-09-22,41
2016-09-23,14
2016-09-24,22
2016-09-25,22
2016-09-27,14
2016-09-28,31
2016-09-29,9
2016-09-30,12
2016-10-01,23
2016-10-02,25
2016-10-04,6
2016-10-05,28
2016-10-06,13
2016-10-07,19
2016-10-08,19
2016-10-09,35
2016-10-10,8
2016-10-11,24
2016-10-12,11
2016-10-13,17
2016-10-14,15
2016-10-15,12
2016-10-16,38
2016-10-19,21
2016-10-20,17
2016-10-21,33
2016-10-22,26
2016-10-23,25
2016-10-25,21
2016-10-26,14
2016-10-27,24
2016-10-28,7
2016-10-29,25
2016-10-30,10
2016-11-01,16
2016-11-02,9
2016-11-03,36
2016-11-04,23
2016-11-05,36
2016-11-06,29
2016-11-08,36
2016-11-09,19
2016-11-10,23
2016-11-11,17
2016-11-12,30
2016-11-13,29
2016-11-15,28
2016-11-16,29
2016-11-17,30
2016-11-18,35
2016-11-19,11
2016-11-20,24
2016-11-22,18
2016-11-23,31
2016-11-24,10
2016-11-25,36
2016-11-26,34
2016-11-27,13
2016-11-29,24
2016-11-30,6
2016-12-01,33
2016-12-02,20
2016-12-03,27
2016-12-04,36
2016-12-06,12
2016-12-07,17
2016-12-08,28
2016-12-09,3
2016-12-10,7
2016-12-11,28
2016-12-13,21
2016-12-14,17
2016-12-15,20
2016-12-16,21
2016-12-17,30
2016-12-18,16
2016-12-19,8
2016-12-20,27
2016-12-21,26
2016-12-22,6
2016-12-23,35
2016-12-24,31
2016-12-25,21
2016-12-26,4
2016-12-27,30
2016-12-28,25
2016-12-29,25
2016-12-30,31
2017-01-02,15
2017-01-03,28
2017-01-04,22
2017-01-05,24
2017-01-06,26
2017-01-07,27
2017-01-08,25
2017-01-09,19
2017-01-12,23
2017-01-13,10
2017-01-14,28
2017-01-15,26
2017-01-17,24
2017-01-18,18
2017-01-19,7
2017-01-20,13
2017-01-21,11
2017-01-22,16
2017-01-24,16
2017-01-25,28
2017-01-26,16
2017-01-27,26
2017-01-28,27
2017-01-29,31
2017-01-31,27
2017-02-01,18
2017-02-02,18
2017-02-03,12
2017-02-04,34
2017-02-05,27
2017-02-07,13
2017-02-08,7
2017-02-09,19
2017-02-10,17
2017-02-11,30
2017-02-12,29
2017-02-15,19
2017-02-16,25
2017-02-17,18
2017-02-18,8
2017-02-19,28
