date,visitors
2016-01-04,22
2016-01-05,10
2016-01-06,32
2016-01-07,26
2016-01-08,35
2016-01-11,2
2016-01-12,12
2016-01-13,23
2016-01-14,20
2016-01-15,32
2016-01-18,3
2016-01-19,16
2016-01-20,24
2016-01-21,26
2016-01-22,31
2016-01-23,4
2016-01-25,24
2016-01-26,14
2016-01-27,52
2016-01-28,15
2016-01-29,33
2016-02-01,37
2016-02-02,15
2016-02-03,27
2016-02-04,28
2016-02-05,50
2016-02-06,11
2016-02-08,34
2016-02-09,51
2016-02-10,38
2016-02-11,7
2016-02-12,35
2016-02-13,10
2016-02-15,44
2016-02-16,21
2016-02-17,17
2016-02-18,49
2016-02-19,30
2016-02-20,2
2016-02-22,21
2016-02-23,28
2016-02-24,25
2016-02-25,32
2016-02-26,44
2016-02-27,13
2016-02-29,23
2016-03-01,20
2016-03-02,34
2016-03-03,41
2016-03-04,54
2016-03-05,12
2016-03-07,21
2016-03-08,37
2016-03-09,19
2016-03-10,42
2016-03-11,29
2016-03-12,9
2016-03-14,30
2016-03-15,25
2016-03-16,45
2016-03-17,38
2016-03-18,72
2016-03-19,16
2016-03-22,32
2016-03-23,53
2016-03-24,44
2016-03-25,54
2016-03-26,23
2016-03-28,33
2016-03-29,60
2016-03-30,41
2016-03-31,41
2016-04-01,61
2016-04-02,5
2016-04-04,41
2016-04-05,45
2016-04-06,46
2016-04-07,20
2016-04-08,30
2016-04-09,11
2016-04-11,41
2016-04-12,26
2016-04-13,34
2016-04-14,45
2016-04-15,47
2016-04-16,10
2016-04-18,35
2016-04-19,44
2016-04-20,39
2016-04-21,33
2016-04-22,50
2016-04-23,7
2016-04-25,15
2016-04-26,36
2016-04-27,42
2016-04-28,37
2016-04-29,5
2016-04-30,14
2016-05-06,21
2016-05-07,13
2016-05-09,32
2016-05-10,26
2016-05-11,40
2016-05-12,44
2016-05-13,47
2016-05-14,17
2016-05-16,55
2016-05-17,37
2016-05-18,24
2016-05-19,28
2016-05-20,73
2016-05-21,10
2016-05-23,20
2016-05-24,43
2016-05-25,27
2016-05-26,40
2016-05-27,55
2016-05-28,4
2016-05-30,15
2016-05-31,26
2016-06-01,17
2016-06-02,42
2016-06-03,50
2016-06-04,16
2016-06-06,26
2016-06-07,23
2016-06-08,24
2016-06-09,42
2016-06-10,54
2016-06-11,6
2016-06-13,20
2016-06-14,38
2016-06-15,39
2016-06-16,45
2016-06-17,41
2016-06-18,14
2016-06-20,58
2016-06-21,16
2016-06-22,37
2016-06-23,24
2016-06-24,44
2016-06-25,4
2016-06-27,16
2016-06-28,31
2016-06-29,45
2016-06-30,34
2016-07-01,42
2016-07-02,2
2016-07-04,27
2016-07-05,28
2016-07-06,38
2016-07-07,40
2016-07-08,54
2016-07-09,4
