date,visitors
2016-01-04,67
2016-01-05,37
2016-01-06,52
2016-01-07,15
2016-01-08,21
2016-01-09,46
2016-01-11,47
2016-01-12,19
2016-01-13,33
2016-01-14,26
2016-01-15,56
2016-01-16,51
2016-01-18,15
2016-01-19,36
2016-01-20,26
2016-01-21,28
2016-01-22,38
2016-01-23,19
2016-01-25,35
2016-01-26,33
2016-01-27,51
2016-01-28,35
2016-01-29,22
2016-01-30,30
2016-02-01,34
2016-02-02,23
2016-02-03,72
2016-02-04,41
2016-02-05,37
2016-02-06,41
2016-02-08,23
2016-02-09,45
2016-02-10,36
2016-02-11,38
2016-02-12,30
2016-02-13,59
2016-02-15,32
2016-02-16,29
2016-02-17,27
2016-02-18,41
2016-02-19,36
2016-02-20,39
2016-02-22,33
2016-02-23,31
2016-02-24,28
2016-02-25,35
2016-02-26,36
2016-02-27,44
2016-02-29,18
2016-03-01,35
2016-03-02,26
2016-03-03,56
2016-03-04,34
2016-03-05,52
2016-03-07,35
2016-03-08,38
2016-03-09,21
2016-03-10,30
2016-03-11,42
2016-03-12,32
2016-03-14,38
2016-03-15,44
2016-03-16,38
2016-03-17,24
2016-03-18,25
2016-03-19,42
2016-03-21,41
2016-03-22,35
2016-03-23,40
2016-03-24,39
2016-03-25,41
2016-03-26,45
2016-03-28,35
2016-03-29,40
2016-03-30,30
2016-03-31,19
2016-04-01,26
2016-04-02,64
2016-04-04,24
2016-04-05,54
2016-04-06,30
2016-04-07,17
2016-04-08,41
2016-04-09,53
2016-04-11,33
2016-04-12,33
2016-04-13,14
2016-04-14,24
2016-04-15,54
2016-04-16,45
2016-04-18,47
2016-04-19,50
2016-04-20,39
2016-04-21,28
2016-04-22,43
2016-04-23,37
2016-04-25,38
2016-04-26,36
2016-04-27,42
2016-04-28,21
2016-04-29,33
2016-04-30,29
2016-05-02,27
2016-05-03,44
2016-05-04,82
2016-05-05,52
2016-05-06,38
2016-05-07,35
2016-05-09,38
2016-05-10,46
2016-05-11,30
2016-05-12,37
