date,visitors
2016-07-01,33
2016-07-02,35
2016-07-04,20
2016-07-05,32
2016-07-06,28
2016-07-07,36
2016-07-08,25
2016-07-09,14
2016-07-11,21
2016-07-12,27
2016-07-13,33
2016-07-14,32
2016-07-15,37
2016-07-16,40
2016-07-19,22
2016-07-20,33
2016-07-21,21
2016-07-22,26
2016-07-23,26
2016-07-25,8
2016-07-26,21
2016-07-27,42
2016-07-28,40
2016-07-29,37
2016-07-30,43
2016-08-01,18
2016-08-02,29
2016-08-03,33
2016-08-04,37
2016-08-05,27
2016-08-06,13
2016-08-08,20
2016-08-09,37
2016-08-10,50
2016-08-17,20
2016-08-18,26
2016-08-19,21
2016-08-20,6
2016-08-22,14
2016-08-23,22
2016-08-24,34
2016-08-25,45
2016-08-26,18
2016-08-27,44
2016-08-29,23
2016-08-30,16
2016-08-31,28
2016-09-01,22
2016-09-02,30
2016-09-03,16
2016-09-05,9
2016-09-06,29
2016-09-07,27
2016-09-08,13
2016-09-09,31
2016-09-10,33
2016-09-12,13
2016-09-13,17
2016-09-14,16
2016-09-15,18
2016-09-16,48
2016-09-17,19
2016-09-20,4
2016-09-21,39
2016-09-23,25
2016-09-24,34
2016-09-26,32
2016-09-27,26
2016-09-28,35
2016-09-29,39
2016-09-30,36
2016-10-01,12
2016-10-03,29
2016-10-04,29
2016-10-05,36
2016-10-06,11
2016-10-07,28
2016-10-08,38
2016-10-09,18
2016-10-11,12
2016-10-12,18
2016-10-13,31
2016-10-14,30
2016-10-15,18
2016-10-17,16
2016-10-18,13
2016-10-19,22
2016-10-20,30
2016-10-21,45
2016-10-22,25
2016-10-24,22
2016-10-25,11
2016-10-26,37
2016-10-27,27
2016-10-28,35
2016-10-29,50
2016-10-31,11
2016-11-01,21
2016-11-02,55
2016-11-04,26
2016-11-05,10
2016-11-07,9
2016-11-08,14
2016-11-09,29
2016-11-10,33
2016-11-11,57
2016-11-12,4
2016-11-14,13
2016-11-15,10
2016-11-16,29
2016-11-17,17
2016-11-18,47
2016-11-19,9
2016-11-21,32
2016-11-22,46
2016-11-23,4
2016-11-24,17
2016-11-25,28
2016-11-26,37
2016-11-28,25
2016-11-29,22
2016-11-30,31
2016-12-01,18
2016-12-02,46
2016-12-03,13
2016-12-05,34
2016-12-06,45
2016-12-07,44
2016-12-08,41
2016-12-09,51
2016-12-10,5
2016-12-12,25
2016-12-13,33
2016-12-14,50
2016-12-15,37
2016-12-16,63
2016-12-17,10
2016-12-19,35
2016-12-20,32
2016-12-21,73
2016-12-22,45
2016-12-26,47
2016-12-27,46
2016-12-28,35
2016-12-29,44
2017-01-05,16
2017-01-06,38
2017-01-07,15
2017-01-10,19
2017-01-11,22
2017-01-12,18
2017-01-13,34
2017-01-14,19
2017-01-16,25
2017-01-17,35
2017-01-18,43
2017-01-19,32
2017-01-20,35
2017-01-21,7
2017-01-23,36
2017-01-24,16
2017-01-25,25
2017-01-26,23
2017-01-27,45
2017-01-30,8
2017-01-31,16
2017-02-01,32
2017-02-02,27
2017-02-03,38
2017-02-04,7
2017-02-06,23
2017-02-07,18
2017-02-08,23
2017-02-09,25
2017-02-10,60
2017-02-11,5
2017-02-13,24
2017-02-14,24
2017-02-15,34
2017-02-16,28
2017-02-17,42
2017-02-18,12
2017-02-20,28
2017-02-21,36
2017-02-22,20
2017-02-23,31
2017-02-24,32
2017-02-25,26
