date,visitors
2016-07-01,12
2016-07-02,6
2016-07-03,5
2016-07-04,7
2016-07-05,9
2016-07-06,5
2016-07-07,11
2016-07-08,13
2016-07-09,8
2016-07-10,5
2016-07-11,8
2016-07-12,9
2016-07-13,15
2016-07-14,14
2016-07-15,8
2016-07-16,5
2016-07-17,6
2016-07-18,7
2016-07-19,12
2016-07-20,7
2016-07-21,6
2016-07-22,18
2016-07-23,11
2016-07-24,9
2016-07-25,13
2016-07-26,6
2016-07-27,9
2016-07-28,9
2016-07-29,15
2016-07-30,17
2016-07-31,12
2016-08-01,7
2016-08-02,9
2016-08-03,14
2016-08-04,11
2016-08-05,10
2016-08-06,7
2016-08-07,7
2016-08-08,17
2016-08-09,17
2016-08-10,14
2016-08-11,9
2016-08-12,11
2016-08-16,7
2016-08-17,6
2016-08-18,10
2016-08-19,18
2016-08-20,19
2016-08-21,10
2016-08-22,9
2016-08-23,17
2016-08-24,8
2016-08-25,11
2016-08-26,6
2016-08-27,8
2016-08-28,8
2016-08-29,11
2016-08-30,14
2016-08-31,5
2016-09-01,11
2016-09-02,10
2016-09-03,6
2016-09-04,2
2016-09-05,8
2016-09-06,11
2016-09-07,17
2016-09-08,7
2016-09-09,14
2016-09-10,10
2016-09-11,10
2016-09-12,11
2016-09-13,9
2016-09-14,10
2016-09-15,14
2016-09-16,11
2016-09-17,14
2016-09-18,6
2016-09-19,13
2016-09-20,13
2016-09-21,23
2016-09-22,11
2016-09-23,10
2016-09-24,11
2016-09-25,19
2016-09-26,12
2016-09-27,4
2016-09-28,17
2016-09-29,13
2016-09-30,13
2016-10-01,14
2016-10-02,14
2016-10-03,13
2016-10-04,13
2016-10-05,13
2016-10-06,6
2016-10-07,12
2016-10-08,14
2016-10-09,15
2016-10-10,10
2016-10-11,15
2016-10-12,12
2016-10-13,12
2016-10-14,16
2016-10-15,7
2016-10-16,10
2016-10-17,12
2016-10-18,10
2016-10-19,14
2016-10-20,11
2016-10-21,15
2016-10-22,12
2016-10-23,12
2016-10-24,5
2016-10-25,11
2016-10-26,16
2016-10-27,10
2016-10-28,18
2016-10-29,18
2016-10-30,9
2016-10-31,8
2016-11-01,11
2016-11-02,14
2016-11-03,11
2016-11-04,18
2016-11-05,15
2016-11-06,10
2016-11-07,10
2016-11-08,12
2016-11-09,13
2016-11-10,10
2016-11-11,16
2016-11-12,17
2016-11-13,13
2016-11-14,14
2016-11-15,10
2016-11-16,13
2016-11-17,12
2016-11-18,13
2016-11-19,19
2016-11-20,12
2016-11-21,12
2016-11-22,20
2016-11-23,11
2016-11-24,12
2016-11-25,19
2016-11-26,19
2016-11-27,7
2016-11-28,13
2016-11-29,18
2016-11-30,15
2016-12-01,22
2016-12-02,15
2016-12-03,19
2016-12-04,9
2016-12-05,16
2016-12-06,16
2016-12-07,17
2016-12-08,18
2016-12-09,22
2016-12-10,24
2016-12-11,13
2016-12-12,11
2016-12-13,16
2016-12-14,16
2016-12-15,19
2016-12-16,30
2016-12-17,16
2016-12-18,18
2016-12-19,15
2016-12-20,20
2016-12-21,22
2016-12-22,32
2016-12-23,40
2016-12-24,129
2016-12-25,64
2016-12-26,20
2016-12-27,16
2016-12-28,9
2016-12-29,17
2016-12-30,7
2016-12-31,14
2017-01-04,4
2017-01-05,16
2017-01-06,11
2017-01-07,17
2017-01-08,10
2017-01-09,11
2017-01-10,6
2017-01-11,9
2017-01-12,22
2017-01-13,10
2017-01-14,15
2017-01-15,6
2017-01-16,15
2017-01-17,14
2017-01-18,15
2017-01-19,13
2017-01-20,14
2017-01-21,13
2017-01-22,10
2017-01-23,8
2017-01-24,10
2017-01-25,21
2017-01-26,13
2017-01-27,16
2017-01-28,29
2017-01-29,9
2017-01-30,13
2017-01-31,24
2017-02-01,8
2017-02-02,10
2017-02-03,29
2017-02-04,23
2017-02-05,15
2017-02-06,10
2017-02-07,25
2017-02-08,19
2017-02-09,14
2017-02-10,24
2017-02-11,30
2017-02-12,35
2017-02-13,27
2017-02-14,42
2017-02-15,21
2017-02-16,14
2017-02-17,20
2017-02-18,20
2017-02-19,10
2017-02-20,9
2017-02-21,17
2017-02-22,20
2017-02-23,16
