date,visitors
2016-07-01,9
2016-07-02,6
2016-07-06,6
2016-07-07,3
2016-07-08,4
2016-07-09,4
2016-07-13,2
2016-07-14,9
2016-07-15,12
2016-07-16,5
2016-07-20,8
2016-07-21,5
2016-07-22,10
2016-07-23,7
2016-07-27,9
2016-07-28,8
2016-07-29,7
2016-07-30,12
2016-08-01,2
2016-08-03,11
2016-08-04,6
2016-08-05,13
2016-08-06,6
2016-08-10,18
2016-08-11,12
2016-08-12,8
2016-08-15,1
2016-08-17,9
2016-08-18,5
2016-08-19,10
2016-08-20,9
2016-08-24,8
2016-08-25,7
2016-08-26,7
2016-08-27,5
2016-08-31,3
2016-09-01,12
2016-09-02,7
2016-09-03,16
2016-09-07,12
2016-09-08,11
2016-09-09,6
2016-09-10,19
2016-09-15,10
2016-09-16,10
2016-09-17,9
2016-09-21,15
2016-09-22,10
2016-09-23,9
2016-09-24,9
2016-09-28,11
2016-09-29,8
2016-09-30,11
2016-10-01,9
2016-10-06,9
2016-10-07,14
2016-10-08,5
2016-10-12,8
2016-10-13,6
2016-10-14,15
2016-10-15,9
2016-10-18,1
2016-10-19,7
2016-10-20,10
2016-10-21,9
2016-10-22,10
2016-10-26,12
2016-10-27,11
2016-10-28,7
2016-10-29,9
2016-10-31,2
2016-11-02,11
2016-11-04,17
2016-11-05,7
2016-11-06,13
2016-11-09,6
2016-11-10,7
2016-11-11,12
2016-11-12,7
2016-11-13,11
2016-11-16,12
2016-11-17,9
2016-11-18,9
2016-11-19,7
2016-11-20,10
2016-11-24,9
2016-11-25,8
2016-11-26,12
2016-11-27,11
2016-11-29,1
2016-11-30,12
2016-12-01,12
2016-12-02,15
2016-12-03,12
2016-12-04,8
2016-12-08,12
2016-12-09,11
2016-12-10,6
2016-12-11,7
2016-12-14,11
2016-12-15,7
2016-12-16,14
2016-12-18,12
2016-12-21,15
2016-12-22,8
2016-12-23,8
2016-12-24,7
2016-12-25,17
2016-12-26,7
2016-12-27,8
2016-12-28,12
2016-12-31,1
2017-01-01,1
2017-01-05,1
2017-01-06,17
2017-01-07,10
2017-01-08,9
2017-01-11,6
2017-01-12,9
2017-01-13,8
2017-01-14,10
2017-01-15,9
2017-01-18,10
2017-01-19,4
2017-01-20,12
2017-01-21,11
2017-01-22,7
2017-01-25,6
2017-01-26,4
2017-01-27,5
2017-01-28,12
2017-01-29,1
2017-01-30,1
2017-02-01,11
2017-02-02,8
2017-02-03,8
2017-02-04,8
2017-02-05,10
2017-02-08,8
2017-02-09,8
2017-02-10,10
2017-02-11,10
2017-02-12,9
2017-02-15,11
2017-02-16,10
2017-02-17,15
2017-02-18,10
2017-02-19,13
2017-02-22,4
2017-02-23,7
2017-02-24,12
2017-02-25,13
