date,visitors
2016-07-01,21
2016-07-02,16
2016-07-05,11
2016-07-06,10
2016-07-07,9
2016-07-08,21
2016-07-09,20
2016-07-11,3
2016-07-12,16
2016-07-13,13
2016-07-14,17
2016-07-15,18
2016-07-16,18
2016-07-19,9
2016-07-20,17
2016-07-21,12
2016-07-22,16
2016-07-23,13
2016-07-25,6
2016-07-27,13
2016-07-28,13
2016-07-29,14
2016-07-30,11
2016-08-02,9
2016-08-03,5
2016-08-04,15
2016-08-05,20
2016-08-06,14
2016-08-08,8
2016-08-09,12
2016-08-10,17
2016-08-12,14
2016-08-18,11
2016-08-19,17
2016-08-20,8
2016-08-22,5
2016-08-23,9
2016-08-24,11
2016-08-25,18
2016-08-26,11
2016-08-27,15
2016-08-30,6
2016-08-31,10
2016-09-01,11
2016-09-02,7
2016-09-03,9
2016-09-05,12
2016-09-06,8
2016-09-07,11
2016-09-08,11
2016-09-09,15
2016-09-10,10
2016-09-12,13
2016-09-13,10
2016-09-14,12
2016-09-15,14
2016-09-16,18
2016-09-17,13
2016-09-20,10
2016-09-21,12
2016-09-23,16
2016-09-24,20
2016-09-26,6
2016-09-27,14
2016-09-28,11
2016-09-29,15
2016-09-30,15
2016-10-01,7
2016-10-04,12
2016-10-05,13
2016-10-06,18
2016-10-07,18
2016-10-08,12
2016-10-11,12
2016-10-12,15
2016-10-13,16
2016-10-14,19
2016-10-15,23
2016-10-17,7
2016-10-18,16
2016-10-19,6
2016-10-20,16
2016-10-21,18
2016-10-22,11
2016-10-24,17
2016-10-26,25
2016-10-27,12
2016-10-28,18
2016-10-29,20
2016-10-31,4
2016-11-01,13
2016-11-02,6
2016-11-04,17
2016-11-05,14
2016-11-07,11
2016-11-08,10
2016-11-10,12
2016-11-11,14
2016-11-12,19
2016-11-14,8
2016-11-15,13
2016-11-17,4
2016-11-18,19
2016-11-19,25
2016-11-22,9
2016-11-24,10
2016-11-25,19
2016-11-26,17
2016-11-28,17
2016-11-29,6
2016-11-30,17
2016-12-01,9
2016-12-02,17
2016-12-03,20
2016-12-04,2
2016-12-05,14
2016-12-06,19
2016-12-07,11
2016-12-08,16
2016-12-09,22
2016-12-10,22
2016-12-11,11
2016-12-12,13
2016-12-13,15
2016-12-14,13
2016-12-15,23
2016-12-16,25
2016-12-17,29
2016-12-18,24
2016-12-19,18
2016-12-20,16
2016-12-21,20
2016-12-22,22
2016-12-23,22
2016-12-24,18
2016-12-25,19
2016-12-26,17
2016-12-27,30
2016-12-28,18
2016-12-29,15
2017-01-06,13
2017-01-07,12
2017-01-11,10
2017-01-12,14
2017-01-13,23
2017-01-14,13
2017-01-17,14
2017-01-18,18
2017-01-19,9
2017-01-20,27
2017-01-21,8
2017-01-23,11
2017-01-24,10
2017-01-25,12
2017-01-26,12
2017-01-27,23
2017-01-28,17
2017-01-30,14
2017-01-31,10
2017-02-01,4
2017-02-03,15
2017-02-04,22
2017-02-06,12
2017-02-07,15
2017-02-08,15
2017-02-09,7
2017-02-10,20
2017-02-11,18
2017-02-14,9
2017-02-15,18
2017-02-16,19
2017-02-17,18
2017-02-18,19
2017-02-21,7
2017-02-22,10
2017-02-23,16
2017-02-24,35
2017-02-25,20
