date,visitors
2016-01-04,48
2016-01-05,35
2016-01-06,46
2016-01-07,18
2016-01-08,35
2016-01-09,20
2016-01-11,15
2016-01-12,36
2016-01-13,33
2016-01-14,27
2016-01-15,45
2016-01-16,32
2016-01-18,21
2016-01-19,18
2016-01-20,36
2016-01-21,30
2016-01-22,30
2016-01-23,35
2016-01-25,17
2016-01-26,33
2016-01-27,33
2016-01-28,28
2016-01-29,24
2016-01-30,18
2016-02-01,28
2016-02-02,33
2016-02-03,44
2016-02-04,30
2016-02-05,57
2016-02-06,21
2016-02-08,20
2016-02-09,45
2016-02-10,53
2016-02-11,19
2016-02-12,29
2016-02-13,31
2016-02-15,40
2016-02-16,19
2016-02-17,31
2016-02-18,37
2016-02-19,39
2016-02-20,21
2016-02-22,32
2016-02-23,42
2016-02-24,37
2016-02-25,23
2016-02-26,42
2016-02-27,15
2016-02-29,33
2016-03-01,44
2016-03-02,40
2016-03-03,22
2016-03-04,46
2016-03-05,31
2016-03-07,24
2016-03-08,42
2016-03-09,26
2016-03-10,31
2016-03-11,44
2016-03-12,20
2016-03-14,18
2016-03-15,51
2016-03-16,38
2016-03-17,30
2016-03-18,51
2016-03-19,21
2016-03-20,13
2016-03-21,28
2016-03-22,50
2016-03-23,45
2016-03-24,47
2016-03-25,44
2016-03-26,26
2016-03-28,38
2016-03-29,62
2016-03-30,55
2016-03-31,55
2016-04-01,32
2016-04-02,30
2016-04-04,46
2016-04-05,50
2016-04-06,42
2016-04-07,45
2016-04-08,63
2016-04-09,35
2016-04-11,60
2016-04-12,55
2016-04-13,37
2016-04-14,55
2016-04-15,75
2016-04-16,40
2016-04-18,25
2016-04-19,33
2016-04-20,49
2016-04-21,28
2016-04-22,36
2016-04-23,25
2016-04-25,31
2016-04-26,46
2016-04-27,58
2016-04-28,44
2016-04-29,38
2016-04-30,26
2016-05-02,62
2016-05-03,9
2016-05-04,26
2016-05-05,27
2016-05-06,12
2016-05-07,43
2016-05-09,30
2016-05-10,32
2016-05-11,31
2016-05-12,34
2016-05-13,59
2016-05-14,36
2016-05-16,24
2016-05-17,45
2016-05-18,60
2016-05-19,49
2016-05-20,51
2016-05-21,30
2016-05-23,43
2016-05-24,53
2016-05-25,39
2016-05-26,37
2016-05-27,36
2016-05-28,41
2016-05-30,63
2016-05-31,50
2016-06-01,35
2016-06-02,63
2016-06-03,55
2016-06-04,29
2016-06-06,36
2016-06-07,44
2016-06-08,46
2016-06-09,47
2016-06-10,60
2016-06-11,46
2016-06-13,27
2016-06-14,22
2016-06-15,33
2016-06-16,46
2016-06-17,67
2016-06-18,39
2016-06-19,15
2016-06-20,35
2016-06-21,37
2016-06-22,31
2016-06-23,22
2016-06-24,46
2016-06-25,26
2016-06-27,53
2016-06-28,35
2016-06-29,29
2016-06-30,61
2016-07-01,45
2016-07-02,44
2016-07-04,28
2016-07-05,40
2016-07-06,35
2016-07-07,38
2016-07-08,55
2016-07-09,19
2016-07-11,43
2016-07-12,43
2016-07-13,30
2016-07-14,51
2016-07-15,59
2016-07-16,37
2016-07-18,33
2016-07-19,39
2016-07-20,42
2016-07-21,42
2016-07-22,41
2016-07-23,10
2016-07-25,41
2016-07-26,38
2016-07-27,47
2016-07-28,45
2016-07-29,53
2016-07-30,36
2016-07-31,2
2016-08-01,42
2016-08-02,22
2016-08-03,30
