date,visitors
2016-07-01,11
2016-07-02,31
2016-07-03,12
2016-07-05,2
2016-07-06,6
2016-07-08,4
2016-07-09,30
2016-07-10,16
2016-07-12,16
2016-07-13,12
2016-07-14,1
2016-07-15,19
2016-07-16,14
2016-07-17,31
2016-07-18,19
2016-07-20,3
2016-07-21,10
2016-07-22,5
2016-07-23,25
2016-07-24,21
2016-07-25,1
2016-07-26,6
2016-07-27,17
2016-07-28,6
2016-07-29,8
2016-07-30,23
2016-07-31,3
2016-08-02,5
2016-08-03,4
2016-08-04,4
2016-08-05,19
2016-08-06,13
2016-08-07,35
2016-08-08,5
2016-08-09,8
2016-08-10,19
2016-08-11,22
2016-08-12,13
2016-08-13,17
2016-08-14,18
2016-08-15,24
2016-08-16,13
2016-08-17,31
2016-08-19,14
2016-08-20,7
2016-08-21,17
2016-08-23,8
2016-08-24,8
2016-08-25,8
2016-08-26,12
2016-08-27,29
2016-08-28,26
2016-08-29,2
2016-08-30,10
2016-08-31,7
2016-09-01,9
2016-09-02,18
2016-09-03,16
2016-09-04,26
2016-09-05,10
2016-09-06,13
2016-09-07,12
2016-09-08,21
2016-09-09,12
2016-09-10,18
2016-09-11,20
2016-09-13,14
2016-09-14,7
2016-09-15,8
2016-09-16,13
2016-09-17,19
2016-09-18,28
2016-09-19,20
2016-09-20,5
2016-09-21,14
2016-09-22,14
2016-09-23,23
2016-09-24,27
2016-09-25,15
2016-09-26,7
2016-09-27,10
2016-09-28,13
2016-09-29,17
2016-09-30,5
2016-10-01,18
2016-10-02,14
2016-10-03,2
2016-10-04,2
2016-10-05,20
2016-10-06,9
2016-10-07,5
2016-10-08,36
2016-10-09,13
2016-10-10,8
2016-10-11,11
2016-10-12,8
2016-10-13,4
2016-10-14,27
2016-10-15,7
2016-10-16,17
2016-10-17,19
2016-10-18,13
2016-10-19,7
2016-10-20,11
2016-10-21,10
2016-10-22,30
2016-10-23,13
2016-10-25,12
2016-10-26,11
2016-10-27,18
2016-10-28,10
2016-10-29,34
2016-10-30,17
2016-10-31,10
2016-11-01,4
2016-11-02,10
2016-11-03,13
2016-11-04,5
2016-11-05,22
2016-11-06,18
2016-11-07,3
2016-11-08,15
2016-11-09,4
2016-11-10,15
2016-11-11,7
2016-11-12,22
2016-11-13,9
2016-11-15,8
2016-11-16,26
2016-11-17,7
2016-11-18,22
2016-11-19,22
2016-11-20,17
2016-11-21,2
2016-11-22,8
2016-11-23,16
2016-11-24,2
2016-11-25,8
2016-11-26,38
2016-11-27,15
2016-11-28,13
2016-11-29,5
2016-11-30,2
2016-12-01,4
2016-12-02,10
2016-12-03,20
2016-12-04,16
2016-12-06,8
2016-12-07,3
2016-12-08,7
2016-12-09,14
2016-12-10,29
2016-12-11,23
2016-12-12,9
2016-12-13,8
2016-12-14,12
2016-12-15,9
2016-12-16,18
2016-12-17,30
2016-12-18,29
2016-12-19,10
2016-12-20,3
2016-12-21,14
2016-12-22,22
2016-12-23,17
2016-12-24,38
2016-12-25,12
2016-12-26,9
2016-12-27,17
2016-12-28,20
2016-12-29,34
2016-12-30,25
2016-12-31,38
2017-01-01,56
2017-01-02,43
2017-01-03,44
2017-01-04,22
2017-01-05,2
2017-01-06,22
2017-01-07,19
2017-01-08,33
2017-01-09,23
2017-01-11,11
2017-01-12,14
2017-01-13,25
2017-01-14,29
2017-01-15,9
2017-01-16,11
2017-01-17,7
2017-01-19,13
2017-01-20,14
2017-01-21,20
2017-01-22,6
2017-01-24,6
2017-01-25,9
2017-01-26,11
2017-01-27,21
2017-01-28,29
2017-01-29,8
2017-01-31,8
2017-02-01,2
2017-02-02,6
2017-02-03,8
2017-02-04,18
2017-02-05,12
2017-02-07,15
2017-02-08,9
2017-02-09,12
2017-02-10,20
2017-02-11,20
2017-02-12,18
2017-02-13,10
2017-02-14,17
2017-02-15,1
2017-02-16,3
2017-02-17,10
2017-02-18,18
2017-02-19,20
2017-02-20,6
2017-02-21,3
2017-02-22,11
