date,visitors
2016-07-01,69
2016-07-02,68
2016-07-03,13
2016-07-04,20
2016-07-05,12
2016-07-06,45
2016-07-07,43
2016-07-08,80
2016-07-09,44
2016-07-10,14
2016-07-11,24
2016-07-12,11
2016-07-13,29
2016-07-14,29
2016-07-15,58
2016-07-16,31
2016-07-17,19
2016-07-19,35
2016-07-20,29
2016-07-21,68
2016-07-22,51
2016-07-23,31
2016-07-24,29
2016-07-25,14
2016-07-26,31
2016-07-27,36
2016-07-28,17
2016-07-29,97
2016-07-30,29
2016-07-31,20
2016-08-01,9
2016-08-02,18
2016-08-03,60
2016-08-04,31
2016-08-05,84
2016-08-06,44
2016-08-07,12
2016-08-08,21
2016-08-09,12
2016-08-10,32
2016-08-11,58
2016-08-12,7
2016-08-13,21
2016-08-14,5
2016-08-15,7
2016-08-16,43
2016-08-17,66
2016-08-18,63
2016-08-19,67
2016-08-20,16
2016-08-21,8
2016-08-22,46
2016-08-23,7
2016-08-24,23
2016-08-25,28
2016-08-26,67
2016-08-27,34
2016-08-28,21
2016-08-29,33
2016-08-30,44
2016-08-31,62
2016-09-01,23
2016-09-02,24
2016-09-03,32
2016-09-04,16
2016-09-06,14
2016-09-07,50
2016-09-08,62
2016-09-09,4
2016-09-12,12
2016-09-13,18
2016-09-14,24
2016-09-15,25
2016-09-16,28
2016-09-17,22
2016-09-18,13
2016-09-21,7
2016-09-22,36
2016-09-23,23
2016-09-24,24
2016-09-25,3
2016-09-26,8
2016-09-27,17
2016-09-28,55
2016-09-29,30
2016-09-30,74
2016-10-01,43
2016-10-02,18
2016-10-03,39
2016-10-04,11
2016-10-05,20
2016-10-06,9
2016-10-07,55
2016-10-08,39
2016-10-09,5
2016-10-10,8
2016-10-11,29
2016-10-12,29
2016-10-13,15
2016-10-14,59
2016-10-15,95
2016-10-16,2
2016-10-17,13
2016-10-18,2
2016-10-19,22
2016-10-20,13
2016-10-21,60
2016-10-22,49
2016-10-23,4
2016-10-24,6
2016-10-25,31
2016-10-26,53
2016-10-27,20
2016-10-28,68
2016-10-29,17
2016-10-30,14
2016-10-31,39
2016-11-01,11
2016-11-02,44
2016-11-03,33
2016-11-04,14
2016-11-05,44
2016-11-06,3
2016-11-07,61
2016-11-08,9
2016-11-09,34
2016-11-10,9
2016-11-11,31
2016-11-12,49
2016-11-13,5
2016-11-14,8
2016-11-15,35
2016-11-16,22
2016-11-17,25
2016-11-18,33
2016-11-19,34
2016-11-20,10
2016-11-21,20
2016-11-22,29
2016-11-23,52
2016-11-24,20
2016-11-25,53
2016-11-26,61
2016-11-27,17
2016-11-28,7
2016-11-29,29
2016-11-30,39
2016-12-01,53
2016-12-02,50
2016-12-03,21
2016-12-04,22
2016-12-05,32
2016-12-06,22
2016-12-07,57
2016-12-08,39
2016-12-09,67
2016-12-10,17
2016-12-11,16
2016-12-12,81
2016-12-13,7
2016-12-14,50
2016-12-15,54
2016-12-16,86
2016-12-17,69
2016-12-18,7
2016-12-19,31
2016-12-20,90
2016-12-21,106
2016-12-22,97
2016-12-23,62
2016-12-24,36
2016-12-25,6
2016-12-26,53
2016-12-27,62
2016-12-28,162
2016-12-29,38
2016-12-30,48
2017-01-04,51
2017-01-05,7
2017-01-06,27
2017-01-07,41
2017-01-08,9
2017-01-09,3
2017-01-10,22
2017-01-11,34
2017-01-12,24
2017-01-13,60
2017-01-14,20
2017-01-15,5
2017-01-16,32
2017-01-17,11
2017-01-18,25
2017-01-19,39
2017-01-20,6
2017-01-21,38
2017-01-22,17
2017-01-23,26
2017-01-24,15
2017-01-25,33
2017-01-26,23
2017-01-27,59
2017-01-28,30
2017-01-29,5
2017-01-30,31
2017-01-31,50
2017-02-01,21
2017-02-02,29
2017-02-03,27
2017-02-04,28
2017-02-05,5
2017-02-06,6
2017-02-07,53
2017-02-08,16
2017-02-09,14
2017-02-10,39
2017-02-11,45
2017-02-12,24
2017-02-13,4
2017-02-14,11
2017-02-15,23
2017-02-16,16
2017-02-17,19
2017-02-18,55
2017-02-19,7
2017-02-21,16
2017-02-22,20
2017-02-23,25
