date,visitors
2016-07-01,22
2016-07-02,46
2016-07-03,32
2016-07-04,11
2016-07-05,14
2016-07-06,16
2016-07-07,28
2016-07-08,30
2016-07-09,39
2016-07-10,32
2016-07-11,9
2016-07-12,6
2016-07-13,10
2016-07-14,8
2016-07-15,23
2016-07-16,45
2016-07-17,33
2016-07-18,31
2016-07-19,7
2016-07-20,20
2016-07-21,29
2016-07-22,28
2016-07-23,31
2016-07-24,44
2016-07-25,17
2016-07-26,4
2016-07-28,8
2016-07-29,23
2016-07-30,52
2016-07-31,30
2016-08-01,19
2016-08-02,10
2016-08-03,13
2016-08-04,18
2016-08-05,24
2016-08-06,23
2016-08-07,52
2016-08-08,23
2016-08-09,8
2016-08-10,19
2016-08-11,33
2016-08-12,25
2016-08-13,21
2016-08-14,29
2016-08-15,1
2016-08-17,6
2016-08-18,28
2016-08-19,31
2016-08-20,7
2016-08-21,22
2016-08-22,11
2016-08-23,11
2016-08-24,8
2016-08-25,22
2016-08-26,25
2016-08-27,33
2016-08-28,32
2016-08-29,7
2016-08-30,13
2016-08-31,11
2016-09-01,17
2016-09-02,17
2016-09-03,23
2016-09-04,21
2016-09-05,24
2016-09-06,2
2016-09-07,14
2016-09-08,18
2016-09-09,23
2016-09-10,34
2016-09-11,28
2016-09-14,24
2016-09-15,16
2016-09-16,19
2016-09-17,28
2016-09-18,21
2016-09-19,25
2016-09-20,2
2016-09-21,11
2016-09-22,24
2016-09-23,13
2016-09-24,35
2016-09-25,30
2016-09-26,13
2016-09-27,4
2016-09-28,15
2016-09-29,20
2016-09-30,25
2016-10-01,24
2016-10-02,36
2016-10-03,12
2016-10-04,9
2016-10-05,7
2016-10-06,25
2016-10-07,39
2016-10-08,25
2016-10-09,22
2016-10-10,29
2016-10-12,6
2016-10-13,14
2016-10-14,31
2016-10-15,27
2016-10-16,23
2016-10-17,9
2016-10-18,10
2016-10-19,11
2016-10-20,17
2016-10-21,20
2016-10-22,25
2016-10-23,19
2016-10-24,12
2016-10-25,2
2016-10-27,9
2016-10-28,22
2016-10-29,19
2016-10-30,38
2016-10-31,8
2016-11-01,5
2016-11-02,27
2016-11-03,15
2016-11-04,20
2016-11-05,27
2016-11-06,28
2016-11-07,12
2016-11-08,5
2016-11-09,11
2016-11-10,16
2016-11-11,26
2016-11-12,26
2016-11-13,31
2016-11-14,10
2016-11-15,10
2016-11-16,10
2016-11-17,25
2016-11-18,23
2016-11-19,26
2016-11-20,25
2016-11-21,5
2016-11-22,31
2016-11-23,11
2016-11-24,9
2016-11-25,21
2016-11-26,32
2016-11-27,30
2016-11-28,10
2016-11-29,13
2016-11-30,5
2016-12-01,18
2016-12-02,32
2016-12-03,29
2016-12-04,15
2016-12-05,10
2016-12-06,3
2016-12-07,6
2016-12-08,7
2016-12-09,27
2016-12-10,23
2016-12-11,32
2016-12-12,10
2016-12-13,8
2016-12-14,5
2016-12-15,16
2016-12-16,20
2016-12-17,25
2016-12-18,28
2016-12-19,16
2016-12-20,9
2016-12-21,5
2016-12-22,29
2016-12-23,35
2016-12-24,28
2016-12-25,17
2016-12-26,14
2016-12-27,22
2016-12-28,29
2016-12-29,11
2017-01-05,8
2017-01-06,23
2017-01-07,19
2017-01-08,21
2017-01-09,19
2017-01-11,14
2017-01-12,13
2017-01-13,24
2017-01-14,26
2017-01-15,18
2017-01-16,6
2017-01-17,7
2017-01-18,13
2017-01-19,12
2017-01-20,19
2017-01-21,21
2017-01-22,20
2017-01-23,2
2017-01-24,6
2017-01-25,9
2017-01-26,23
2017-01-27,16
2017-01-28,29
2017-01-29,27
2017-01-30,14
2017-01-31,4
2017-02-01,13
2017-02-02,20
2017-02-03,11
2017-02-04,17
2017-02-05,24
2017-02-06,10
2017-02-07,4
2017-02-08,9
2017-02-09,15
2017-02-10,11
2017-02-11,31
2017-02-12,18
2017-02-13,7
2017-02-14,4
2017-02-15,19
2017-02-16,13
2017-02-17,27
2017-02-18,30
2017-02-19,32
2017-02-20,7
2017-02-21,6
2017-02-22,7
2017-02-23,20
2017-02-24,24
