date,visitors
2016-07-01,42
2016-07-02,55
2016-07-03,22
2016-07-04,27
2016-07-05,14
2016-07-06,15
2016-07-07,2
2016-07-08,44
2016-07-09,63
2016-07-10,22
2016-07-11,9
2016-07-12,14
2016-07-13,30
2016-07-14,7
2016-07-15,44
2016-07-16,53
2016-07-17,59
2016-07-18,25
2016-07-19,52
2016-07-20,23
2016-07-21,33
2016-07-22,47
2016-07-23,51
2016-07-24,55
2016-07-25,8
2016-07-26,49
2016-07-27,23
2016-07-28,12
2016-07-29,59
2016-07-30,60
2016-07-31,42
2016-08-01,28
2016-08-02,15
2016-08-03,18
2016-08-04,18
2016-08-05,54
2016-08-06,41
2016-08-07,17
2016-08-08,32
2016-08-09,26
2016-08-10,32
2016-08-11,37
2016-08-12,53
2016-08-13,60
2016-08-14,34
2016-08-15,24
2016-08-16,15
2016-08-17,15
2016-08-18,30
2016-08-19,27
2016-08-20,50
2016-08-21,23
2016-08-22,13
2016-08-23,12
2016-08-24,15
2016-08-25,12
2016-08-26,32
2016-08-27,63
2016-08-28,18
2016-08-29,3
2016-08-30,13
2016-08-31,13
2016-09-01,13
2016-09-02,31
2016-09-03,64
2016-09-04,10
2016-09-05,8
2016-09-06,4
2016-09-07,8
2016-09-08,32
2016-09-09,45
2016-09-10,65
2016-09-11,14
2016-09-12,26
2016-09-13,14
2016-09-14,25
2016-09-15,21
2016-09-16,45
2016-09-17,58
2016-09-18,45
2016-09-19,20
2016-09-20,16
2016-09-21,28
2016-09-22,31
2016-09-23,50
2016-09-24,45
2016-09-25,30
2016-09-26,10
2016-09-27,27
2016-09-28,27
2016-09-29,20
2016-09-30,41
2016-10-01,60
2016-10-02,37
2016-10-03,4
2016-10-04,20
2016-10-05,15
2016-10-06,29
2016-10-07,43
2016-10-08,71
2016-10-09,35
2016-10-10,21
2016-10-11,9
2016-10-12,20
2016-10-13,31
2016-10-14,43
2016-10-15,50
2016-10-16,50
2016-10-17,20
2016-10-18,10
2016-10-19,25
2016-10-20,16
2016-10-21,48
2016-10-22,60
2016-10-23,28
2016-10-24,17
2016-10-25,28
2016-10-26,22
2016-10-27,16
2016-10-28,40
2016-10-29,72
2016-10-30,31
2016-10-31,10
2016-11-01,15
2016-11-02,51
2016-11-03,16
2016-11-04,50
2016-11-05,39
2016-11-06,10
2016-11-07,14
2016-11-08,12
2016-11-09,16
2016-11-10,15
2016-11-11,49
2016-11-12,64
2016-11-13,16
2016-11-14,3
2016-11-15,25
2016-11-16,8
2016-11-17,40
2016-11-18,63
2016-11-19,54
2016-11-20,27
2016-11-21,11
2016-11-22,46
2016-11-23,33
2016-11-24,11
2016-11-25,58
2016-11-26,43
2016-11-27,24
2016-11-28,24
2016-11-29,15
2016-11-30,41
2016-12-01,26
2016-12-02,32
2016-12-03,45
2016-12-04,31
2016-12-05,27
2016-12-06,21
2016-12-07,21
2016-12-08,26
2016-12-09,50
2016-12-10,59
2016-12-11,30
2016-12-12,20
2016-12-13,14
2016-12-14,18
2016-12-15,17
2016-12-16,48
2016-12-17,40
2016-12-18,36
2016-12-19,17
2016-12-20,38
2016-12-21,29
2016-12-22,49
2016-12-23,55
2016-12-24,31
2016-12-25,48
2016-12-26,45
2016-12-27,46
2016-12-28,43
2016-12-29,57
2016-12-30,47
2017-01-05,10
2017-01-06,29
2017-01-07,41
2017-01-08,42
2017-01-09,9
2017-01-10,21
2017-01-11,16
2017-01-12,15
2017-01-13,24
2017-01-14,34
2017-01-15,10
2017-01-16,28
2017-01-17,15
2017-01-18,21
2017-01-19,15
2017-01-20,33
2017-01-21,89
2017-01-22,16
2017-01-23,12
2017-01-24,8
2017-01-25,22
2017-01-26,13
2017-01-27,41
2017-01-28,56
2017-01-29,25
2017-01-30,4
2017-01-31,8
2017-02-01,6
2017-02-02,4
2017-02-03,31
2017-02-04,43
2017-02-05,19
2017-02-06,7
2017-02-07,21
2017-02-08,20
2017-02-09,17
2017-02-10,43
2017-02-11,49
2017-02-12,27
2017-02-13,22
2017-02-14,18
2017-02-15,21
2017-02-16,28
2017-02-17,40
2017-02-18,61
2017-02-19,28
2017-02-20,10
2017-02-21,21
2017-02-22,14
