date,visitors
2016-07-01,13
2016-07-02,14
2016-07-03,22
2016-07-04,22
2016-07-05,19
2016-07-06,13
2016-07-07,18
2016-07-08,17
2016-07-09,16
2016-07-10,19
2016-07-11,16
2016-07-12,10
2016-07-13,15
2016-07-14,15
2016-07-15,17
2016-07-16,17
2016-07-17,20
2016-07-18,13
2016-07-19,17
2016-07-20,20
2016-07-21,10
2016-07-22,18
2016-07-23,16
2016-07-24,17
2016-07-25,6
2016-07-26,21
2016-07-27,14
2016-07-28,10
2016-07-29,14
2016-07-30,16
2016-07-31,22
2016-08-01,10
2016-08-02,14
2016-08-03,14
2016-08-04,22
2016-08-05,15
2016-08-06,15
2016-08-07,18
2016-08-08,16
2016-08-09,12
2016-08-10,19
2016-08-11,29
2016-08-12,13
2016-08-13,12
2016-08-14,17
2016-08-15,14
2016-08-16,18
2016-08-17,18
2016-08-18,21
2016-08-19,18
2016-08-20,25
2016-08-21,16
2016-08-22,21
2016-08-23,11
2016-08-24,14
2016-08-25,20
2016-08-26,18
2016-08-27,12
2016-08-28,13
2016-08-29,13
2016-08-30,9
2016-08-31,22
2016-09-01,11
2016-09-02,15
2016-09-03,20
2016-09-04,42
2016-09-05,12
2016-09-06,18
2016-09-07,15
2016-09-08,18
2016-09-09,15
2016-09-10,26
2016-09-11,19
2016-09-12,15
2016-09-13,21
2016-09-14,11
2016-09-15,11
2016-09-16,15
2016-09-17,10
2016-09-18,10
2016-09-19,26
2016-09-20,15
2016-09-21,15
2016-09-22,18
2016-09-23,22
2016-09-24,17
2016-09-25,18
2016-09-26,19
2016-09-27,12
2016-09-28,12
2016-09-29,17
2016-09-30,18
2016-10-01,23
2016-10-02,19
2016-10-03,18
2016-10-04,19
2016-10-05,17
2016-10-06,15
2016-10-07,18
2016-10-08,17
2016-10-09,15
2016-10-10,12
2016-10-11,23
2016-10-12,22
2016-10-13,21
2016-10-14,17
2016-10-15,26
2016-10-16,23
2016-10-17,13
2016-10-18,7
2016-10-19,19
2016-10-20,15
2016-10-21,15
2016-10-22,18
2016-10-23,19
2016-10-24,23
2016-10-25,19
2016-10-26,25
2016-10-27,18
2016-10-28,25
2016-10-29,23
2016-10-30,22
2016-10-31,11
2016-11-01,15
2016-11-02,23
2016-11-03,15
2016-11-04,19
2016-11-05,24
2016-11-06,15
2016-11-07,15
2016-11-08,9
2016-11-09,20
2016-11-10,9
2016-11-11,12
2016-11-12,16
2016-11-13,17
2016-11-14,17
2016-11-15,12
2016-11-16,20
2016-11-17,16
2016-11-18,20
2016-11-19,17
2016-11-20,20
2016-11-21,18
2016-11-22,19
2016-11-23,17
2016-11-24,15
2016-11-25,28
2016-11-26,13
2016-11-27,19
2016-11-28,16
2016-11-29,14
2016-11-30,15
2016-12-01,21
2016-12-02,16
2016-12-03,18
2016-12-04,13
2016-12-05,16
2016-12-06,18
2016-12-07,19
2016-12-08,16
2016-12-09,16
2016-12-10,14
2016-12-11,21
2016-12-12,12
2016-12-13,18
2016-12-14,8
2016-12-15,18
2016-12-16,16
2016-12-17,18
2016-12-18,22
2016-12-19,13
2016-12-20,11
2016-12-21,22
2016-12-22,14
2016-12-23,21
2016-12-24,19
2016-12-25,14
2016-12-26,9
2016-12-27,16
2016-12-28,35
2016-12-29,18
2016-12-30,17
2016-12-31,15
2017-01-04,17
2017-01-05,21
2017-01-06,17
2017-01-07,20
2017-01-08,17
2017-01-09,23
2017-01-10,8
2017-01-11,18
2017-01-12,11
2017-01-13,15
2017-01-14,14
2017-01-15,18
2017-01-16,18
2017-01-17,22
2017-01-18,18
2017-01-19,16
2017-01-20,18
2017-01-21,19
2017-01-22,20
2017-01-23,18
2017-01-24,11
2017-01-25,14
2017-01-26,18
2017-01-27,22
2017-01-28,17
2017-01-29,21
2017-01-30,20
2017-01-31,16
2017-02-01,19
2017-02-02,13
2017-02-03,13
2017-02-04,21
2017-02-05,16
2017-02-06,21
2017-02-07,19
2017-02-08,14
2017-02-09,15
2017-02-10,15
2017-02-11,23
2017-02-12,22
2017-02-13,18
2017-02-14,13
2017-02-15,21
2017-02-16,30
2017-02-17,19
2017-02-18,16
2017-02-19,19
2017-02-20,25
2017-02-21,21
2017-02-22,26
