date,visitors
2016-02-25,2
2016-02-26,13
2016-02-27,6
2016-02-28,30
2016-02-29,11
2016-03-01,17
2016-03-02,7
2016-03-03,14
2016-03-04,10
2016-03-05,17
2016-03-06,25
2016-03-07,10
2016-03-08,11
2016-03-09,13
2016-03-10,11
2016-03-11,22
2016-03-12,16
2016-03-13,14
2016-03-14,11
2016-03-15,9
2016-03-16,19
2016-03-17,12
2016-03-18,8
2016-03-19,19
2016-03-20,8
2016-03-21,20
2016-03-22,17
2016-03-23,14
2016-03-24,15
2016-03-25,11
2016-03-26,14
2016-03-27,20
2016-03-28,4
2016-03-29,14
2016-03-30,12
2016-03-31,9
2016-04-01,17
2016-04-02,10
2016-04-03,1
2016-04-04,4
2016-04-05,6
2016-04-06,11
2016-04-07,43
2016-04-08,7
2016-04-09,21
2016-04-10,30
2016-04-12,6
2016-04-13,4
2016-04-14,4
2016-04-15,16
2016-04-16,25
2016-04-17,12
2016-04-18,9
2016-04-19,4
2016-04-20,5
2016-04-21,9
2016-04-22,15
2016-04-23,15
2016-04-24,19
2016-04-25,9
2016-04-26,14
2016-04-27,5
2016-04-28,4
2016-04-29,21
2016-04-30,6
2016-05-01,3
2016-05-02,14
2016-05-03,10
2016-05-04,21
2016-05-05,17
2016-05-06,10
2016-05-07,11
2016-05-08,25
2016-05-09,5
2016-05-10,5
2016-05-11,14
2016-05-12,11
2016-05-13,12
2016-05-14,7
2016-05-15,9
2016-05-16,8
2016-05-17,7
2016-05-18,15
2016-05-19,4
2016-05-20,10
2016-05-21,13
2016-05-22,13
2016-05-23,5
2016-05-24,4
2016-05-25,9
2016-05-26,9
2016-05-27,8
2016-05-28,9
2016-05-29,11
2016-05-30,10
2016-05-31,4
2016-06-01,11
2016-06-02,6
2016-06-03,13
2016-06-04,8
2016-06-05,5
2016-06-06,9
2016-06-07,13
2016-06-08,11
2016-06-09,7
2016-06-10,5
2016-06-11,11
2016-06-12,6
2016-06-13,6
2016-06-14,6
2016-06-15,5
2016-06-16,12
2016-06-17,7
2016-06-18,7
2016-06-19,12
2016-06-20,10
2016-06-21,10
2016-06-22,7
2016-06-23,8
2016-06-24,8
2016-06-25,4
2016-06-26,13
2016-06-27,6
2016-06-28,10
2016-06-29,7
2016-06-30,13
2016-07-01,12
2016-07-02,14
2016-07-03,17
2016-07-04,7
2016-07-05,12
2016-07-06,10
2016-07-07,6
2016-07-08,8
2016-07-09,16
2016-07-10,7
2016-07-11,9
2016-07-12,8
2016-07-13,10
2016-07-14,9
2016-07-15,14
2016-07-16,16
2016-07-17,17
2016-07-18,10
2016-07-19,4
2016-07-20,13
2016-07-21,9
2016-07-22,3
2016-07-23,9
2016-07-24,7
2016-07-25,4
2016-07-26,9
2016-07-27,15
2016-07-28,14
2016-07-29,4
2016-07-30,7
2016-07-31,7
2016-08-01,9
2016-08-02,9
2016-08-03,5
2016-08-04,9
2016-08-05,7
2016-08-06,11
2016-08-07,13
2016-08-08,5
2016-08-09,5
2016-08-10,10
2016-08-11,10
2016-08-12,9
2016-08-13,11
2016-08-14,13
2016-08-15,14
2016-08-16,8
2016-08-17,5
2016-08-18,8
2016-08-19,5
2016-08-20,11
2016-08-21,10
2016-08-22,8
2016-08-23,6
2016-08-24,5
2016-08-26,11
2016-08-27,17
2016-08-28,10
2016-08-29,8
2016-08-30,10
2016-08-31,8
2016-09-01,9
2016-09-02,15
2016-09-03,25
2016-09-04,11
2016-09-05,16
2016-09-06,12
2016-09-07,6
2016-09-08,8
2016-09-09,10
2016-09-10,20
2016-09-11,11
2016-09-12,5
2016-09-13,4
2016-09-14,8
2016-09-15,10
2016-09-16,7
2016-09-17,10
2016-09-18,11
2016-09-19,8
2016-09-20,6
2016-09-21,4
2016-09-22,8
2016-09-23,10
2016-09-24,20
2016-09-25,12
2016-09-26,10
2016-09-27,4
2016-09-28,6
2016-09-29,11
2016-09-30,11
2016-10-01,10
2016-10-02,16
2016-10-03,5
2016-10-04,5
2016-10-05,17
2016-10-06,7
2016-10-07,10
2016-10-08,12
2016-10-09,15
2016-10-10,21
2016-10-11,6
2016-10-12,9
2016-10-13,6
2016-10-14,10
2016-10-15,17
2016-10-16,15
2016-10-17,12
2016-10-18,11
2016-10-19,9
2016-10-20,15
2016-10-21,19
2016-10-22,14
2016-10-23,27
2016-10-25,4
2016-10-26,22
2016-10-27,10
2016-10-28,11
2016-10-29,4
2016-10-30,11
2016-10-31,10
2016-11-01,17
2016-11-02,22
2016-11-03,7
2016-11-04,16
2016-11-05,11
2016-11-06,10
2016-11-07,4
2016-11-08,9
2016-11-09,17
2016-11-10,5
2016-11-12,13
2016-11-13,17
2016-11-14,10
2016-11-15,10
2016-11-16,9
2016-11-17,12
2016-11-18,20
2016-11-19,21
2016-11-20,24
2016-11-21,12
2016-11-22,6
2016-11-23,18
2016-11-24,9
2016-11-25,8
2016-11-26,11
2016-11-27,15
2016-11-28,9
2016-11-29,10
2016-11-30,2
2016-12-01,9
2016-12-02,6
2016-12-03,14
2016-12-04,13
2016-12-05,13
2016-12-06,12
2016-12-07,11
2016-12-08,10
2016-12-09,6
2016-12-10,18
2016-12-11,7
2016-12-12,10
2016-12-13,7
2016-12-14,11
2016-12-15,12
2016-12-16,7
2016-12-17,19
2016-12-18,9
2016-12-19,4
2016-12-20,14
2016-12-21,8
2016-12-22,16
2016-12-23,10
2016-12-24,5
2016-12-25,7
2016-12-26,8
2016-12-27,5
2016-12-28,12
2016-12-29,9
2016-12-30,20
2016-12-31,9
2017-01-01,7
2017-01-02,11
2017-01-03,7
2017-01-04,8
2017-01-05,9
2017-01-06,10
2017-01-07,7
2017-01-08,5
2017-01-09,7
2017-01-10,5
2017-01-11,11
2017-01-12,5
2017-01-13,6
2017-01-14,6
2017-01-15,5
2017-01-16,13
2017-01-17,5
2017-01-18,6
2017-01-19,5
2017-01-20,8
2017-01-21,8
2017-01-22,16
2017-01-23,4
2017-01-24,7
2017-01-25,8
2017-01-26,8
2017-01-27,10
