date,visitors
2016-07-01,7
2016-07-02,10
2016-07-04,9
2016-07-05,9
2016-07-06,6
2016-07-07,6
2016-07-08,16
2016-07-09,10
2016-07-10,1
2016-07-11,9
2016-07-12,4
2016-07-13,11
2016-07-14,7
2016-07-15,12
2016-07-16,20
2016-07-17,14
2016-07-18,18
2016-07-19,4
2016-07-20,14
2016-07-21,9
2016-07-22,8
2016-07-23,9
2016-07-24,1
2016-07-25,7
2016-07-26,16
2016-07-27,11
2016-07-28,11
2016-07-29,13
2016-07-30,13
2016-07-31,2
2016-08-01,15
2016-08-02,6
2016-08-03,10
2016-08-04,13
2016-08-05,14
2016-08-06,6
2016-08-08,8
2016-08-09,4
2016-08-10,18
2016-08-11,8
2016-08-12,13
2016-08-18,12
2016-08-19,11
2016-08-20,5
2016-08-22,3
2016-08-23,5
2016-08-24,5
2016-08-25,2
2016-08-26,13
2016-08-27,21
2016-08-29,16
2016-08-30,6
2016-08-31,13
2016-09-01,11
2016-09-02,8
2016-09-03,11
2016-09-04,3
2016-09-05,2
2016-09-06,9
2016-09-07,8
2016-09-08,5
2016-09-09,14
2016-09-10,25
2016-09-11,12
2016-09-12,4
2016-09-13,6
2016-09-14,4
2016-09-15,1
2016-09-16,19
2016-09-17,5
2016-09-19,6
2016-09-20,13
2016-09-21,9
2016-09-22,3
2016-09-23,11
2016-09-24,18
2016-09-27,3
2016-09-28,14
2016-09-29,9
2016-09-30,13
2016-10-01,6
2016-10-03,2
2016-10-04,11
2016-10-05,4
2016-10-06,2
2016-10-07,16
2016-10-08,11
2016-10-09,2
2016-10-10,2
2016-10-11,9
2016-10-12,18
2016-10-13,1
2016-10-14,8
2016-10-15,31
2016-10-16,2
2016-10-17,3
2016-10-18,2
2016-10-19,12
2016-10-20,11
2016-10-21,14
2016-10-23,1
2016-10-24,6
2016-10-25,4
2016-10-26,5
2016-10-27,12
2016-10-28,12
2016-10-29,17
2016-10-31,8
2016-11-01,5
2016-11-02,8
2016-11-03,2
2016-11-04,14
2016-11-05,14
2016-11-07,2
2016-11-08,4
2016-11-09,3
2016-11-10,22
2016-11-11,13
2016-11-12,21
2016-11-14,5
2016-11-15,10
2016-11-16,9
2016-11-17,9
2016-11-18,11
2016-11-19,14
2016-11-21,16
2016-11-22,19
2016-11-23,14
2016-11-24,14
2016-11-25,9
2016-11-26,10
2016-11-27,8
2016-11-28,8
2016-11-29,18
2016-11-30,11
2016-12-01,14
2016-12-02,17
2016-12-03,20
2016-12-05,7
2016-12-06,13
2016-12-07,15
2016-12-08,10
2016-12-09,12
2016-12-10,23
2016-12-11,7
2016-12-12,4
2016-12-13,6
2016-12-14,12
2016-12-15,11
2016-12-16,15
2016-12-17,21
2016-12-18,15
2016-12-19,7
2016-12-20,2
2016-12-21,11
2016-12-22,17
2016-12-23,16
2016-12-24,23
2016-12-25,19
2016-12-26,4
2016-12-27,15
2016-12-28,12
2016-12-29,10
2016-12-30,20
2016-12-31,22
2017-01-07,4
2017-01-10,10
2017-01-11,7
2017-01-12,5
2017-01-13,8
2017-01-14,7
2017-01-16,9
2017-01-18,7
2017-01-19,10
2017-01-20,10
2017-01-21,7
2017-01-23,3
2017-01-24,11
2017-01-25,5
2017-01-26,8
2017-01-27,6
2017-01-28,14
2017-01-29,2
2017-01-30,9
2017-01-31,15
2017-02-01,5
2017-02-02,8
2017-02-03,12
2017-02-04,4
2017-02-06,9
2017-02-07,3
2017-02-08,3
2017-02-09,5
2017-02-10,12
2017-02-11,15
2017-02-13,5
2017-02-14,7
2017-02-15,6
2017-02-16,5
2017-02-17,5
2017-02-18,7
2017-02-19,2
2017-02-20,2
2017-02-21,14
2017-02-22,14
2017-02-23,3
2017-02-24,15
2017-02-25,6
