date,visitors
2016-07-01,87
2016-07-02,28
2016-07-04,17
2016-07-05,62
2016-07-06,79
2016-07-07,74
2016-07-08,79
2016-07-09,37
2016-07-11,42
2016-07-12,75
2016-07-13,25
2016-07-14,25
2016-07-15,42
2016-07-16,34
2016-07-19,24
2016-07-20,67
2016-07-21,21
2016-07-22,56
2016-07-23,30
2016-07-25,16
2016-07-26,24
2016-07-27,37
2016-07-28,48
2016-07-29,59
2016-07-30,28
2016-07-31,12
2016-08-01,18
2016-08-02,18
2016-08-03,30
2016-08-04,28
2016-08-05,34
2016-08-06,28
2016-08-07,2
2016-08-08,30
2016-08-09,36
2016-08-10,49
2016-08-11,1
2016-08-12,32
2016-08-13,27
2016-08-15,40
2016-08-16,52
2016-08-17,23
2016-08-18,20
2016-08-19,41
2016-08-20,25
2016-08-22,16
2016-08-23,25
2016-08-24,29
2016-08-25,22
2016-08-26,32
2016-08-27,36
2016-08-29,7
2016-08-30,20
2016-08-31,37
2016-09-01,31
2016-09-02,42
2016-09-03,20
2016-09-05,21
2016-09-06,20
2016-09-07,20
2016-09-08,25
2016-09-09,67
2016-09-10,34
2016-09-11,3
2016-09-12,14
2016-09-13,39
2016-09-14,26
2016-09-15,19
2016-09-16,42
2016-09-17,19
2016-09-20,15
2016-09-21,34
2016-09-23,26
2016-09-24,17
2016-09-26,11
2016-09-27,27
2016-09-28,38
2016-09-29,23
2016-09-30,50
2016-10-01,29
2016-10-02,5
2016-10-03,19
2016-10-04,9
2016-10-05,20
2016-10-06,16
2016-10-07,43
2016-10-08,29
2016-10-11,12
2016-10-12,20
2016-10-13,20
2016-10-14,42
2016-10-15,36
2016-10-17,16
2016-10-18,19
2016-10-19,20
2016-10-20,29
2016-10-21,46
2016-10-22,41
2016-10-24,13
2016-10-25,21
2016-10-26,35
2016-10-27,41
2016-10-28,30
2016-10-29,32
2016-10-31,14
2016-11-01,19
2016-11-02,52
2016-11-03,2
2016-11-04,32
2016-11-05,20
2016-11-07,24
2016-11-08,29
2016-11-09,22
2016-11-10,19
2016-11-11,37
2016-11-12,24
2016-11-14,6
2016-11-15,21
2016-11-16,33
2016-11-17,31
2016-11-18,38
2016-11-19,33
2016-11-21,12
2016-11-22,41
2016-11-24,30
2016-11-25,38
2016-11-26,21
2016-11-28,24
2016-11-29,17
2016-11-30,34
2016-12-01,38
2016-12-02,51
2016-12-03,40
2016-12-05,8
2016-12-06,8
2016-12-07,21
2016-12-08,33
2016-12-09,48
2016-12-10,28
2016-12-12,12
2016-12-13,28
2016-12-14,29
2016-12-15,46
2016-12-16,52
2016-12-17,39
2016-12-19,21
2016-12-20,41
2016-12-21,63
2016-12-22,68
2016-12-23,3
2016-12-24,13
2016-12-26,35
2016-12-27,48
2016-12-28,32
2017-01-05,17
2017-01-06,32
2017-01-07,20
2017-01-10,17
2017-01-11,22
2017-01-12,19
2017-01-13,42
2017-01-16,15
2017-01-17,23
2017-01-18,25
2017-01-19,28
2017-01-20,31
2017-01-21,22
2017-01-23,14
2017-01-24,10
2017-01-25,30
2017-01-26,29
2017-01-27,54
2017-01-28,26
2017-01-29,15
2017-01-30,29
2017-01-31,17
2017-02-01,44
2017-02-02,19
2017-02-03,38
2017-02-04,29
2017-02-05,2
2017-02-06,12
2017-02-07,21
2017-02-08,22
2017-02-09,19
2017-02-10,34
2017-02-13,18
2017-02-14,13
2017-02-15,23
2017-02-16,18
2017-02-17,33
2017-02-18,28
2017-02-20,14
2017-02-21,33
2017-02-22,22
2017-02-23,17
