date,visitors
2016-01-02,22
2016-01-03,32
2016-01-06,10
2016-01-07,10
2016-01-08,5
2016-01-09,20
2016-01-10,27
2016-01-11,28
2016-01-12,5
2016-01-13,12
2016-01-14,14
2016-01-15,19
2016-01-16,31
2016-01-17,21
2016-01-19,3
2016-01-20,5
2016-01-21,20
2016-01-22,10
2016-01-23,20
2016-01-24,30
2016-01-27,18
2016-01-28,18
2016-01-29,10
2016-01-30,6
2016-01-31,3
2016-02-02,1
2016-02-03,14
2016-02-04,31
2016-02-05,17
2016-02-06,28
2016-02-07,31
2016-02-10,27
2016-02-11,29
2016-02-12,28
2016-02-13,37
2016-02-14,33
2016-02-17,14
2016-02-18,20
2016-02-19,20
2016-02-20,18
2016-02-21,25
2016-02-24,10
2016-02-25,22
2016-02-26,8
2016-02-27,29
2016-02-28,21
2016-03-02,17
2016-03-03,39
2016-03-04,15
2016-03-05,24
2016-03-06,31
2016-03-10,1
2016-03-12,6
2016-03-13,11
2016-03-16,14
2016-03-17,23
2016-03-18,22
2016-03-19,31
2016-03-20,31
2016-03-21,27
2016-03-23,16
2016-03-24,25
2016-03-25,32
2016-03-26,38
2016-03-27,30
2016-03-30,17
2016-03-31,28
2016-04-01,22
2016-04-02,25
2016-04-03,28
2016-04-07,18
2016-04-09,30
2016-04-10,35
2016-04-14,22
2016-04-16,41
2016-04-17,34
2016-04-18,1
2016-04-19,1
2016-04-20,2
2016-04-21,25
2016-04-22,2
2016-04-23,33
2016-04-24,33
2016-04-27,14
2016-04-28,16
2016-04-29,39
2016-04-30,43
2016-05-01,48
2016-05-02,1
2016-05-03,44
2016-05-04,43
2016-05-05,47
2016-05-10,1
2016-05-11,1
2016-05-14,1
2016-05-17,1
2016-05-18,14
2016-05-19,38
2016-05-20,28
2016-05-21,41
2016-05-22,38
2016-05-25,24
2016-05-26,50
2016-05-27,21
2016-05-28,44
2016-05-29,49
2016-06-01,31
2016-06-02,45
2016-06-03,2
2016-06-08,2
2016-06-09,29
2016-06-10,37
2016-06-11,48
2016-06-12,43
2016-06-13,1
2016-06-15,22
2016-06-16,36
2016-06-17,40
2016-06-18,46
2016-06-19,43
2016-06-20,1
2016-06-21,1
2016-06-22,26
2016-06-23,47
2016-06-24,37
2016-06-25,52
2016-06-26,47
2016-06-29,32
2016-06-30,56
2016-07-01,40
2016-07-02,42
2016-07-03,49
2016-07-05,38
2016-07-06,49
2016-07-07,53
2016-07-08,50
2016-07-09,42
2016-07-10,40
2016-07-12,50
2016-07-13,36
2016-07-14,39
2016-07-15,46
2016-07-16,43
2016-07-17,45
2016-07-18,45
2016-07-20,46
2016-07-21,50
2016-07-22,51
2016-07-23,49
2016-07-24,39
2016-07-25,1
2016-07-26,42
2016-07-27,40
2016-07-28,47
2016-07-29,38
2016-07-30,49
2016-07-31,52
2016-08-02,50
2016-08-03,50
2016-08-04,59
2016-08-05,46
2016-08-06,48
2016-08-07,51
2016-08-08,1
2016-08-09,42
2016-08-10,49
2016-08-11,52
2016-08-12,41
2016-08-13,49
2016-08-14,40
2016-08-15,46
2016-08-16,47
2016-08-21,49
2016-08-22,39
2016-08-23,44
2016-08-24,45
2016-08-25,53
2016-08-26,52
2016-08-27,44
2016-08-28,46
2016-08-30,40
2016-08-31,40
2016-09-01,51
2016-09-02,44
2016-09-03,43
2016-09-04,42
2016-09-06,46
2016-09-07,43
2016-09-08,54
2016-09-09,39
2016-09-11,41
2016-09-12,37
2016-09-13,42
2016-09-14,48
2016-09-19,1
2016-09-20,37
2016-09-21,39
2016-09-22,53
2016-09-23,31
2016-09-24,46
2016-09-25,42
2016-09-27,41
2016-09-28,42
2016-09-30,40
2016-10-02,41
2016-10-05,31
2016-10-06,40
2016-10-07,22
2016-10-08,33
2016-10-09,36
2016-10-10,31
2016-10-13,35
2016-10-14,21
2016-10-15,42
2016-10-16,40
2016-10-19,20
2016-10-20,32
2016-10-21,33
2016-10-22,34
2016-10-23,34
2016-10-26,21
2016-10-27,22
2016-10-28,9
2016-10-29,23
2016-10-30,20
2016-10-31,14
2016-11-06,1
2016-11-09,9
2016-11-10,24
2016-11-11,18
2016-11-12,37
2016-11-13,20
2016-11-16,9
2016-11-17,21
2016-11-18,16
2016-11-19,17
2016-11-20,39
2016-11-23,16
2016-11-24,6
2016-11-25,1
2016-11-26,24
2016-11-27,26
2016-11-30,16
2016-12-01,14
2016-12-02,12
2016-12-03,36
2016-12-04,23
2016-12-07,16
2016-12-08,21
2016-12-09,14
2016-12-10,37
2016-12-11,29
2016-12-13,10
2016-12-14,7
2016-12-15,16
2016-12-16,11
2016-12-17,23
2016-12-18,39
2016-12-19,18
2016-12-21,1
2016-12-22,37
2016-12-23,37
2016-12-24,28
2016-12-25,26
2016-12-26,2
2016-12-27,21
2016-12-28,33
2016-12-29,32
2016-12-30,37
2017-01-02,26
2017-01-03,32
2017-01-04,24
2017-01-05,1
