date,visitors
2016-07-01,53
2016-07-02,46
2016-07-04,38
2016-07-05,58
2016-07-06,49
2016-07-07,46
2016-07-08,58
2016-07-09,48
2016-07-11,34
2016-07-12,31
2016-07-13,44
2016-07-14,56
2016-07-15,57
2016-07-16,43
2016-07-19,59
2016-07-20,47
2016-07-21,35
2016-07-22,49
2016-07-23,54
2016-07-25,20
2016-07-26,44
2016-07-27,54
2016-07-28,44
2016-07-29,57
2016-07-30,64
2016-08-01,43
2016-08-02,27
2016-08-03,57
2016-08-04,55
2016-08-05,40
2016-08-06,55
2016-08-08,37
2016-08-09,37
2016-08-10,44
2016-08-11,39
2016-08-12,36
2016-08-13,38
2016-08-18,59
2016-08-19,55
2016-08-20,52
2016-08-22,62
2016-08-23,41
2016-08-24,56
2016-08-25,33
2016-08-26,61
2016-08-27,49
2016-08-29,49
2016-08-30,59
2016-08-31,50
2016-09-01,53
2016-09-02,56
2016-09-03,66
2016-09-05,42
2016-09-06,33
2016-09-07,35
2016-09-08,58
2016-09-09,72
2016-09-10,69
2016-09-12,48
2016-09-13,47
2016-09-14,50
2016-09-15,44
2016-09-16,62
2016-09-17,48
2016-09-21,25
2016-09-22,44
2016-09-23,32
2016-09-24,42
2016-09-26,40
2016-09-27,53
2016-09-28,50
2016-09-29,53
2016-09-30,64
2016-10-01,68
2016-10-03,20
2016-10-04,38
2016-10-05,25
2016-10-06,50
2016-10-07,61
2016-10-08,47
2016-10-10,55
2016-10-11,36
2016-10-12,54
2016-10-13,47
2016-10-14,51
2016-10-15,70
2016-10-18,41
2016-10-19,62
2016-10-20,50
2016-10-21,65
2016-10-22,45
2016-10-24,43
2016-10-25,39
2016-10-26,55
2016-10-27,35
2016-10-28,61
2016-10-29,72
2016-10-31,37
2016-11-01,24
2016-11-02,45
2016-11-03,42
2016-11-04,45
2016-11-05,47
2016-11-07,32
2016-11-08,39
2016-11-09,26
2016-11-10,43
2016-11-11,59
2016-11-12,67
2016-11-14,35
2016-11-15,35
2016-11-16,42
2016-11-17,32
2016-11-18,58
2016-11-19,41
2016-11-22,64
2016-11-23,53
2016-11-24,12
2016-11-25,48
2016-11-26,37
2016-11-28,40
2016-11-29,39
2016-11-30,22
2016-12-01,37
2016-12-02,60
2016-12-03,54
2016-12-05,44
2016-12-06,43
2016-12-07,29
2016-12-08,49
2016-12-09,77
2016-12-10,58
2016-12-12,42
2016-12-13,32
2016-12-14,63
2016-12-15,38
2016-12-16,59
2016-12-17,62
2016-12-19,29
2016-12-20,65
2016-12-21,74
2016-12-22,37
2016-12-23,27
2016-12-24,44
2016-12-26,101
2016-12-27,57
2016-12-31,11
2017-01-06,45
2017-01-07,66
2017-01-09,15
2017-01-10,4
2017-01-11,19
2017-01-12,37
2017-01-13,54
2017-01-14,39
2017-01-16,16
2017-01-17,19
2017-01-18,32
2017-01-19,39
2017-01-20,63
2017-01-21,55
2017-01-23,15
2017-01-24,18
2017-01-25,10
2017-01-26,57
2017-01-27,69
2017-01-28,59
2017-01-30,14
2017-01-31,14
2017-02-01,6
2017-02-02,43
2017-02-03,53
2017-02-04,58
2017-02-06,12
2017-02-07,18
2017-02-08,26
2017-02-09,47
2017-02-10,79
2017-02-11,80
2017-02-13,29
2017-02-14,22
2017-02-15,25
2017-02-16,43
2017-02-17,72
2017-02-18,44
2017-02-21,29
2017-02-22,25
2017-02-23,67
