date,visitors
2016-01-02,39
2016-01-04,31
2016-01-05,35
2016-01-06,33
2016-01-07,41
2016-01-08,55
2016-01-09,49
2016-01-10,50
2016-01-11,19
2016-01-12,17
2016-01-13,53
2016-01-14,44
2016-01-15,55
2016-01-16,45
2016-01-17,33
2016-01-18,24
2016-01-19,22
2016-01-20,32
2016-01-21,48
2016-01-22,56
2016-01-23,46
2016-01-24,18
2016-01-25,12
2016-01-26,51
2016-01-27,24
2016-01-28,16
2016-01-29,72
2016-01-30,46
2016-01-31,7
2016-02-01,37
2016-02-02,45
2016-02-03,14
2016-02-04,6
2016-02-05,43
2016-02-06,54
2016-02-08,34
2016-02-09,16
2016-02-10,55
2016-02-11,29
2016-02-12,43
2016-02-13,27
2016-02-15,23
2016-02-16,28
2016-02-17,34
2016-02-18,56
2016-02-19,50
2016-02-20,42
2016-02-22,19
2016-02-23,35
2016-02-24,45
2016-02-25,33
2016-02-26,48
2016-02-27,46
2016-02-28,21
2016-02-29,29
2016-03-01,55
2016-03-02,44
2016-03-03,24
2016-03-04,53
2016-03-05,30
2016-03-06,7
2016-03-07,23
2016-03-08,42
2016-03-09,31
2016-03-10,44
2016-03-11,44
2016-03-12,62
2016-03-13,27
2016-03-14,41
2016-03-15,23
2016-03-16,26
2016-03-17,24
2016-03-18,60
2016-03-19,50
2016-03-20,34
2016-03-21,23
2016-03-22,55
2016-03-23,61
2016-03-24,43
2016-03-25,65
2016-03-26,49
2016-03-27,49
2016-03-28,44
2016-03-29,43
2016-03-30,41
2016-03-31,44
2016-04-01,53
2016-04-02,28
2016-04-03,15
2016-04-04,6
2016-04-05,20
2016-04-06,65
2016-04-07,45
2016-04-08,43
2016-04-09,39
2016-04-10,18
2016-04-11,35
2016-04-12,9
2016-04-13,35
2016-04-14,33
2016-04-15,41
2016-04-16,46
2016-04-17,30
2016-04-18,44
2016-04-19,41
2016-04-20,27
2016-04-21,36
2016-04-22,47
2016-04-23,57
2016-04-24,14
2016-04-25,17
2016-04-26,45
2016-04-27,45
2016-04-28,31
2016-04-29,27
2016-04-30,45
2016-05-01,14
2016-05-02,25
2016-05-03,21
2016-05-04,34
2016-05-05,22
2016-05-06,44
2016-05-07,31
2016-05-08,25
2016-05-09,28
2016-05-10,11
2016-05-11,26
2016-05-12,25
2016-05-13,44
2016-05-14,65
2016-05-15,14
2016-05-16,39
2016-05-17,30
2016-05-18,36
2016-05-19,37
2016-05-20,45
2016-05-21,47
2016-05-22,11
2016-05-23,26
2016-05-24,25
2016-05-25,43
2016-05-26,10
2016-05-27,53
2016-05-28,50
2016-05-29,23
2016-05-30,39
2016-05-31,25
2016-06-01,41
2016-06-02,18
2016-06-03,58
2016-06-04,47
2016-06-05,12
2016-06-06,18
2016-06-07,37
2016-06-08,36
2016-06-09,38
2016-06-10,47
2016-06-11,28
2016-06-12,9
2016-06-13,30
2016-06-14,36
2016-06-15,22
2016-06-16,55
2016-06-17,50
2016-06-18,38
2016-06-19,5
2016-06-20,35
2016-06-21,45
2016-06-22,57
2016-06-23,39
2016-06-24,47
2016-06-25,38
2016-06-26,10
2016-06-27,13
2016-06-28,29
2016-06-29,38
2016-06-30,36
2016-07-01,52
2016-07-02,47
2016-07-03,9
2016-07-04,42
2016-07-05,36
2016-07-06,44
2016-07-07,4
2016-07-08,47
2016-07-09,52
2016-07-10,11
2016-07-11,31
2016-07-12,43
2016-07-13,42
2016-07-14,33
2016-07-15,66
2016-07-16,42
2016-07-17,33
2016-07-18,16
2016-07-19,24
2016-07-20,46
2016-07-21,37
2016-07-22,41
2016-07-23,30
2016-07-24,7
2016-07-25,32
2016-07-26,9
2016-07-27,66
2016-07-28,41
2016-07-29,40
2016-07-30,52
2016-07-31,13
2016-08-01,43
2016-08-02,66
2016-08-03,29
2016-08-04,22
2016-08-05,24
2016-08-06,29
2016-08-07,16
2016-08-08,35
2016-08-09,19
2016-08-10,42
2016-08-11,21
2016-08-12,20
2016-08-13,26
2016-08-14,36
2016-08-15,11
2016-08-17,21
2016-08-18,18
