date,visitors
2016-01-06,12
2016-01-07,9
2016-01-08,8
2016-01-09,7
2016-01-10,12
2016-01-11,4
2016-01-14,4
2016-01-15,16
2016-01-16,7
2016-01-17,5
2016-01-18,7
2016-01-19,8
2016-01-20,15
2016-01-21,11
2016-01-22,6
2016-01-23,13
2016-01-25,11
2016-01-26,10
2016-01-27,9
2016-01-28,9
2016-01-29,13
2016-01-30,8
2016-02-01,9
2016-02-03,2
2016-02-04,13
2016-02-05,6
2016-02-06,13
2016-02-07,5
2016-02-08,4
2016-02-10,11
2016-02-11,10
2016-02-12,11
2016-02-13,14
2016-02-14,11
2016-02-16,11
2016-02-17,9
2016-02-18,8
2016-02-20,22
2016-02-21,9
2016-02-22,11
2016-02-24,6
2016-02-25,2
2016-02-26,11
2016-02-27,9
2016-02-28,4
2016-02-29,8
2016-03-02,10
2016-03-03,2
2016-03-04,14
2016-03-05,12
2016-03-06,15
2016-03-07,8
2016-03-09,15
2016-03-10,4
2016-03-11,14
2016-03-12,6
2016-03-13,6
2016-03-14,13
2016-03-16,15
2016-03-17,7
2016-03-18,12
2016-03-19,16
2016-03-20,14
2016-03-21,3
2016-03-23,11
2016-03-24,6
2016-03-25,16
2016-03-26,12
2016-03-27,15
2016-03-28,10
2016-03-30,12
2016-03-31,12
2016-04-01,4
2016-04-02,13
2016-04-03,8
2016-04-04,12
2016-04-06,4
2016-04-07,10
2016-04-08,10
2016-04-09,9
2016-04-10,5
2016-04-11,6
2016-04-14,11
2016-04-15,10
2016-04-16,4
2016-04-17,10
2016-04-18,8
2016-04-20,10
2016-04-21,4
2016-04-22,6
2016-04-23,17
2016-04-24,14
2016-04-25,10
2016-04-29,22
2016-04-30,11
2016-05-01,12
2016-05-02,6
2016-05-03,2
2016-05-04,7
2016-05-05,14
2016-05-06,9
2016-05-07,15
2016-05-11,11
2016-05-12,10
2016-05-13,8
2016-05-14,12
2016-05-15,6
2016-05-18,15
2016-05-19,13
2016-05-20,17
2016-05-21,2
2016-05-22,9
2016-05-25,12
2016-05-26,9
2016-05-27,10
2016-05-28,12
2016-05-29,10
2016-05-30,7
2016-06-01,10
2016-06-02,7
2016-06-03,12
2016-06-04,15
2016-06-05,8
2016-06-06,5
2016-06-08,11
2016-06-09,16
2016-06-10,10
2016-06-11,9
2016-06-12,4
2016-06-13,9
2016-06-15,8
2016-06-16,9
2016-06-17,7
2016-06-18,8
2016-06-20,14
2016-06-22,12
2016-06-23,2
2016-06-24,13
2016-06-25,8
2016-06-26,10
2016-06-28,12
2016-06-29,3
2016-06-30,12
2016-07-01,14
2016-07-02,12
2016-07-03,12
2016-07-06,7
2016-07-07,8
2016-07-08,15
2016-07-09,11
2016-07-10,6
2016-07-15,8
2016-07-16,13
2016-07-17,10
2016-07-18,6
2016-07-20,13
2016-07-21,12
2016-07-22,9
2016-07-23,6
2016-07-24,11
2016-07-25,5
2016-07-27,13
2016-07-28,7
2016-07-29,13
2016-07-30,10
2016-07-31,9
2016-08-01,7
2016-08-03,8
2016-08-04,12
2016-08-06,7
2016-08-07,5
2016-08-08,10
2016-08-10,9
2016-08-11,5
2016-08-12,9
2016-08-13,8
2016-08-18,11
2016-08-19,11
2016-08-20,8
2016-08-22,8
2016-08-25,2
2016-08-26,22
2016-08-27,7
2016-08-28,9
2016-08-29,4
2016-08-30,7
2016-08-31,9
2016-09-01,6
2016-09-02,11
2016-09-03,13
2016-09-04,3
2016-09-05,14
2016-09-07,5
2016-09-09,7
2016-09-10,6
2016-09-11,9
2016-09-12,6
2016-09-14,8
2016-09-15,14
2016-09-16,13
2016-09-17,13
2016-09-18,8
2016-09-21,9
2016-09-22,6
2016-09-23,10
2016-09-24,10
2016-09-25,13
2016-09-26,13
2016-09-29,15
2016-09-30,10
2016-10-01,11
2016-10-05,15
2016-10-06,5
2016-10-07,13
2016-10-08,16
2016-10-09,6
2016-10-10,4
2016-10-12,11
2016-10-13,9
2016-10-14,2
2016-10-15,9
2016-10-16,11
2016-10-17,10
2016-10-19,9
2016-10-20,13
2016-10-21,13
2016-10-22,12
2016-10-23,13
2016-10-24,7
2016-10-26,8
2016-10-27,13
2016-10-28,5
2016-10-29,2
2016-10-30,9
2016-11-02,8
2016-11-03,14
2016-11-04,3
2016-11-05,16
2016-11-06,13
2016-11-09,12
2016-11-11,10
2016-11-12,13
2016-11-13,10
2016-11-14,9
2016-11-15,2
2016-11-16,10
2016-11-17,6
2016-11-18,9
2016-11-19,12
2016-11-20,6
2016-11-21,13
2016-11-23,6
2016-11-24,11
2016-11-25,15
2016-11-26,10
2016-11-30,11
2016-12-01,4
2016-12-02,16
2016-12-03,10
2016-12-04,10
2016-12-07,14
2016-12-08,5
2016-12-09,11
2016-12-10,14
2016-12-11,11
2016-12-14,13
2016-12-15,11
2016-12-16,15
2016-12-17,10
2016-12-18,13
2016-12-19,11
2016-12-21,11
2016-12-22,12
2016-12-23,11
2016-12-24,8
2016-12-25,8
2016-12-26,15
2016-12-28,12
2016-12-29,15
2016-12-30,12
2017-01-06,6
2017-01-07,14
2017-01-08,8
2017-01-09,9
2017-01-11,11
2017-01-12,6
2017-01-13,8
2017-01-14,3
2017-01-15,10
2017-01-16,12
